Source Name	Characteristics [DevelopmentalStage]	Characteristics [Ecotype]	Term Source REF	Characteristics [OrganismPart]	Characteristics [StrainOrLine]	Term Source REF	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Parameter Value [Treatment]	Parameter Value [location]	Parameter Value [Temperature]	Parameter Value [Medium]	Parameter Value [Lighting]	Parameter Value [Water]	Parameter Value [Humidity]	Sample Name	Characteristics [OrganismPart]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue [TIME]	Unit[TimeUnit]	FactorValue[STRAIN OR LINE]
smith-12h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:345	intercept	Growth Room	20	compost	12h light  12h dark	9am and 4pm	75	smith-12h_SRC	leaf	NASCExtractProtocol:4	396457022	total_RNA	NASCLabelProtocol:1	smith-12h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A6-Smith-8-45	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A6-Smith-8-45	NRID5467_Smith-12h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	12	hours	NASC_N3176
smith-12h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	N3176	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:628	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-12h_SRC_REP2	leaf	NASCExtractProtocol:4	396457054	total_RNA	NASCLabelProtocol:1	smith-12h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A6-smith-12h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A6-smith-12h	NRID5776_Smith-12h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	12	hours	N3176
smith-13h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:346	intercept	Growth Room	20	compost	12h light  12h dark	9am and 4pm	75	smith-13h_SRC	leaf	NASCExtractProtocol:4	396457030	total_RNA	NASCLabelProtocol:1	smith-13h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A7-Smith-10	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A7-Smith-10	NRID5468_Smith-13h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	13	hours	NASC_N3176
smith-13h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	N3176	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:629	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-13h_SRC_REP2	leaf	NASCExtractProtocol:4	396457062	total_RNA	NASCLabelProtocol:1	smith-13h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A7-smith-13h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A7-smith-13h	NRID5777_Smith-13h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	13	hours	N3176
smith-14h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:347	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-14h_SRC	leaf	NASCExtractProtocol:4	396457038	total_RNA	NASCLabelProtocol:1	smith-14h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A8-Smith-11	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A8-Smith-11	NRID5469_Smith-14h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	14	hours	NASC_N3176
smith-14h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	N3176	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:630	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-14h_SRC_REP2	leaf	NASCExtractProtocol:4	396457070	total_RNA	NASCLabelProtocol:1	smith-14h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A8-smith-14h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A8-smith-14h	NRID5778_Smith-14h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	14	hours	N3176
smith-16h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:348	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-16h_SRC	leaf	NASCExtractProtocol:4	396457046	total_RNA	NASCLabelProtocol:1	smith-16h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A9-Smith-13	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A9-Smith-13	NRID5470_Smith-16h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	14	hours	NASC_N3176
smith-16h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	N3176	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:631	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-16h_SRC_REP2	leaf	NASCExtractProtocol:4	396457078	total_RNA	NASCLabelProtocol:1	smith-16h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A9-smith-16h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A9-smith-16h	NRID5779_Smith-16h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	14	hours	N3176
smith-20h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:621	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-20h_SRC	leaf	NASCExtractProtocol:4	396457102	total_RNA	NASCLabelProtocol:1	smith-20h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A10-Smith-17	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A10-Smith-17	NRID5553_Smith-20h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	20	hours	NASC_N3176
smith-20h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	N3176	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:632	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-20h_SRC_REP2	leaf	NASCExtractProtocol:4	396457086	total_RNA	NASCLabelProtocol:1	smith-20h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A10-smith-20h	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A10-smith-20h	NRID5780_Smith-20h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	20	hours	N3176
smith-24h_SRC	3.90 Boyes key	Columbia-0	nasc	leaf	NASC_N3176	nasc	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:622	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-24h_SRC	leaf	NASCExtractProtocol:4	396457110	total_RNA	NASCLabelProtocol:1	smith-24h_SRC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS001_ATH1_A11-Smith-21B	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS001_ATH1_A11-Smith-21B	NRID5554_Smith-24h_SLD_REP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	24	hours	NASC_N3176
smith-24h_SRC_REP2	3.90 Boyes key	Columbia-0	nasc	leaf	N3176	  	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	NASCGrowProt:633	intercept	Growth Room	20	compost	12h light 12h dark	9am and 4pm	75	smith-24h_SRC_REP2	leaf	NASCExtractProtocol:4	396457094	total_RNA	NASCLabelProtocol:1	smith-24h_SRC_REP2	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	ArrayExpress	SS002_ATH1_A11-smith-24h_repeat	A-AFFY-2	ArrayExpress	Affymetrix:Protocol:Percentile	ArrayExpress	SS002_ATH1_A11-smith-24h_repeat	NRID5781_Smith-24h_SLD_REP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.raw.1.zip	Affymetrix:Protocol:ExpressionStat	ArrayExpress	E-NASC-49-processed-data-1342402382.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-49/E-NASC-49.processed.1.zip	24	hours	N3176
