Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Term Source REF	Term Accession Number	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	LabeledExtract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	FactorValue[genotype]	FactorValue[organism part]
WT DZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Decelerating Elongation Zone	P-MTAB-16967	P-MTAB-16965	P-MTAB-16973	E_WT DZ_1	total_RNA	P-MTAB-16970	L_WT DZ_1	biotin	H_WT DZ_1	A-AFFY-2	Holman_3-2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Decelerating Elongation Zone
WT DZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Decelerating Elongation Zone	P-MTAB-16967	P-MTAB-16965	P-MTAB-16973	E_WT DZ_2	total_RNA	P-MTAB-16970	L_WT DZ_2	biotin	H_WT DZ_2	A-AFFY-2	Holman_3-5_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Decelerating Elongation Zone
WT EZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Early Elongation Zone	P-MTAB-16967	P-MTAB-16972	P-MTAB-16973	E_WT EZ	total_RNA	P-MTAB-16970	L_WT EZ	biotin	H_WT EZ	A-AFFY-2	Holman_2-2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Early Elongation Zone
WT EZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Early Elongation Zone	P-MTAB-16967	P-MTAB-16972	P-MTAB-16973	E_WT EZ_1	total_RNA	P-MTAB-16970	L_WT EZ_1	biotin	H_WT EZ_1	A-AFFY-2	Holman_2-4_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Early Elongation Zone
WT EZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Early Elongation Zone	P-MTAB-16967	P-MTAB-16972	P-MTAB-16973	E_WT EZ_2	total_RNA	P-MTAB-16970	L_WT EZ_2	biotin	H_WT EZ_2	A-AFFY-2	Holman_2-5_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Early Elongation Zone
WT LZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Lateral Root Emergence Zone	P-MTAB-16967	P-MTAB-16968	P-MTAB-16973	E_WT LZ	total_RNA	P-MTAB-16970	L_WT LZ	biotin	H_WT LZ	A-AFFY-2	Holman_5-1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Lateral Root Emergence Zone
WT LZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Lateral Root Emergence Zone	P-MTAB-16967	P-MTAB-16968	P-MTAB-16973	E_WT LZ_1	total_RNA	P-MTAB-16970	L_WT LZ_1	biotin	H_WT LZ_1	A-AFFY-2	Holman_5-4_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Lateral Root Emergence Zone
WT LZ	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Lateral Root Emergence Zone	P-MTAB-16967	P-MTAB-16968	P-MTAB-16973	E_WT LZ_2	total_RNA	P-MTAB-16970	L_WT LZ_2	biotin	H_WT LZ_2	A-AFFY-2	Holman_5-5_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Lateral Root Emergence Zone
WT MR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Mature Zone	P-MTAB-16967	P-MTAB-16971	P-MTAB-16973	E_WT MR	total_RNA	P-MTAB-16970	L_WT MR	biotin	H_WT MR	A-AFFY-2	Holman_4-1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Mature Zone
WT MR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Mature Zone	P-MTAB-16967	P-MTAB-16971	P-MTAB-16973	E_WT MR_1	total_RNA	P-MTAB-16970	L_WT MR_1	biotin	H_WT MR_1	A-AFFY-2	Holman_4-4_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Mature Zone
WT MR	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Mature Zone	P-MTAB-16967	P-MTAB-16971	P-MTAB-16973	E_WT MR_2	total_RNA	P-MTAB-16970	L_WT MR_2	biotin	H_WT MR_2	A-AFFY-2	Holman_4-5_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Mature Zone
WT MS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Apical Meristem	P-MTAB-16967	P-MTAB-16969	P-MTAB-16973	E_WT MS	total_RNA	P-MTAB-16970	L_WT MS	biotin	H_WT MS	A-AFFY-2	Holman_1-1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Apical Meristem
WT MS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Apical Meristem	P-MTAB-16967	P-MTAB-16969	P-MTAB-16973	E_WT MS_1	total_RNA	P-MTAB-16970	L_WT MS_1	biotin	H_WT MS_1	A-AFFY-2	Holman_1-2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Apical Meristem
WT MS	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	seedling	EFO	EFO_0001992	wild type	7	day	Root Apical Meristem	P-MTAB-16967	P-MTAB-16969	P-MTAB-16973	E_WT MS_2	total_RNA	P-MTAB-16970	L_WT MS_2	biotin	H_WT MS_2	A-AFFY-2	Holman_1-7_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2912/E-MEXP-2912.raw.1.zip	wild type	Root Apical Meristem
