Source Name	Material Type	Characteristics[organism]	Characteristics[age]	Unit[time unit]	Characteristics[growth condition]	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[growth condition]	Factor Value[compound]	Factor Value[dose]	Unit[concentration unit]	Factor Value[time]	Unit[time unit]
Sample_control_S12_2	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21128	P-MTAB-21121	P-MTAB-21129	E_Sample_control_S12_2	total_RNA	P-MTAB-21126	L_Sample_control_S12_2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_S12_2	A-AFFY-2	P-MTAB-21119	km160903_3_8-12_mockn.i..CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km160903_R3_controln.i._8-12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	none	  	  	8 to 12	hour
Sample_control_S12_3	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21128	P-MTAB-21121	P-MTAB-21129	E_Sample_control_S12_3	total_RNA	P-MTAB-21126	L_Sample_control_S12_3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_control_S12_3	A-AFFY-2	P-MTAB-21119	km230503control8_12_notinf..CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km230503_R1_controln.i._8_12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	none	  	  	8 to 12	hour
Sample_syringolin_IS12	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21127	P-MTAB-21121	P-MTAB-21129	E_Sample_syringolin_IS12	total_RNA	P-MTAB-21126	L_Sample_syringolin_IS12	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_IS12	A-AFFY-2	P-MTAB-21119	km230403syringolin8_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km230403_R1_SylA_8-12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	syringolin	20	micromolar	8 to 12	hour
Sample_syringolin_IS12_2	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21127	P-MTAB-21121	P-MTAB-21129	E_Sample_syringolin_IS12_2	total_RNA	P-MTAB-21126	L_Sample_syringolin_IS12_2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_IS12_2	A-AFFY-2	P-MTAB-21119	KM090903_syr8-12_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	KM090903_R2_SylA_8-12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	syringolin	20	micromolar	8 to 12	hour
Sample_syringolin_IS12_3	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21120	P-MTAB-21121	P-MTAB-21129	E_Sample_syringolin_IS12_3	total_RNA	P-MTAB-21126	L_Sample_syringolin_IS12_3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_IS12_3	A-AFFY-2	P-MTAB-21119	km160903_3_8-12_syr.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km160903_R3_SylA_8-12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	syringolin	20	micromolar	8 to 12	hour
Sample_syringolin_IS4	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21122	P-MTAB-21121	P-MTAB-21129	E_Sample_syringolin_IS4	total_RNA	P-MTAB-21126	L_Sample_syringolin_IS4	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_IS4	A-AFFY-2	P-MTAB-21119	km261002_2.timepoint.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km261002_R1_SylA_2-4.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	syringolin	20	micromolar	2 to 4	hour
Sample_syringolin_IS4_2	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21122	P-MTAB-21121	P-MTAB-21129	E_Sample_syringolin_IS4_2	total_RNA	P-MTAB-21126	L_Sample_syringolin_IS4_2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_IS4_2	A-AFFY-2	P-MTAB-21119	km051202_2.timepoint_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km051202_R3_SylA_2-4.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	syringolin	20	micromolar	2 to 4	hour
Sample_syringolin_IS4_3	whole_organism	Arabidopsis thaliana	12-14	day	powdery mildew infected	Col-0	P-MTAB-21131	P-MTAB-21122	P-MTAB-21121	P-MTAB-21129	E_Sample_syringolin_IS4_3	total_RNA	P-MTAB-21126	L_Sample_syringolin_IS4_3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_IS4_3	A-AFFY-2	P-MTAB-21119	km210803_2Rsyr2-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km210803_R2_SylA_2-4.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	powdery mildew infected	syringolin	20	micromolar	2 to 4	hour
Sample_syringolin_S1	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21123	P-MTAB-21121	  	E_Sample_syringolin_S1_1	total_RNA	P-MTAB-21126	L_Sample_syringolin_S1_1	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_S1_1	A-AFFY-2	P-MTAB-21119	km_220305_Syringolin1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km_220305_Syringolin1.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	syringolin	20	micromolar	1	hour
Sample_syringolin_S1_2	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21123	P-MTAB-21121	  	E_Sample_syringolin_S1_2	total_RNA	P-MTAB-21126	L_Sample_syringolin_S1_2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_S1_2	A-AFFY-2	P-MTAB-21119	km_220305_Syringolin2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km_220305_Syringolin2.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	syringolin	20	micromolar	1	hour
Sample_syringolin_S1_3	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21123	P-MTAB-21121	  	E_Sample_syringolin_S1_3	total_RNA	P-MTAB-21126	L_Sample_syringolin_S1_3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_S1_3	A-AFFY-2	P-MTAB-21119	km_220305_Syringolin3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km_220305_Syringolin3.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	syringolin	20	micromolar	1	hour
Sample_syringolin_S12	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21130	P-MTAB-21121	P-MTAB-21129	E_Sample_syringolin_S12	total_RNA	P-MTAB-21126	L_Sample_syringolin_S12	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_S12	A-AFFY-2	P-MTAB-21119	km160903_2_8-12_syrn.i..CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km160903_R2_SylAn.i._8-12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	syringolin	20	micromolar	8 to 12	hour
Sample_syringolin_S12_2	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21130	P-MTAB-21121	P-MTAB-21129	E_Sample_syringolin_S12_2	total_RNA	P-MTAB-21126	L_Sample_syringolin_S12_2	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_S12_2	A-AFFY-2	P-MTAB-21119	km230503syringolin8_12_notinf..CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km230503_R1_SylAn.i._8_12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	syringolin	20	micromolar	8 to 12	hour
Sample_syringolin_S12_3	whole_organism	Arabidopsis thaliana	12-14	day	uninfected	Col-0	P-MTAB-21131	P-MTAB-21130	P-MTAB-21121	P-MTAB-21129	E_Sample_syringolin_S12_3	total_RNA	P-MTAB-21126	L_Sample_syringolin_S12_3	biotin	Affymetrix:Protocol:Hybridization-EukGE-WS2v4[]	ArrayExpress	H_Sample_syringolin_S12_3	A-AFFY-2	P-MTAB-21119	km26090_3R_Syr8-12n.i..CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.raw.1.zip	Affymetrix:Protocol:MAS4:ExpressionCall	ArrayExpress	km26090_3R_SylAn.i._8-12.CHP	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-739/E-MEXP-739.processed.1.zip	uninfected	syringolin	20	micromolar	8 to 12	hour
