Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1543561 1	Gene expression after 3h of chilling treatment	Col WT, chilling treatment for 3h, replicate 1	C24 WT at 3h after chilling rep1	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	P-GSE63186-9	ArrayExpress	P-GSE63186-5	ArrayExpress	  	  	  	  	GSM1543561 extract 1	total RNA	P-GSE63186-10	ArrayExpress	  	  	GSM1543561 LE 1	biotin	P-GSE63186-11	ArrayExpress	  	  	GSM1543561	A-AFFY-2	ArrayExpress	array assay	P-GSE63186-12	ArrayExpress	  	  	GSM1543561_02_C24_3h1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	P-GSE63186-2	ArrayExpress	  	  	GSM1543561_sample_table.txt norm	GSM1543561_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	wildtype
GSM1543560 1	Gene expression without chilling treatment	Col WT, control, replicate 1	C24 WT without chilling rep1	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	P-GSE63186-9	ArrayExpress	P-GSE63186-5	ArrayExpress	  	  	  	  	GSM1543560 extract 1	total RNA	P-GSE63186-10	ArrayExpress	  	  	GSM1543560 LE 1	biotin	P-GSE63186-11	ArrayExpress	  	  	GSM1543560	A-AFFY-2	ArrayExpress	array assay	P-GSE63186-12	ArrayExpress	  	  	GSM1543560_01_C24_RT1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	P-GSE63186-2	ArrayExpress	  	  	GSM1543560_sample_table.txt norm	GSM1543560_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	wildtype
GSM1543559 1	Gene expression at 4 degree for 48 h	RDM4 OX, 4 degree for 48 h, replicate 2	RDM4 overexpression after 48h chilling treatment rep2	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543559 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543559 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543559	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543559_RDM4_OX-48H-rep2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543559_sample_table.txt norm	GSM1543559_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	35S::RDM4
GSM1543558 1	Gene expression at 4 degree for 48 h	RDM4 OX, 4 degree for 48 h, replicate 1	RDM4 overexpression after 48h chilling treatment rep1	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543558 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543558 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543558	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543558_RDM4_OX-48H-rep1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543558_sample_table.txt norm	GSM1543558_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	35S::RDM4
GSM1543557 1	Gene expression at 4 degree for 3 h	RDM4 OX, 4 degree for 3 h, replicate 2	RDM4 overexpression after 3h chilling treatment rep2	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543557 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543557 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543557	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543557_RDM4_OX-3H-rep2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543557_sample_table.txt norm	GSM1543557_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	35S::RDM4
GSM1543556 1	Gene expression at 4 degree for 3 h	RDM4 OX, 4 degree for 3 h, replicate 1	RDM4 overexpression after 3h chilling treatment rep1	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543556 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543556 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543556	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543556_RDM4_OX-3H-rep1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543556_sample_table.txt norm	GSM1543556_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	35S::RDM4
GSM1543555 1	Gene expression at room temperature	RDM4 OX, room temperature, replicate 2	RDM4 overexpression room temperature rep2	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543555 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543555 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543555	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543555_RDM4_OX-RT-rep2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543555_sample_table.txt norm	GSM1543555_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	35S::RDM4
GSM1543554 1	Gene expression at room temperature	RDM4 OX, room temperature, replicate 1	RDM4 overexpression room temperature rep1	Col	EFO	EFO_0005147	35S::RDM4	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543554 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543554 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543554	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543554_RDM4_OX-RT-rep1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543554_sample_table.txt norm	GSM1543554_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	35S::RDM4
GSM1543553 1	Gene expression at 4 degree for 48 h	Col WT, 4 degree for 48 h, replicate 2	Col after 48h chilling treatment rep2	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543553 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543553 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543553	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543553_Col-48H-rep2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543553_sample_table.txt norm	GSM1543553_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	wildtype
GSM1543552 1	Gene expression at 4 degree for 48 h	Col WT, 4 degree for 48 h, replicate 1	Col after 48h chilling treatment rep1	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543552 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543552 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543552	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543552_Col-48H-rep1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543552_sample_table.txt norm	GSM1543552_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	wildtype
GSM1543551 1	Gene expression at 4 degree for 3 h	Col WT, 4 degree for 3 h, replicate 2	Col after 3h chilling treatment rep2	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543551 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543551 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543551	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543551_Col-3H-rep2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543551_sample_table.txt norm	GSM1543551_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	wildtype
GSM1543550 1	Gene expression at 4 degree for 3 h	Col WT, 4 degree for 3 h, replicate 1	Col after 3h chilling treatment rep1	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543550 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543550 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543550	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543550_Col-3H-rep1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543550_sample_table.txt norm	GSM1543550_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	wildtype
GSM1543549 1	Gene expression at room temperature	Col WT, room temperature, replicate 2	Col room temperature rep2	Col	EFO	EFO_0005147	wildtype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	leaf	EFO	http://purl.obolibrary.org/obo/PO_0025034	P-GSE63186-3	ArrayExpress	  	  	  	  	P-GSE63186-4	ArrayExpress	P-GSE63186-5	ArrayExpress	GSM1543549 extract 1	total RNA	  	  	P-GSE63186-6	ArrayExpress	GSM1543549 LE 1	Cy3	  	  	P-GSE63186-7	ArrayExpress	GSM1543549	A-GEOD-9020	ArrayExpress	array assay	  	  	P-GSE63186-8	ArrayExpress	GSM1543549_Col-RT-rep2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.raw.1.zip	  	  	P-GSE63186-1	ArrayExpress	GSM1543549_sample_table.txt norm	GSM1543549_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-63186/E-GEOD-63186.processed.1.zip	wildtype
