Source Name	Material Type	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Assay Name	Technology Type	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue [genotype]	FactorValue [organism part]
GSM419038 1	organism part	Gene expression data from shoots of phr1 mutants grown in Johnson solid media lacking Pi.	shoots from phr1 mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1 mutant	shoot	P-GSE16722-2	P-GSE16722-3	GSM419038 extract 1	total RNA	P-GSE16722-4	GSM419038 LE 1	biotin	P-GSE16722-5	GSM419038	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419038.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419038_sample_table.txt norm	GSM419038_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1 mutant	shoot
GSM419037 1	organism part	Gene expression data from shoots of phr1 mutants grown in Johnson solid media lacking Pi.	shoots from phr1 mutants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	phr1 mutant	shoot	P-GSE16722-2	P-GSE16722-3	GSM419037 extract 1	total RNA	P-GSE16722-4	GSM419037 LE 1	biotin	P-GSE16722-5	GSM419037	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419037.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419037_sample_table.txt norm	GSM419037_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	phr1 mutant	shoot
GSM419036 1	organism part	Gene expression data from roots of wild type plants grown in Johnson solid media lacking Pi.	roots from wild type plants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	root	P-GSE16722-2	P-GSE16722-3	GSM419036 extract 1	total RNA	P-GSE16722-4	GSM419036 LE 1	biotin	P-GSE16722-5	GSM419036	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419036.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419036_sample_table.txt norm	GSM419036_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	wild type genotype	root
GSM419035 1	organism part	Gene expression data from roots of wild type plants grown in Johnson solid media lacking Pi.	roots from wild type plants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	root	P-GSE16722-2	P-GSE16722-3	GSM419035 extract 1	total RNA	P-GSE16722-4	GSM419035 LE 1	biotin	P-GSE16722-5	GSM419035	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419035.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419035_sample_table.txt norm	GSM419035_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	wild type genotype	root
GSM419034 1	organism part	Gene expression data from roots of wild type plants grown in Johnson solid media lacking Pi.	roots from wild type plants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	root	P-GSE16722-2	P-GSE16722-3	GSM419034 extract 1	total RNA	P-GSE16722-4	GSM419034 LE 1	biotin	P-GSE16722-5	GSM419034	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419034.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419034_sample_table.txt norm	GSM419034_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	wild type genotype	root
GSM419033 1	organism part	Gene expression data from roots of wild type plants grown in Johnson solid media in presence of Pi.	roots from wild type plants grown in presence of Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	root	P-GSE16722-2	P-GSE16722-3	GSM419033 extract 1	total RNA	P-GSE16722-4	GSM419033 LE 1	biotin	P-GSE16722-5	GSM419033	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419033.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419033_sample_table.txt norm	GSM419033_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	control	wild type genotype	root
GSM419032 1	organism part	Gene expression data from roots of wild type plants grown in Johnson solid media in presence of Pi.	roots from wild type plants grown in presence of Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	root	P-GSE16722-2	P-GSE16722-3	GSM419032 extract 1	total RNA	P-GSE16722-4	GSM419032 LE 1	biotin	P-GSE16722-5	GSM419032	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419032.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419032_sample_table.txt norm	GSM419032_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	control	wild type genotype	root
GSM419031 1	organism part	Gene expression data from roots of wild type plants grown in Johnson solid media in presence of Pi.	roots from wild type plants grown in presence of Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	root	P-GSE16722-2	P-GSE16722-3	GSM419031 extract 1	total RNA	P-GSE16722-4	GSM419031 LE 1	biotin	P-GSE16722-5	GSM419031	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419031.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419031_sample_table.txt norm	GSM419031_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	control	wild type genotype	root
GSM419030 1	organism part	Gene expression data from shoots of wild type plants grown in Johnson solid media lacking Pi.	shoots from wild type plants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	shoot	P-GSE16722-2	P-GSE16722-3	GSM419030 extract 1	total RNA	P-GSE16722-4	GSM419030 LE 1	biotin	P-GSE16722-5	GSM419030	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419030.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419030_sample_table.txt norm	GSM419030_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	wild type genotype	shoot
GSM419029 1	organism part	Gene expression data from shoots of wild type plants grown in Johnson solid media lacking Pi.	shoots from wild type plants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	shoot	P-GSE16722-2	P-GSE16722-3	GSM419029 extract 1	total RNA	P-GSE16722-4	GSM419029 LE 1	biotin	P-GSE16722-5	GSM419029	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419029.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419029_sample_table.txt norm	GSM419029_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	wild type genotype	shoot
GSM419028 1	organism part	Gene expression data from shoots of wild type plants grown in Johnson solid media lacking Pi.	shoots from wild type plants grown in media lacking Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	shoot	P-GSE16722-2	P-GSE16722-3	GSM419028 extract 1	total RNA	P-GSE16722-4	GSM419028 LE 1	biotin	P-GSE16722-5	GSM419028	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419028.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419028_sample_table.txt norm	GSM419028_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	phosphate deprivation	wild type genotype	shoot
GSM419027 1	organism part	Gene expression data from shoots of wild type plants grown in Johnson solid media in presence of Pi.	shoots from wild type plants grown in presence of Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	shoot	P-GSE16722-2	P-GSE16722-3	GSM419027 extract 1	total RNA	P-GSE16722-4	GSM419027 LE 1	biotin	P-GSE16722-5	GSM419027	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419027.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419027_sample_table.txt norm	GSM419027_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	control	wild type genotype	shoot
GSM419026 1	organism part	Gene expression data from shoots of wild type plants grown in Johnson solid media in presence of Pi.	shoots from wild type plants grown in presence of Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	shoot	P-GSE16722-2	P-GSE16722-3	GSM419026 extract 1	total RNA	P-GSE16722-4	GSM419026 LE 1	biotin	P-GSE16722-5	GSM419026	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419026.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419026_sample_table.txt norm	GSM419026_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	control	wild type genotype	shoot
GSM419025 1	organism part	Gene expression data from shoots of wild type plants grown in Johnson solid media in presence of Pi.	shoots from wild type plants grown in presence of Pi	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Columbia-0	wild type genotype	shoot	P-GSE16722-2	P-GSE16722-3	GSM419025 extract 1	total RNA	P-GSE16722-4	GSM419025 LE 1	biotin	P-GSE16722-5	GSM419025	array assay	A-AFFY-2	P-GSE16722-6	P-GSE16722-7	GSM419025.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.raw.1.zip	P-GSE16722-1	GSM419025_sample_table.txt norm	GSM419025_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-16722/E-GEOD-16722.processed.1.zip	control	wild type genotype	shoot
