Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[genotype]	Characteristics[OrganismPart]	Comment[sample type]	Comment[treatment]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue[COMPOUND]	FactorValue[DOSE]	Unit[TimeUnit]
GSM645699 1	Hypocotyl segments of the ckh1-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	ckh1-1 mutant, cultured on CIM in the presence of low level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh1-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645699 extract 1	total RNA	P-GSE26297-5	GSM645699 LE 1	biotin	P-GSE26297-6	GSM645699	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645699.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645699_sample_table.txt norm	GSM645699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh1-1 mutant	kinetin	25	ng/ml
GSM645698 1	Hypocotyl segments of the ckh1-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	ckh1-1 mutant, cultured on CIM in the presence of low level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh1-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645698 extract 1	total RNA	P-GSE26297-5	GSM645698 LE 1	biotin	P-GSE26297-6	GSM645698	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645698_sample_table.txt norm	GSM645698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh1-1 mutant	kinetin	25	ng/ml
GSM645697 1	Hypocotyl segments of the ckh1-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	ckh1-1 mutant, cultured on CIM in the absence of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh1-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645697 extract 1	total RNA	P-GSE26297-5	GSM645697 LE 1	biotin	P-GSE26297-6	GSM645697	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645697.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645697_sample_table.txt norm	GSM645697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh1-1 mutant	none	n/a	ng/ml
GSM645696 1	Hypocotyl segments of the ckh1-1 mutant was cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	ckh1-1 mutant, cultured on CIM in the absence of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	ckh1-1 mutant	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645696 extract 1	total RNA	P-GSE26297-5	GSM645696 LE 1	biotin	P-GSE26297-6	GSM645696	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645696.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645696_sample_table.txt norm	GSM645696_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	ckh1-1 mutant	none	n/a	ng/ml
GSM645695 1	Hypocotyl segments of the wild type (Ler) was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	wild type (Ler), cultured on CIM in the presence of high level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	wild_type	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645695 extract 1	total RNA	P-GSE26297-5	GSM645695 LE 1	biotin	P-GSE26297-6	GSM645695	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645695_sample_table.txt norm	GSM645695_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	wild_type	kinetin	200	ng/ml
GSM645694 1	Hypocotyl segments of the wild type (Ler) was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	wild type (Ler), cultured on CIM in the presence of high level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	wild_type	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and high level (200 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645694 extract 1	total RNA	P-GSE26297-5	GSM645694 LE 1	biotin	P-GSE26297-6	GSM645694	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645694_sample_table.txt norm	GSM645694_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	wild_type	kinetin	200	ng/ml
GSM645693 1	Hypocotyl segments of the wild type (Ler) was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	wild type (Ler), cultured on CIM in the presence of low level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	wild_type	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645693 extract 1	total RNA	P-GSE26297-5	GSM645693 LE 1	biotin	P-GSE26297-6	GSM645693	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645693_sample_table.txt norm	GSM645693_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	wild_type	kinetin	25	ng/ml
GSM645692 1	Hypocotyl segments of the wild type (Ler) was cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	wild type (Ler), cultured on CIM in the presence of low level of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	wild_type	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D and low level (25 ng/ml) of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645692 extract 1	total RNA	P-GSE26297-5	GSM645692 LE 1	biotin	P-GSE26297-6	GSM645692	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645692_sample_table.txt norm	GSM645692_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	wild_type	kinetin	25	ng/ml
GSM645691 1	Hypocotyl segments of the wild type (Ler) was cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	wild type (Ler), cultured on CIM in the absence of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	wild_type	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645691 extract 1	total RNA	P-GSE26297-5	GSM645691 LE 1	biotin	P-GSE26297-6	GSM645691	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645691.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645691_sample_table.txt norm	GSM645691_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	wild_type	none	n/a	ng/ml
GSM645690 1	Hypocotyl segments of the wild type (Ler) was cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	wild type (Ler), cultured on CIM in the absence of cytokinin.	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Ler	wild_type	hypocotyl	tissue culture	cultured for 3 days on CIM containing 100 ng/ml 2,4-D in the absence of kinetin.	P-GSE26297-2	P-GSE26297-3	P-GSE26297-4	GSM645690 extract 1	total RNA	P-GSE26297-5	GSM645690 LE 1	biotin	P-GSE26297-6	GSM645690	A-AFFY-2	P-GSE26297-7	P-GSE26297-8	GSM645690.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.raw.1.zip	P-GSE26297-1	GSM645690_sample_table.txt norm	GSM645690_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26297/E-GEOD-26297.processed.1.zip	wild_type	none	n/a	ng/ml
