Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[age]	Characteristics[genotype]	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM604637 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) before (0 h) a fluence rate shift from 0.5 to 60 µmol m-2 s-2	Arabidopsis seedlings, treated with lincomycin, before the fluence shift	seedling 0h light, (+Lin), rep6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604637 extract 1	total RNA	P-GSE24517-5	GSM604637 LE 1	biotin	P-GSE24517-6	GSM604637	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604637_Light_0h_+LIN_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604637_sample_table.txt norm	GSM604637_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604636 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) before (0 h) a fluence rate shift from 0.5 to 60 µmol m-2 s-1	Arabidopsis seedlings, treated with lincomycin, before the fluence shift	seedling 0h light, (+Lin), rep5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604636 extract 1	total RNA	P-GSE24517-5	GSM604636 LE 1	biotin	P-GSE24517-6	GSM604636	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604636_Light_0h_+LIN_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604636_sample_table.txt norm	GSM604636_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604635 1	Gene expression data from 7 day old seedlings not treated with the chloroplast biogenesis inhibitor lincomycin (-Lin) 24h after a fluence rate shift from 0.5 to 60 µmol m-2 s-4	Arabidopsis seedlings, not treated with lincomycin, 24 h after the fluence shift	seedling 24h light, (-Lin), rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604635 extract 1	total RNA	P-GSE24517-5	GSM604635 LE 1	biotin	P-GSE24517-6	GSM604635	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604635_Light_24h_-LIN_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604635_sample_table.txt norm	GSM604635_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604634 1	Gene expression data from 7 day old seedlings not treated with the chloroplast biogenesis inhibitor lincomycin (-Lin) 24h after a fluence rate shift from 0.5 to 60 µmol m-2 s-3	Arabidopsis seedlings, not treated with lincomycin, 24 h after the fluence shift	seedling 24h light, (-Lin), rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604634 extract 1	total RNA	P-GSE24517-5	GSM604634 LE 1	biotin	P-GSE24517-6	GSM604634	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604634_Light_24h_-LIN_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604634_sample_table.txt norm	GSM604634_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604633 1	Gene expression data from 7 day old seedlings not treated with the chloroplast biogenesis inhibitor lincomycin (-Lin) 24h after a fluence rate shift from 0.5 to 60 µmol m-2 s-2	Arabidopsis seedlings, not treated with lincomycin, 24 h after the fluence shift	seedling 24h light, (-Lin), rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604633 extract 1	total RNA	P-GSE24517-5	GSM604633 LE 1	biotin	P-GSE24517-6	GSM604633	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604633_Light_24h_-LIN_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604633_sample_table.txt norm	GSM604633_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604632 1	Gene expression data from 7 day old seedlings not treated with the chloroplast biogenesis inhibitor lincomycin (-Lin) 24h after a fluence rate shift from 0.5 to 60 µmol m-2 s-1	Arabidopsis seedlings, not treated with lincomycin, 24 h after the fluence shift	seedling 24h light, (-Lin), rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604632 extract 1	total RNA	P-GSE24517-5	GSM604632 LE 1	biotin	P-GSE24517-6	GSM604632	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604632_Light_24h_-LIN_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604632_sample_table.txt norm	GSM604632_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604631 1	Gene expression data from 7 day old seedlings not treated with the chloroplast biogenesis inhibitor lincomycin (-Lin) 4h after a fluence rate shift from 0.5 to 60 µmol m-2 s-4	Arabidopsis seedlings, not treated with lincomycin, 4 h after the fluence shift	seedling 4h light, (-Lin), rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604631 extract 1	total RNA	P-GSE24517-5	GSM604631 LE 1	biotin	P-GSE24517-6	GSM604631	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604631_Light_4h_-LIN_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604631_sample_table.txt norm	GSM604631_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604630 1	Gene expression data from 7 day old seedlings not treated with the chloroplast biogenesis inhibitor lincomycin (-Lin) 4h after a fluence rate shift from 0.5 to 60 µmol m-2 s-3	Arabidopsis seedlings, not treated with lincomycin, 4 h after the fluence shift	seedling 4h light, (-Lin), rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604630 extract 1	total RNA	P-GSE24517-5	GSM604630 LE 1	biotin	P-GSE24517-6	GSM604630	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604630_Light_4h_-LIN_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604630_sample_table.txt norm	GSM604630_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604629 1	Gene expression data from 7 day old seedlings not treated with the chloroplast biogenesis inhibitor lincomycin (-Lin) 4h after a fluence rate shift from 0.5 to 60 µmol m-2 s-2	Arabidopsis seedlings, not treated with lincomycin, 4 h after the fluence shift	seedling 4h light, (-Lin), rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604629 extract 1	total RNA	P-GSE24517-5	GSM604629 LE 1	biotin	P-GSE24517-6	GSM604629	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604629_Light_4h_-LIN_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604629_sample_table.txt norm	GSM604629_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604628 1	Gene expression data from 7 day old seedlings not treated with the chloroplast biogenesis inhibitor lincomycin (-Lin) 4h after a fluence rate shift from 0.5 to 60 µmol m-2 s-1	Arabidopsis seedlings, not treated with lincomycin, 4 h after the fluence shift	seedling 4h light, (-Lin), rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604628 extract 1	total RNA	P-GSE24517-5	GSM604628 LE 1	biotin	P-GSE24517-6	GSM604628	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604628_Light_4h_-LIN_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604628_sample_table.txt norm	GSM604628_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604627 1	Gene expression data from 7 day old seedlings not treated with the  chloroplast biogenesis inhibitor lincomycin (-Lin) before (0 h) a fluence rate shift from 0.5 to 60 µmol m-2 s-4	Arabidopsis seedlings, not treated with lincomycin, before the fluence shift	seedling 0h light, (-Lin), rep8	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604627 extract 1	total RNA	P-GSE24517-5	GSM604627 LE 1	biotin	P-GSE24517-6	GSM604627	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604627_Light_0h_-LIN_8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604627_sample_table.txt norm	GSM604627_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604626 1	Gene expression data from 7 day old seedlings not treated with the  chloroplast biogenesis inhibitor lincomycin (-Lin) before (0 h) a fluence rate shift from 0.5 to 60 µmol m-2 s-3	Arabidopsis seedlings, not treated with lincomycin, before the fluence shift	seedling 0h light, (-Lin), rep7	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604626 extract 1	total RNA	P-GSE24517-5	GSM604626 LE 1	biotin	P-GSE24517-6	GSM604626	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604626_Light_0h_-LIN_7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604626_sample_table.txt norm	GSM604626_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604625 1	Gene expression data from 7 day old seedlings not treated with the  chloroplast biogenesis inhibitor lincomycin (-Lin) before (0 h) a fluence rate shift from 0.5 to 60 µmol m-2 s-2	Arabidopsis seedlings, not treated with lincomycin, before the fluence shift	seedling 0h light, (-Lin), rep6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604625 extract 1	total RNA	P-GSE24517-5	GSM604625 LE 1	biotin	P-GSE24517-6	GSM604625	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604625_Light_0h_-LIN_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604625_sample_table.txt norm	GSM604625_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604624 1	Gene expression data from 7 day old seedlings not treated with the  chloroplast biogenesis inhibitor lincomycin (-Lin) before (0 h) a fluence rate shift from 0.5 to 60 µmol m-2 s-1	Arabidopsis seedlings, not treated with lincomycin, before the fluence shift	seedling 0h light, (-Lin), rep5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604624 extract 1	total RNA	P-GSE24517-5	GSM604624 LE 1	biotin	P-GSE24517-6	GSM604624	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604624_Light_0h_-LIN_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604624_sample_table.txt norm	GSM604624_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
GSM604623 1	Gene expression data from 7 day old seedlings treated with the chloroplast biogenesis inhibitor lincomycin (+Lin) 1h after a fluence rate shift from 0.5 to 60 µmol m-2 s-9	Arabidopsis seedlings, treated with lincomycin, 1h after the fluence shift	seedling 1h light, (+Lin), rep4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days old	Col-0	seedling	EFO	EFO_0001992	P-GSE24517-2	P-GSE24517-3	P-GSE24517-4	GSM604623 extract 1	total RNA	P-GSE24517-5	GSM604623 LE 1	biotin	P-GSE24517-6	GSM604623	A-AFFY-2	  	P-GSE24517-7	P-GSE24517-8	GSM604623_Light_1h_+LIN_4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.raw.1.zip	P-GSE24517-1	GSM604623_sample_table.txt norm	GSM604623_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-24517/E-GEOD-24517.processed.1.zip
