Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [GeneticModification]	Term Source REF	Characteristics [Ecotype]	Characteristics [Organism]	Term Source REF	Characteristics [IndividualGeneticCharacteristics]	Characteristics [OrganismPart]	Characteristics [Genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Label used]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [genotype]
ctr1.2.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Columbia	Arabidopsis thaliana	ncbitax	ctr1 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	ctr1.2.SUB869	P-MEXP-5373	none	total RNA	E.ctr1.2.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.ctr1.2.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.ctr1.2.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	ctr1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342075905.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	ctr1 mutant
wt.1.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Landsberg erecta	Arabidopsis thaliana	ncbitax	  	leaf	wild_type	P-MEXP-5354	P-MEXP-5353	wt.1.SUB869	P-MEXP-5373	none	total RNA	E.wt.1.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.wt.1.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.wt.1.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	ler_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342075905.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	wild_type
mpk4.2.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Landsberg erecta	Arabidopsis thaliana	ncbitax	mpk4 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	mpk4.2.SUB869	P-MEXP-5373	none	total RNA	E.mpk4.2.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.mpk4.2.UB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.mpk4.2.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	mpk4_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	mpk4 mutant
ctr1/mpk4.3.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Landsberg/Columbia	Arabidopsis thaliana	ncbitax	ctr1 mpk4 double mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	ctr1/mpk4.3.SUB869	P-MEXP-5373	none	total RNA	E.ctr1/mpk4.3.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.ctr1/mpk4.3.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.ctr1_mpk4.3.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	mpk4-ctr1_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	ctr1/mpk4 double mutant
ctr1.1.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Columbia	Arabidopsis thaliana	ncbitax	ctr1 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	ctr1.1.SUB869	P-MEXP-5373	none	total RNA	E.ctr1.1.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.ctr1.1.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.ctr1.1.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	ctr1_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	ctr1 mutant
ctr1/mpk4.1.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Landsberg/Columbia	Arabidopsis thaliana	ncbitax	ctr1/mpk4 double mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	ctr1/mpk4.1.SUB869	P-MEXP-5373	none	total RNA	E.ctr1/mpk4.1.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.ctr1/mpk4.1.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.ctr1_mpk4.1.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	ctr1_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	ctr1/mpk4 double mutant
ctr1.3.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Columbia	Arabidopsis thaliana	ncbitax	ctr1 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	ctr1.3.SUB869	P-MEXP-5373	none	total RNA	E.ctr1.3.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.ctr1.3.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.ctr1.3.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	mpk4-ctr1_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	ctr1 mutant
wt.2.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Columbia	Arabidopsis thaliana	ncbitax	  	leaf	wild_type	P-MEXP-5354	P-MEXP-5353	wt.2.SUB869	P-MEXP-5373	none	total RNA	E.wt.2.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.wt.2.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.wt.2.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	col_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	wild_type
mpk4.1.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Landsberg erecta	Arabidopsis thaliana	ncbitax	mpk4 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	mpk4.1.SUB869	P-MEXP-5373	none	total RNA	E.mpk4.1.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.mpk4.1.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.mpk4.1.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	mpk4_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	mpk4 mutant
ctr1/mpk4.2.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Landsberg/Columbia	Arabidopsis thaliana	ncbitax	ctr1 mpk4 double mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	ctr1/mpk4.2.SUB869	P-MEXP-5373	none	total RNA	E.ctr1/mpk4.2.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.ctr1/mpk4.2.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.ctr1_mpk4.2.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	ctr1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	ctr1/mpk4 double mutant
wt.3.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Landsberg erecta	Arabidopsis thaliana	ncbitax	  	leaf	wild_type	P-MEXP-5354	P-MEXP-5353	wt.3.SUB869	P-MEXP-5373	none	total RNA	E.wt.3.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.wt.3.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.wt.3.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	ler_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	wild_type
mpk4.3.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Landsberg erecta	Arabidopsis thaliana	ncbitax	mpk4 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	mpk4.3.SUB869	P-MEXP-5373	none	total RNA	E.mpk4.3.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.mpk4.3.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.mpk4.3.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	mpk4_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	mpk4 mutant
ctr1.2.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Columbia	Arabidopsis thaliana	ncbitax	ctr1 mutant	leaf	  	P-MEXP-5354	P-MEXP-5353	ctr1.2.SUB869	P-MEXP-5373	none	total RNA	E.ctr1.2.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.ctr1.2.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.ctr1.2.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	ctr1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	ctr1 mutant
wt.1.SUB869	3	weeks	gene_knock_out	The MGED Ontology	Landsberg erecta	Arabidopsis thaliana	ncbitax	  	leaf	wild_type	P-MEXP-5354	P-MEXP-5353	wt.1.SUB869	P-MEXP-5373	none	total RNA	E.wt.1.SUB869	total_RNA	P-MEXP-5346	RNA polymerases	4	biotin	LE.wt.1.SUB869	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	HYB.wt.1.SUB869	A-AFFY-2	ArrayExpress	P-AFFY-6	ler_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.raw.1.zip	P-MEXP-5390	E-MEXP-174-processed-data-1342076681.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-174/E-MEXP-174.processed.1.zip	wild_type
