Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [cell line]	Characteristics [ecotype]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM789676 1	MH147	T87 cultured cell	4C_0h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789676 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789676 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789676	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789676.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789676_sample_table.txt norm	GSM789676_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789675 1	MH145	T87 cultured cell	22C_3h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789675 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789675 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789675	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789675.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789675_sample_table.txt norm	GSM789675_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789674 1	MH144	T87 cultured cell	22C_1h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789674 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789674 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789674	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789674.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789674_sample_table.txt norm	GSM789674_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789673 1	MH143	T87 cultured cell	22C_0h_rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789673 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789673 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789673	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789673.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789673_sample_table.txt norm	GSM789673_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789672 1	MH142	T87 cultured cell	4C_6h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789672 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789672 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789672	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789672.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789672_sample_table.txt norm	GSM789672_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789671 1	MH141	T87 cultured cell	4C_3h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789671 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789671 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789671	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789671.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789671_sample_table.txt norm	GSM789671_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789670 1	MH140	T87 cultured cell	4C_1h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789670 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789670 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789670	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789670.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789670_sample_table.txt norm	GSM789670_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789669 1	MH139	T87 cultured cell	4C_0h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789669 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789669 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789669	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789669.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789669_sample_table.txt norm	GSM789669_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789668 1	MH137	T87 cultured cell	22C_3h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789668 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789668 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789668	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789668.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789668_sample_table.txt norm	GSM789668_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789667 1	MH136	T87 cultured cell	22C_1h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789667 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789667 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789667	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789667.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789667_sample_table.txt norm	GSM789667_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
GSM789666 1	MH135	T87 cultured cell	22C_0h_rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	T87	Col-0	P-GSE31837-2	ArrayExpress	P-GSE31837-3	ArrayExpress	P-GSE31837-4	ArrayExpress	GSM789666 extract 1	total RNA	P-GSE31837-5	ArrayExpress	GSM789666 LE 1	biotin	P-GSE31837-6	ArrayExpress	GSM789666	A-AFFY-2	ArrayExpress	array assay	P-GSE31837-7	ArrayExpress	P-GSE31837-8	ArrayExpress	GSM789666.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.raw.1.zip	P-GSE31837-1	ArrayExpress	GSM789666_sample_table.txt norm	GSM789666_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-31837/E-GEOD-31837.processed.1.zip
