Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]	FactorValue[time]	Unit[time unit]
GSE5746GSM133935	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-1	GSE5746GSM133935 sample	GSE5746GSM133935 extract	total_RNA	GSE5746GSM133935 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-27_CHIP-211-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-27_CHIP-211-C_Rep3_ATH1	GSM133935.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	short-day regime	0	day
GSE5746GSM133934	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-1	GSE5746GSM133934 sample	GSE5746GSM133934 extract	total_RNA	GSE5746GSM133934 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-26_CHIP-211-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-26_CHIP-211-B_Rep2_ATH1	GSM133934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	short-day regime	0	day
GSE5746GSM133933	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	flc-3	apical region	"FLC-3:  germplasm: flc-3 light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in Col-0 background, early flowering"	P-G5746-1	GSE5746GSM133933 sample	GSE5746GSM133933 extract	total_RNA	GSE5746GSM133933 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-25_CHIP-211-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-25_CHIP-211-A_Rep1_ATH1	GSM133933.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	flc-3	short-day regime	0	day
GSE5746GSM133926	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-2	GSE5746GSM133926 sample	GSE5746GSM133926 extract	total_RNA	GSE5746GSM133926 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-18_CHIP-208-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-18_CHIP-208-C_Rep3_ATH1	GSM133926.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	long-day regime	3	day
GSE5746GSM133924	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-2	GSE5746GSM133924 sample	GSE5746GSM133924 extract	total_RNA	GSE5746GSM133924 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-16_CHIP-208-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-16_CHIP-208-A_Rep1_ATH1	GSM133924.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	long-day regime	3	day
GSE5746GSM133925	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-2	GSE5746GSM133925 sample	GSE5746GSM133925 extract	total_RNA	GSE5746GSM133925 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-17_CHIP-208-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-17_CHIP-208-B_Rep2_ATH1	GSM133925.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	long-day regime	3	day
GSE5746GSM133927	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-3	GSE5746GSM133927 sample	GSE5746GSM133927 extract	total_RNA	GSE5746GSM133927 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-19_CHIP-209-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-19_CHIP-209-A_Rep1_ATH1	GSM133927.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	long-day regime	5	day
GSE5746GSM133929	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-3	GSE5746GSM133929 sample	GSE5746GSM133929 extract	total_RNA	GSE5746GSM133929 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-21_CHIP-209-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-21_CHIP-209-C_Rep3_ATH1	GSM133929.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	long-day regime	5	day
GSE5746GSM133928	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-3	GSE5746GSM133928 sample	GSE5746GSM133928 extract	total_RNA	GSE5746GSM133928 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-20_CHIP-209-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-20_CHIP-209-B_Rep2_ATH1	GSM133928.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	long-day regime	5	day
GSE5746GSM133932	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-4	GSE5746GSM133932 sample	GSE5746GSM133932 extract	total_RNA	GSE5746GSM133932 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-24_CHIP-210-C_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-24_CHIP-210-C_Rep3_ATH1	GSM133932.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	long-day regime	7	day
GSE5746GSM133931	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	transition to flowering	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: transition to flowering, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-4	GSE5746GSM133931 sample	GSE5746GSM133931 extract	total_RNA	GSE5746GSM133931 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-23_CHIP-210-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-23_CHIP-210-B_Rep2_ATH1	GSM133931.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	long-day regime	7	day
GSE5746GSM133922	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-1	GSE5746GSM133922 sample	GSE5746GSM133922 extract	total_RNA	GSE5746GSM133922 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-14_CHIP-207-B_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-14_CHIP-207-B_Rep2_ATH1	GSM133922.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	short-day regime	0	day
GSE5746GSM133921	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	vegetative plant	Col-0	"flc-3, fri-sf-2"	apical region	"FLC-3 IN FRI-SF-2 IN COL:  germplasm: flc-3 in FRI-Sf-2 in Col light regime1: short day light regime2: long day growth media type: soil average daily humidity: average daily temperature: 23C. Developmental stage: vegetative plant, 10-18 leaves; Tissue: apical region; Genetic variation: fast neutron flc allele in FRI-Sf-2 in Col-0 background, early flowering"	P-G5746-1	GSE5746GSM133921 sample	GSE5746GSM133921 extract	total_RNA	GSE5746GSM133921 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Weigel_2-13_CHIP-207-A_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Weigel_2-13_CHIP-207-A_Rep1_ATH1	GSM133921.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.raw.1.zip	E-GEOD-5746-processed-data-1628602071.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5746/E-GEOD-5746.processed.1.zip	"flc-3, fri-sf-2"	short-day regime	0	day
