Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit [time unit]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treatment]	FactorValue [time]	Unit [time unit]
GSM1521119 1	Gene expression data from Arabidopsis rosette leaves two days post infusion with Agrobacterium containing full-length SCTV C2	rosette leaves	Full C2 at T2, biological rep2	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521119 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521119 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521119	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521119_SCTVC2-Exp2_530-_Day2_011105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521119_sample_table.txt norm	GSM1521119_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with full-length SCTV C2	2	day
GSM1521118 1	Gene expression data from Arabidopsis rosette leaves two days post infusion with Agrobacterium containing full-length SCTV C2	rosette leaves	Full C2 at T2, biological rep1	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521118 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521118 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521118	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521118_SCTVC2-Exp1_530-_Day2_010705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521118_sample_table.txt norm	GSM1521118_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with full-length SCTV C2	2	day
GSM1521117 1	Gene expression data from Arabidopsis rosette leaves two days post infusion with Agrobacterium containing antisense (As)AKiin11	rosette leaves	AsAKiin11 at T2, biological rep3	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521117 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521117 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521117	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521117_AsAKin11-Exp3_530-_Day2_021105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521117_sample_table.txt norm	GSM1521117_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with antisense (As)AKiin11	2	day
GSM1521116 1	Gene expression data from Arabidopsis rosette leaves two days post infusion with Agrobacterium containing antisense (As)AKiin11	rosette leaves	AsAKiin11 at T2, biological rep2	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521116 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521116 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521116	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521116_AsAKin11-Exp2_530-_Day2_011105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521116_sample_table.txt norm	GSM1521116_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with antisense (As)AKiin11	2	day
GSM1521115 1	Gene expression data from Arabidopsis rosette leaves two days post infusion with Agrobacterium containing antisense (As)AKiin11	rosette leaves	AsAKiin11 at T2, biological rep1	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521115 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521115 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521115	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521115_AsAKin11-Exp1_530-_Day2_010705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521115_sample_table.txt norm	GSM1521115_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with antisense (As)AKiin11	2	day
GSM1521114 1	Gene expression data from Arabidopsis rosette leaves two days post infusion with Agrobacterium containing empty vector. Control for C2, C2del and (As)AKiin11.	rosette leaves	C2, C2del and (As)AKiin11 control at T2, biological rep3	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521114 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521114 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521114	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521114_530-Exp3_-Day2_021105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521114_sample_table.txt norm	GSM1521114_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium containing empty vector	2	day
GSM1521113 1	Gene expression data from Arabidopsis rosette leaves two days post infusion with Agrobacterium containing empty vector. Control for C2, C2del and (As)AKiin11.	rosette leaves	C2, C2del and (As)AKiin11 control at T2, biological rep2	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521113 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521113 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521113	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521113_530-Exp2_-Day2_011105.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521113_sample_table.txt norm	GSM1521113_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium containing empty vector	2	day
GSM1521112 1	Gene expression data from Arabidopsis rosette leaves two days post infusion with Agrobacterium containing empty vector. Control for C2, C2del and (As)AKiin11.	rosette leaves	C2, C2del and (As)AKiin11 control at T2, biological rep1	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521112 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521112 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521112	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521112_530-Exp1_-Day2_010705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521112_sample_table.txt norm	GSM1521112_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium containing empty vector	2	day
GSM1521111 1	Gene expression data from Arabidopsis rosette leaves one day post infusion with Agrobacterium containing full-length SCTV C2	rosette leaves	Full C2 at T1, biological rep3	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521111 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521111 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521111	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521111_SCTVC2-Exp3_530-_Day1_021005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521111_sample_table.txt norm	GSM1521111_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with full-length SCTV C2	1	day
GSM1521110 1	Gene expression data from Arabidopsis rosette leaves one day post infusion with Agrobacterium containing full-length SCTV C2	rosette leaves	Full C2 at T1, biological rep2	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521110 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521110 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521110	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521110_SCTVC2-Exp2_530-_Day1_121504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521110_sample_table.txt norm	GSM1521110_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with full-length SCTV C2	1	day
GSM1521109 1	Gene expression data from Arabidopsis rosette leaves one day post infusion with Agrobacterium containing full-length SCTV C2	rosette leaves	Full C2 at T1, biological rep1	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521109 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521109 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521109	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521109_SCTVC2-Exp1_530-_Day1_120804.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521109_sample_table.txt norm	GSM1521109_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with full-length SCTV C2	1	day
GSM1521108 1	Gene expression data from Arabidopsis rosette leaves one day post infusion with Agrobacterium containing antisense (As)AKiin11	rosette leaves	AsAKiin11 at T1, biological rep3	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521108 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521108 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521108	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521108_AsAKin11-Exp3_530-_Day1_021005.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521108_sample_table.txt norm	GSM1521108_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with antisense (As)AKiin11	1	day
GSM1521107 1	Gene expression data from Arabidopsis rosette leaves one day post infusion with Agrobacterium containing antisense (As)AKiin11	rosette leaves	AsAKiin11 at T1, biological rep2	4	week	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	rosette leaf	P-GSE62180-2	ArrayExpress	P-GSE62180-3	ArrayExpress	P-GSE62180-4	ArrayExpress	GSM1521107 extract 1	total RNA	P-GSE62180-5	ArrayExpress	GSM1521107 LE 1	biotin	P-GSE62180-6	ArrayExpress	GSM1521107	A-AFFY-2	ArrayExpress	array assay	P-GSE62180-7	ArrayExpress	GSM1521107_AsAKin11-Exp2_530-_Day1_121504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.raw.1.zip	P-GSE62180-1	ArrayExpress	GSM1521107_sample_table.txt norm	GSM1521107_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62180/E-GEOD-62180.processed.1.zip	Agrobacterium with antisense (As)AKiin11	1	day
