Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1844774 1	Gene expression data during (30 min) de-etiolation	flu seedlings with 30 min light exposure	flu at T1, biological rep2	Col-0	EFO	EFO_0005148	flu	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844774 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844774 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844774	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844774_14_Arabidopsis_flu_T1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844774_sample_table.txt norm	GSM1844774_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	flu
GSM1844773 1	Gene expression data during (30 min) de-etiolation	flu seedlings with 30 min light exposure	flu at T1, biological rep1	Col-0	EFO	EFO_0005148	flu	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844773 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844773 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844773	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844773_13_Arabidopsis_flu_T1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844773_sample_table.txt norm	GSM1844773_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	flu
GSM1844772 1	Gene expression data during (30 min) de-etiolation	fc2 seedlings with 30 min light exposure	fc2 at T1, biological rep2	Col-0	EFO	EFO_0005148	fc2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844772 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844772 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844772	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844772_12_Arabidopsis_fc2_T1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844772_sample_table.txt norm	GSM1844772_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc2-1
GSM1844771 1	Gene expression data during (30 min) de-etiolation	fc2 seedlings with 30 min light exposure	fc2 at T1, biological rep1	Col-0	EFO	EFO_0005148	fc2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844771 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844771 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844771	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844771_11_Arabidopsis_fc2_T1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844771_sample_table.txt norm	GSM1844771_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc2-1
GSM1844770 1	Gene expression data during (30 min) de-etiolation	wt seedlings with 30 min light exposure	wt at T1, biological rep2	Col-0	EFO	EFO_0005148	wt	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844770 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844770 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844770	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844770_10_Arabidopsis_wt_T1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844770_sample_table.txt norm	GSM1844770_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	wt
GSM1844769 1	Gene expression data during (30 min) de-etiolation	wt seedlings with 30 min light exposure	wt at T1, biological rep1	Col-0	EFO	EFO_0005148	wt	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844769 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844769 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844769	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844769_9_Arabidopsis_wt_T1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844769_sample_table.txt norm	GSM1844769_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	wt
GSM1844768 1	Gene expression data before de-etiolation	fc1 mutant seedlings before light exposure	fc1 at T0, biological rep2	Col-0	EFO	EFO_0005148	fc1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844768 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844768 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844768	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844768_8_Arabidopsis_fc1_T0-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844768_sample_table.txt norm	GSM1844768_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc1-1
GSM1844767 1	Gene expression data before de-etiolation	fc1 mutant seedlings before light exposure	fc1 at T0, biological rep1	Col-0	EFO	EFO_0005148	fc1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844767 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844767 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844767	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844767_7_Arabidopsis_fc1_T0-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844767_sample_table.txt norm	GSM1844767_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc1-1
GSM1844766 1	Gene expression data before de-etiolation	flu mutant seedlings before light exposure	flu at T0, biological rep2	Col-0	EFO	EFO_0005148	flu	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844766 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844766 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844766	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844766_6_Arabidopsis_flu_T0-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844766_sample_table.txt norm	GSM1844766_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	flu
GSM1844765 1	Gene expression data before de-etiolation	flu mutant seedlings before light exposure	flu at T0, biological rep1	Col-0	EFO	EFO_0005148	flu	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844765 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844765 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844765	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844765_5_Arabidopsis_flu_T0-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844765_sample_table.txt norm	GSM1844765_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	flu
GSM1844764 1	Gene expression data before de-etiolation	fc2 mutant seedlings before light exposure	fc2 at T0, biological rep2	Col-0	EFO	EFO_0005148	fc2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844764 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844764 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844764	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844764_4_Arabidopsis_fc2_T0-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844764_sample_table.txt norm	GSM1844764_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc2-1
GSM1844763 1	Gene expression data before de-etiolation	fc2 mutant seedlings before light exposure	fc2 at T0, biological rep1	Col-0	EFO	EFO_0005148	fc2-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844763 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844763 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844763	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844763_3_Arabidopsis_fc2_T0-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844763_sample_table.txt norm	GSM1844763_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	fc2-1
GSM1844762 1	Gene expression data before de-etiolation	wt seedlings before light exposure	wt at T0, biological rep2	Col-0	EFO	EFO_0005148	wt	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844762 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844762 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844762	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844762_2_Arabidopsis_wt_T0-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844762_sample_table.txt norm	GSM1844762_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	wt
GSM1844761 1	Gene expression data before de-etiolation	wt seedlings before light exposure	wt at T0, biological rep1	Col-0	EFO	EFO_0005148	wt	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	whole 4 day old seedlings	P-GSE71764-2	ArrayExpress	P-GSE71764-3	ArrayExpress	P-GSE71764-4	ArrayExpress	GSM1844761 extract 1	total RNA	P-GSE71764-5	ArrayExpress	GSM1844761 LE 1	biotin	P-GSE71764-6	ArrayExpress	GSM1844761	A-AFFY-2	ArrayExpress	array assay	P-GSE71764-7	ArrayExpress	GSM1844761_1_Arabidopsis_wt_T0-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.raw.1.zip	P-GSE71764-1	ArrayExpress	GSM1844761_sample_table.txt norm	GSM1844761_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71764/E-GEOD-71764.processed.1.zip	wt
