Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics[age]	Unit[time unit]	Characteristics[developmental stage]	Characteristics [organism part]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[treatment]	FactorValue [time]	Unit [time unit]
GSM1496079 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	16-WT-SA-ZT36-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496079 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496079 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496079	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496079_16-WT-SA-ZT36-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496079_sample_table.txt norm	GSM1496079_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT36	3	hour
GSM1496071 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	8-WT-SA-ZT36-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496071 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496071 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496071	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496071_8-WT-SA-ZT36-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496071_sample_table.txt norm	GSM1496071_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	1 micromolar salicylic acid at ZT36	3	hour
GSM1496080 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	17-WT-CK-ZT24-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496080 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496080 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496080	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496080_17-WT-CK-ZT24-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496080_sample_table.txt norm	GSM1496080_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT24	0	hour
GSM1496072 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	9-WT-CK-ZT24-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496072 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496072 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496072	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496072_9-WT-CK-ZT24-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496072_sample_table.txt norm	GSM1496072_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT24	0	hour
GSM1496064 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	1-WT-CK-ZT24-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496064 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496064 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496064	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496064_1-WT-CK-ZT24-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496064_sample_table.txt norm	GSM1496064_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT24	0	hour
GSM1496084 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	21-WT-CK-ZT36-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496084 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496084 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496084	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496084_21-WT-CK-ZT36-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496084_sample_table.txt norm	GSM1496084_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT36	0	hour
GSM1496076 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	13-WT-CK-ZT36-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496076 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496076 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496076	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496076_13-WT-CK-ZT36-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496076_sample_table.txt norm	GSM1496076_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT36	0	hour
GSM1496068 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	5-WT-CK-ZT36-0hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496068 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496068 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496068	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496068_5-WT-CK-ZT36-0hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496068_sample_table.txt norm	GSM1496068_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT36	0	hour
GSM1496081 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	18-WT-CK-ZT24-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496081 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496081 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496081	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496081_18-WT-CK-ZT24-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496081_sample_table.txt norm	GSM1496081_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT24	3	hour
GSM1496073 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	10-WT-CK-ZT24-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496073 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496073 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496073	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496073_10-WT-CK-ZT24-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496073_sample_table.txt norm	GSM1496073_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT24	3	hour
GSM1496065 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	2-WT-CK-ZT24-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496065 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496065 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496065	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496065_2-WT-CK-ZT24-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496065_sample_table.txt norm	GSM1496065_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT24	3	hour
GSM1496085 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	22-WT-CK-ZT36-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496085 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496085 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496085	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496085_22-WT-CK-ZT36-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496085_sample_table.txt norm	GSM1496085_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT36	3	hour
GSM1496077 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	14-WT-CK-ZT36-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496077 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496077 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496077	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496077_14-WT-CK-ZT36-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496077_sample_table.txt norm	GSM1496077_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT36	3	hour
GSM1496069 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	wild type	23	day	seedling	true leaf	23-day-old soil grown plants	true leaves	6-WT-CK-ZT36-3hpi	P-GSE61059-2	ArrayExpress	P-GSE61059-3	ArrayExpress	P-GSE61059-4	ArrayExpress	GSM1496069 extract 1	total RNA	P-GSE61059-5	ArrayExpress	GSM1496069 LE 1	biotin	P-GSE61059-6	ArrayExpress	GSM1496069	A-AFFY-2	ArrayExpress	array assay	P-GSE61059-7	ArrayExpress	GSM1496069_6-WT-CK-ZT36-3hpi.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.raw.1.zip	P-GSE61059-1	ArrayExpress	GSM1496069_sample_table.txt norm	GSM1496069_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61059/E-GEOD-61059.processed.1.zip	water at ZT36	3	hour
