Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1233414 1	Ambient CO2, Limiting nitrogen (N) availability, Midday timepoint, replicate 2	Ambient CO2, Limiting nitrogen (N) availability, Midday timepoint	Ambient_CO2_LIMITING_N_DAY_Rep2	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233414 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233414 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233414	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233414_4814_E_AL1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233414_sample_table.txt norm	GSM1233414_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233413 1	Elevated CO2, Ample nitrogen (N) availability, Midday timepoint, replicate 1	Elevated CO2, Ample nitrogen (N) availability, Midday timepoint	Elevated_CO2_AMPLE_N_DAY_Rep1	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233413 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233413 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233413	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233413_4813_E_EH2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233413_sample_table.txt norm	GSM1233413_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233412 1	Elevated CO2, Limiting nitrogen (N) availability, Midday timepoint, replicate 1	Elevated CO2, Limiting nitrogen (N) availability, Midday timepoint	Elevated_CO2_LIMITING_N_DAY_Rep1	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233412 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233412 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233412	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233412_4812_E_EL2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233412_sample_table.txt norm	GSM1233412_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233411 1	Ambient CO2, Limiting nitrogen (N) availability, Midday timepoint, replicate 1	Ambient CO2, Limiting nitrogen (N) availability, Midday timepoint	Ambient_CO2_LIMITING_N_DAY_Rep1	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233411 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233411 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233411	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233411_4811_E_AL2_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233411_sample_table.txt norm	GSM1233411_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233410 1	Ambient CO2, Ample nitrogen (N) availability, Midday timepoint, replicate 1	Ambient CO2, Ample nitrogen (N) availability, Midday timepoint	Ambient_CO2_AMPLE_N_DAY_Rep1	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233410 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233410 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233410	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233410_4810_E_AH6_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233410_sample_table.txt norm	GSM1233410_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233409 1	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 3	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint	Elevated_CO2_AMPLE_N_NIGHT_Rep3	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233409 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233409 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233409	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233409_4614_E_EHNA1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233409_sample_table.txt norm	GSM1233409_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233408 1	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 4	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint	Ambient_CO2_AMPLE_N_NIGHT_Rep4	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233408 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233408 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233408	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233408_4613_E_AHNF_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233408_sample_table.txt norm	GSM1233408_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233407 1	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 3	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint	Ambient_CO2_AMPLE_N_NIGHT_Rep3	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233407 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233407 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233407	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233407_4612_E_AHNH_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233407_sample_table.txt norm	GSM1233407_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233406 1	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 2	Ambient CO2, Ample nitrogen (N) availability, Midnight timepoint	Ambient_CO2_AMPLE_N_NIGHT_Rep2	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233406 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233406 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233406	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233406_4517_E_AHNE_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233406_sample_table.txt norm	GSM1233406_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233405 1	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint, replicate 2	Elevated CO2, Ample nitrogen (N) availability, Midnight timepoint	Elevated_CO2_AMPLE_N_NIGHT_Rep2	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233405 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233405 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233405	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233405_4516_E_EHNG_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233405_sample_table.txt norm	GSM1233405_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233404 1	Ambient CO2, Limiting nitrogen (N) availability, Midnight timepoint, replicate 4	Ambient CO2, Limiting nitrogen (N) availability, Midnight timepoint	Ambient_CO2_LIMITING_N_NIGHT_Rep4	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233404 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233404 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233404	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233404_4515_E_ALNE_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233404_sample_table.txt norm	GSM1233404_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233403 1	Elevated CO2, Limiting nitrogen (N) availability, Midnight timepoint, replicate 4	Elevated CO2, Limiting nitrogen (N) availability, Midnight timepoint	Elevated_CO2_LIMITING_N_NIGHT_Rep4	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233403 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233403 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233403	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233403_4514_E_ELND_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233403_sample_table.txt norm	GSM1233403_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
GSM1233402 1	Elevated CO2, Limiting nitrogen (N) availability, Midnight timepoint, replicate 3	Elevated CO2, Limiting nitrogen (N) availability, Midnight timepoint	Elevated_CO2_LIMITING_N_NIGHT_Rep3	35 Days after germination	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Youngest Most Fully Expanded Leaf	P-GSE50966-2	ArrayExpress	P-GSE50966-3	ArrayExpress	P-GSE50966-4	ArrayExpress	GSM1233402 extract 1	total RNA	P-GSE50966-5	ArrayExpress	GSM1233402 LE 1	biotin	P-GSE50966-6	ArrayExpress	GSM1233402	A-AFFY-2	ArrayExpress	array assay	P-GSE50966-7	ArrayExpress	GSM1233402_4513_E_ELNE_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.raw.1.zip	P-GSE50966-1	ArrayExpress	GSM1233402_sample_table.txt norm	GSM1233402_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-50966/E-GEOD-50966.processed.1.zip
