Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[age]	Unit[time unit]	Characteristics[initial time point]	Characteristics[organism part]	Characteristics[genetic modification]	Characteristics[individual]	Characteristics[genotype]	Material Type	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	LabeledExtract Name	Label	Hybridization Name	Array Design REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[genotype]	Factor Value[environmental stress]	Factor Value[time]	Unit[time unit]
35S.ABF3-48_2h_DR_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock in	48	ABF3 overexpression	fresh sample	P-MTAB-5780	P-MTAB-5779	P-MTAB-5781	35S.ABF3-48_2h_DR_2	total RNA	35S.ABF3-48_2h_DR_2	biotin	35S.ABF3-48_2h_DR_2	A-AFFY-2	ABF3-48_2h_DR_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	ABF3-48_2h_DR_rep2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	ABF3 overexpression	drought stress	2	hour
35S.ABF3-48_2h_DR_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock in	48	ABF3 overexpression	fresh sample	P-MTAB-5780	P-MTAB-5779	P-MTAB-5781	35S.ABF3-48_2h_DR_3	total RNA	35S.ABF3-48_2h_DR_3	biotin	35S.ABF3-48_2h_DR_3	A-AFFY-2	ABF3-48_2h_DR_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	ABF3-48_2h_DR_rep3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	ABF3 overexpression	drought stress	2	hour
35S.ABF3-57_2h_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock in	57	ABF3 overexpression	fresh sample	P-MTAB-5780	  	P-MTAB-5781	35S.ABF3-57_2h_1	total RNA	35S.ABF3-57_2h_1	biotin	35S.ABF3-57_2h_1	A-AFFY-2	ABF3-57_2h_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	ABF3-57_2h_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	ABF3 overexpression	none	2	hour
35S.ABF3-57_2h_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock in	57	ABF3 overexpression	fresh sample	P-MTAB-5780	  	P-MTAB-5781	35S.ABF3-57_2h_2	total RNA	35S.ABF3-57_2h_2	biotin	35S.ABF3-57_2h_2	A-AFFY-2	ABF3-57_2h_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	ABF3-57_2h_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	ABF3 overexpression	none	2	hour
35S.ABF3-57_2h_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock in	57	ABF3 overexpression	fresh sample	P-MTAB-5780	  	P-MTAB-5781	35S.ABF3-57_2h_3	total RNA	35S.ABF3-57_2h_3	biotin	35S.ABF3-57_2h_3	A-AFFY-2	ABF3-57_2h_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	ABF3-57_2h_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	ABF3 overexpression	none	2	hour
35S.ABF3-59_2h_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock in	59	ABF3 overexpression	fresh sample	P-MTAB-5780	  	P-MTAB-5781	35S.ABF3-59_2h_1	total RNA	35S.ABF3-59_2h_1	biotin	35S.ABF3-59_2h_1	A-AFFY-2	ABF3-59_2h_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	ABF3-59_2h_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	ABF3 overexpression	none	2	hour
35S.ABF3-59_2h_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock in	59	ABF3 overexpression	fresh sample	P-MTAB-5780	  	P-MTAB-5781	35S.ABF3-59_2h_2	total RNA	35S.ABF3-59_2h_2	biotin	35S.ABF3-59_2h_2	A-AFFY-2	ABF3-59_2h_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	ABF3-59_2h_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	ABF3 overexpression	none	2	hour
35S.ABF3-59_2h_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock in	59	ABF3 overexpression	fresh sample	P-MTAB-5780	  	P-MTAB-5781	35S.ABF3-59_2h_3	total RNA	35S.ABF3-59_2h_3	biotin	35S.ABF3-59_2h_3	A-AFFY-2	ABF3-59_2h_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	ABF3-59_2h_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	ABF3 overexpression	none	2	hour
Control-48_24h_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	  	  	P-MTAB-5781	Control-48_24h_1	total RNA	Control-48_24h_1	biotin	Control-48_24h_1	A-AFFY-2	Control-48_24h_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_24h_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	24	hour
Control-48_24h_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	  	  	P-MTAB-5781	Control-48_24h_2	total RNA	Control-48_24h_2	biotin	Control-48_24h_2	A-AFFY-2	Control-48_24h_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_24h_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	24	hour
Control-48_24h_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	  	  	P-MTAB-5781	Control-48_24h_3	total RNA	Control-48_24h_3	biotin	Control-48_24h_3	A-AFFY-2	Control-48_24h_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_24h_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	24	hour
Control-48_24h_DR_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	P-MTAB-5780	P-MTAB-5779	P-MTAB-5781	Control-48_24h_DR_1	total RNA	Control-48_24h_DR_1	biotin	Control-48_24h_DR_1	A-AFFY-2	Control-48_24h_DR_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_24h_DR_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	drought stress	24	hour
Control-48_24h_DR_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	P-MTAB-5780	P-MTAB-5779	P-MTAB-5781	Control-48_24h_DR_2	total RNA	Control-48_24h_DR_2	biotin	Control-48_24h_DR_2	A-AFFY-2	Control-48_24h_DR_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_24h_DR_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	drought stress	24	hour
Control-48_24h_DR_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	P-MTAB-5780	P-MTAB-5779	P-MTAB-5781	Control-48_24h_DR_3	total RNA	Control-48_24h_DR_3	biotin	Control-48_24h_DR_3	A-AFFY-2	Control-48_24h_DR_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_24h_DR_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	drought stress	24	hour
Control-48_2h_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	P-MTAB-5780	  	P-MTAB-5781	Control-48_2h_1	total RNA	Control-48_2h_1	biotin	Control-48_2h_1	A-AFFY-2	Control-48_2h_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_2h_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	2	hour
Control-48_2h_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	P-MTAB-5780	  	P-MTAB-5781	Control-48_2h_2	total RNA	Control-48_2h_2	biotin	Control-48_2h_2	A-AFFY-2	Control-48_2h_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_2h_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	2	hour
Control-48_2h_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	P-MTAB-5780	  	P-MTAB-5781	Control-48_2h_3	total RNA	Control-48_2h_3	biotin	Control-48_2h_3	A-AFFY-2	Control-48_2h_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_2h_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	2	hour
Control-48_2h_DR_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	P-MTAB-5780	P-MTAB-5779	P-MTAB-5781	Control-48_2h_DR_1	total RNA	Control-48_2h_DR_1	biotin	Control-48_2h_DR_1	A-AFFY-2	Control-48_2h_DR_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_2h_DR_rep1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	drought stress	2	hour
Control-48_2h_DR_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	P-MTAB-5780	P-MTAB-5779	P-MTAB-5781	Control-48_2h_DR_2	total RNA	Control-48_2h_DR_2	biotin	Control-48_2h_DR_2	A-AFFY-2	Control-48_2h_DR_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_2h_DR_rep2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	drought stress	2	hour
Control-48_2h_DR_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	48	control	fresh sample	P-MTAB-5780	P-MTAB-5779	P-MTAB-5781	Control-48_2h_DR_3	total RNA	Control-48_2h_DR_3	biotin	Control-48_2h_DR_3	A-AFFY-2	Control-48_2h_DR_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-48_2h_DR_rep3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	drought stress	2	hour
Control-57_2h_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	57	control	fresh sample	P-MTAB-5780	  	P-MTAB-5781	Control-57_2h_1	total RNA	Control-57_2h_1	biotin	Control-57_2h_1	A-AFFY-2	Control-57_2h_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-57_2h_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	2	hour
Control-57_2h_2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	57	control	fresh sample	P-MTAB-5780	  	P-MTAB-5781	Control-57_2h_2	total RNA	Control-57_2h_2	biotin	Control-57_2h_2	A-AFFY-2	Control-57_2h_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-57_2h_2.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	2	hour
Control-57_2h_3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	57	control	fresh sample	P-MTAB-5780	  	P-MTAB-5781	Control-57_2h_3	total RNA	Control-57_2h_3	biotin	Control-57_2h_3	A-AFFY-2	Control-57_2h_3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-57_2h_3.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	2	hour
Control-59_2h_1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	1	week	sowing	whole organism	gene knock-in followed by Cre-mediated excision of ABF3 transgene	59	control	fresh sample	P-MTAB-5780	  	P-MTAB-5781	Control-59_2h_1	total RNA	Control-59_2h_1	biotin	Control-59_2h_1	A-AFFY-2	Control-59_2h_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.raw.1.zip	P-MTAB-5778	Control-59_2h_1.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2435/E-MEXP-2435.processed.1.zip	control	none	2	hour
