Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [age]	Characteristics [ecotype]	Characteristics [ip antibody]	Characteristics [ip antibody vendor]	Characteristics [molecule subtype]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [variation]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [MOLECULE SUBTYPE]	Term Source REF	Term Accession Number	FactorValue [TREATMENT]	FactorValue [VARIATION]
GSM932761 1	SAMPLE 28	Polysomal RNA_35S:AtCSP1-FH#11_cold	Polysomal RNA from 35S:AtCSP1-FH#11, cold rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932761 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932761 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932761	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932761_08POEC3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932761_sample_table.txt norm	GSM932761_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h cold (4C)	35S:AtCSP1-FH#11
GSM932760 1	SAMPLE 27	Polysomal RNA_35S:AtCSP1-FH#11_non-stress	Polysomal RNA from 35S:AtCSP1-FH#11, non-stress rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932760 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932760 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932760	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932760_07POENS3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932760_sample_table.txt norm	GSM932760_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h non-stress	35S:AtCSP1-FH#11
GSM932759 1	SAMPLE 26	Total RNA_35S:AtCSP1-FH#11_cold	Total RNA from 35S:AtCSP1-FH#11, cold rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932759 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932759 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932759	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932759_06TOEC3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932759_sample_table.txt norm	GSM932759_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h cold (4C)	35S:AtCSP1-FH#11
GSM932758 1	SAMPLE 25	Total RNA_35S:AtCSP1-FH#11_non-stress	Total RNA from 35S:AtCSP1-FH#11, non-stress rep 2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932758 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932758 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932758	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932758_05TOENS3_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932758_sample_table.txt norm	GSM932758_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h non-stress	35S:AtCSP1-FH#11
GSM932757 1	SAMPLE 24	CSP1_IP_RNA_35S:AtCSP1-FH#11_cold	CSP1 immonoprecipitated RNA from 35S:AtCSP1-FH#11, cold rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932757 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932757 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932757	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932757_10IPOEC1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932757_sample_table.txt norm	GSM932757_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h cold (4C)	35S:AtCSP1-FH#11
GSM932756 1	SAMPLE 23	CSP1_IP_RNA_35S:AtCSP1-FH#11_non-stress	CSP1 immonoprecipitated RNA from 35S:AtCSP1-FH#11, non-stress rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932756 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932756 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932756	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932756_09IPOENS1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932756_sample_table.txt norm	GSM932756_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h non-stress	35S:AtCSP1-FH#11
GSM932755 1	SAMPLE 22	Polysomal RNA_35S:AtCSP1-FH#11_cold	Polysomal RNA from 35S:AtCSP1-FH#11, cold rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932755 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932755 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932755	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932755_08POEC1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932755_sample_table.txt norm	GSM932755_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h cold (4C)	35S:AtCSP1-FH#11
GSM932754 1	SAMPLE 21	Polysomal RNA_35S:AtCSP1-FH#11_non-stress	Polysomal RNA from 35S:AtCSP1-FH#11, non-stress rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	Polysomal RNA	  	  	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932754 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932754 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932754	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932754_07POENS1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932754_sample_table.txt norm	GSM932754_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	Polysomal RNA	  	  	12h non-stress	35S:AtCSP1-FH#11
GSM932753 1	SAMPLE 20	Total RNA_35S:AtCSP1-FH#11_cold	Total RNA from 35S:AtCSP1-FH#11, cold rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932753 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932753 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932753	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932753_06TOEC1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932753_sample_table.txt norm	GSM932753_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h cold (4C)	35S:AtCSP1-FH#11
GSM932752 1	SAMPLE 19	Total RNA_35S:AtCSP1-FH#11_non-stress	Total RNA from 35S:AtCSP1-FH#11, non-stress rep 1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	  	  	total RNA	EFO	EFO_0004964	rosettes	35S:AtCSP1-FH#11	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932752 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932752 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932752	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932752_05TOENS1_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932752_sample_table.txt norm	GSM932752_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	total RNA	EFO	EFO_0004964	12h non-stress	35S:AtCSP1-FH#11
GSM932751 1	SAMPLE 18	CSP1_IP_RNA_35S:HF-RPL18_cold	CSP1 immonoprecipitated RNA from 35S:HF-RPL18, cold rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932751 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932751 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932751	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932751_06_IPWTC4_ATH1_121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932751_sample_table.txt norm	GSM932751_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h cold (4C)	35S:HF-RPL18#12-2-4
GSM932750 1	SAMPLE 17	CSP1_IP_RNA_35S:HF-RPL18_non-stress	CSP1 immonoprecipitated RNA from 35S:HF-RPL18, non-stress rep 3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	25 days	Col-0	anti-CSP1	Gencript	CSP1 immonoprecipitated RNA	  	  	rosettes	35S:HF-RPL18#12-2-4	P-GSE38030-2	ArrayExpress	P-GSE38030-3	ArrayExpress	P-GSE38030-4	ArrayExpress	GSM932750 extract 1	total RNA	P-GSE38030-5	ArrayExpress	GSM932750 LE 1	biotin	P-GSE38030-6	ArrayExpress	GSM932750	A-AFFY-2	ArrayExpress	array assay	P-GSE38030-7	ArrayExpress	P-GSE38030-8	ArrayExpress	GSM932750_05_IPWTNS4_ATH1-121501_.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.raw.1.zip	P-GSE38030-1	ArrayExpress	GSM932750_sample_table.txt norm	GSM932750_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-38030/E-GEOD-38030.processed.1.zip	CSP1 immonoprecipitated RNA	  	  	12h non-stress	35S:HF-RPL18#12-2-4
