Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[developmental stage]	Characteristics[maternal ecotype]	Characteristics[maternal genetic modification]	Characteristics[paternal ecotype]	Characteristics[paternal genetic modification]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DEVELOPMENTAL STAGE]	FactorValue [MATERNAL ECOTYPE]	FactorValue [MATERNAL GENETIC MODIFICATION]	FactorValue [PATERNAL ECOTYPE]	FactorValue [PATERNAL GENETIC MODIFICATION]
GSM499700 1	fis1X2xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499700 extract 1	polyA RNA	P-GSE20007-12	 	 	 	GSM499700 LE 1	Cy3	P-GSE20007-13	 	 	 	GSM499700	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499700.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499700_sample_table.txt norm	GSM499700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none
GSM499700 2	fis1X2xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499700 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499700 LE 2	Cy5	P-GSE20007-13	 	 	 	GSM499700	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499700.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499700_sample_table.txt norm	GSM499700_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499699 2	2xX6xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499699 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499699 LE 2	Cy5	P-GSE20007-13	 	 	 	GSM499699	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499699.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499699_sample_table.txt norm	GSM499699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499699 1	2xX6xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	Col-1	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499699 extract 1	polyA RNA	P-GSE20007-12	 	 	 	GSM499699 LE 1	Cy3	P-GSE20007-13	 	 	 	GSM499699	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499699.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499699_sample_table.txt norm	GSM499699_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	Col-1	none
GSM499698 2	2xX4xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499698 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499698 LE 2	Cy5	P-GSE20007-13	 	 	 	GSM499698	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499698_sample_table.txt norm	GSM499698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499698 1	2xX4xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499698 extract 1	polyA RNA	P-GSE20007-12	 	 	 	GSM499698 LE 1	Cy3	P-GSE20007-13	 	 	 	GSM499698	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499698.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499698_sample_table.txt norm	GSM499698_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499697 1	4xX2xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499697 extract 1	polyA RNA	P-GSE20007-12	 	 	 	GSM499697 LE 1	Cy3	P-GSE20007-13	 	 	 	GSM499697	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499697.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499697_sample_table.txt norm	GSM499697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499697 2	4xX2xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499697 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499697 LE 2	Cy5	P-GSE20007-13	 	 	 	GSM499697	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499697.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499697_sample_table.txt norm	GSM499697_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499696 1	6xX2xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	Col-1	none	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499696 extract 1	polyA RNA	P-GSE20007-12	 	 	 	GSM499696 LE 1	Cy3	P-GSE20007-13	 	 	 	GSM499696	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499696.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499696_sample_table.txt norm	GSM499696_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	Col-1	none	C24	none
GSM499696 2	6xX2xCy3	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	P-GSE20007-10	 	P-GSE20007-11	 	 	 	 	 	GSM499696 extract 2	polyA RNA	P-GSE20007-12	 	 	 	GSM499696 LE 2	Cy5	P-GSE20007-13	 	 	 	GSM499696	A-GEOD-9964	 	P-GSE20007-14	 	P-GSE20007-15	 	 	 	 	 	GSM499696.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	P-GSE20007-2	 	 	 	GSM499696_sample_table.txt norm	GSM499696_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499695 1	fis1X2x_2: biological replicate of fis1X2x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none	P-GSE20007-3	 	 	 	 	 	P-GSE20007-4	 	P-GSE20007-5	 	GSM499695 extract 1	total RNA	 	 	P-GSE20007-6	 	GSM499695 LE 1	Biotin	 	 	P-GSE20007-7	 	GSM499695	A-AFFY-2	 	 	 	 	 	P-GSE20007-8	 	P-GSE20007-9	 	GSM499695.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	 	 	P-GSE20007-1	 	GSM499695_sample_table.txt norm	GSM499695_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	Ler	fis1-3 (=mea-3/f644) homozygous mutant	C24	none
GSM499694 1	2xX6x_2: biological replicate of 2xX6x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	Col-1	none	P-GSE20007-3	 	 	 	 	 	P-GSE20007-4	 	P-GSE20007-5	 	GSM499694 extract 1	total RNA	 	 	P-GSE20007-6	 	GSM499694 LE 1	Biotin	 	 	P-GSE20007-7	 	GSM499694	A-AFFY-2	 	 	 	 	 	P-GSE20007-8	 	P-GSE20007-9	 	GSM499694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	 	 	P-GSE20007-1	 	GSM499694_sample_table.txt norm	GSM499694_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	Col-1	none
GSM499693 1	2xX4x_2: biological replicate of 2xX4x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	 	 	 	 	P-GSE20007-4	 	P-GSE20007-5	 	GSM499693 extract 1	total RNA	 	 	P-GSE20007-6	 	GSM499693 LE 1	Biotin	 	 	P-GSE20007-7	 	GSM499693	A-AFFY-2	 	 	 	 	 	P-GSE20007-8	 	P-GSE20007-9	 	GSM499693.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	 	 	P-GSE20007-1	 	GSM499693_sample_table.txt norm	GSM499693_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499692 1	2xX2x_2: biological replicate of 2xX2x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	 	 	 	 	P-GSE20007-4	 	P-GSE20007-5	 	GSM499692 extract 1	total RNA	 	 	P-GSE20007-6	 	GSM499692 LE 1	Biotin	 	 	P-GSE20007-7	 	GSM499692	A-AFFY-2	 	 	 	 	 	P-GSE20007-8	 	P-GSE20007-9	 	GSM499692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	 	 	P-GSE20007-1	 	GSM499692_sample_table.txt norm	GSM499692_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499691 1	4xX2x_2: biological replicate of 4xX2x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	C24	A9-barnase transgene	C24	none	P-GSE20007-3	 	 	 	 	 	P-GSE20007-4	 	P-GSE20007-5	 	GSM499691 extract 1	total RNA	 	 	P-GSE20007-6	 	GSM499691 LE 1	Biotin	 	 	P-GSE20007-7	 	GSM499691	A-AFFY-2	 	 	 	 	 	P-GSE20007-8	 	P-GSE20007-9	 	GSM499691.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	 	 	P-GSE20007-1	 	GSM499691_sample_table.txt norm	GSM499691_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	C24	A9-barnase transgene	C24	none
GSM499690 1	6xX2x_2: biological replicate of 6xX2x_1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	5 days after pollination	Col-1	none	C24	none	P-GSE20007-3	 	 	 	 	 	P-GSE20007-4	 	P-GSE20007-5	 	GSM499690 extract 1	total RNA	 	 	P-GSE20007-6	 	GSM499690 LE 1	Biotin	 	 	P-GSE20007-7	 	GSM499690	A-AFFY-2	 	 	 	 	 	P-GSE20007-8	 	P-GSE20007-9	 	GSM499690.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	 	 	P-GSE20007-1	 	GSM499690_sample_table.txt norm	GSM499690_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	5 days after pollination	Col-1	none	C24	none
GSM499689 1	msi1	Siliques	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 days after flowering	C24	msi1-2 homozygous mutant	N/A	N/A	P-GSE20007-3	 	 	 	 	 	P-GSE20007-4	 	P-GSE20007-5	 	GSM499689 extract 1	total RNA	 	 	P-GSE20007-6	 	GSM499689 LE 1	Biotin	 	 	P-GSE20007-7	 	GSM499689	A-AFFY-2	 	 	 	 	 	P-GSE20007-8	 	P-GSE20007-9	 	GSM499689.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.raw.1.zip	 	 	P-GSE20007-1	 	GSM499689_sample_table.txt norm	GSM499689_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-20007/E-GEOD-20007.processed.1.zip	7 days after flowering	C24	msi1-2 homozygous mutant	N/A	N/A
