Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Unit[time unit]	Characteristics [initial time point]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [developmental stage]	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	Factor Value [RNA]
GSM1246281 1	total RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	pab total biological rep 1	10 to 12	day	germination	pab2 pab8	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246281 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246281 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246281	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246281_AVA040_P_T1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246281_sample_table.txt norm	GSM1246281_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	pab2 pab8	total RNA
GSM1246294 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT nonpolysome biological rep 4	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246294 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246294 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246294	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246294_AVA053_WT_NP5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246294_sample_table.txt norm	GSM1246294_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	nonpolysomal RNA
GSM1246288 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT nonpolysome biological rep 3	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246288 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246288 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246288	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246288_AVA047_WT_NP3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246288_sample_table.txt norm	GSM1246288_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	nonpolysomal RNA
GSM1246282 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT nonpolysome biological rep 2	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246282 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246282 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246282	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246282_AVA041_WT_NP2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246282_sample_table.txt norm	GSM1246282_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	nonpolysomal RNA
GSM1246276 1	nonpolysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT nonpolysome biological rep 1	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246276 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246276 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246276	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246276_AVA035_WT_NP1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246276_sample_table.txt norm	GSM1246276_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	nonpolysomal RNA
GSM1246295 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT polysome biological rep 4	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246295 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246295 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246295	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246295_AVA054_WT_PL5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246295_sample_table.txt norm	GSM1246295_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	polysomal RNA
GSM1246289 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT polysome biological rep 3	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246289 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246289 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246289	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246289_AVA048_WT_PL3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246289_sample_table.txt norm	GSM1246289_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	polysomal RNA
GSM1246283 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT polysome biological rep 2	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246283 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246283 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246283	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246283_AVA042_WT_PL2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246283_sample_table.txt norm	GSM1246283_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	polysomal RNA
GSM1246277 1	polysomal RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT polysome biological rep 1	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246277 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246277 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246277	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246277_AVA036_WT_PL1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246277_sample_table.txt norm	GSM1246277_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	polysomal RNA
GSM1246292 1	total RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT total biological rep 3	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246292 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246292 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246292	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246292_AVA051_WT_T3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246292_sample_table.txt norm	GSM1246292_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	total RNA
GSM1246286 1	total RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT total biological rep 2	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246286 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246286 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246286	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246286_AVA045_WT_T2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246286_sample_table.txt norm	GSM1246286_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	total RNA
GSM1246280 1	total RNA	Arabidopsis seedling grown on MS salt/agar in continuous light	WT total biological rep 1	10 to 12	day	germination	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	seedling	aerial part	P-GSE51480-2	ArrayExpress	P-GSE51480-3	ArrayExpress	P-GSE51480-4	ArrayExpress	GSM1246280 extract 1	total RNA	P-GSE51480-5	ArrayExpress	GSM1246280 LE 1	biotin	P-GSE51480-6	ArrayExpress	GSM1246280	A-AFFY-2	ArrayExpress	array assay	P-GSE51480-7	ArrayExpress	GSM1246280_AVA039_WT_T1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.raw.1.zip	P-GSE51480-1	ArrayExpress	GSM1246280_sample_table.txt norm	GSM1246280_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51480/E-GEOD-51480.processed.1.zip	wild type	total RNA
