Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Characteristics [treated with]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [treated with]
GSM1844417 1	SAMPLE 54	NO-NH-IA-CK-AB 0.5-0.5-0-1-0	NO-NH-IA-CK-AB 0.5-0.5-0-1-0-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-0-1-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844417 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844417 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844417	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844417_GK-MC-27-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844417_sample_table.txt norm	GSM1844417_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-0-1-0
GSM1844416 1	SAMPLE 53	NO-NH-IA-CK-AB 0.5-0.5-0-1-0	NO-NH-IA-CK-AB 0.5-0.5-0-1-0-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-0-1-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844416 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844416 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844416	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844416_GK-MC-27-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844416_sample_table.txt norm	GSM1844416_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-0-1-0
GSM1844415 1	SAMPLE 52	NO-NH-IA-CK-AB 0.5-0.5-0-0-1	NO-NH-IA-CK-AB 0.5-0.5-0-0-1-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-0-0-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844415 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844415 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844415	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844415_GK-MC-26-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844415_sample_table.txt norm	GSM1844415_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-0-0-1
GSM1844414 1	SAMPLE 51	NO-NH-IA-CK-AB 0.5-0.5-0-0-1	NO-NH-IA-CK-AB 0.5-0.5-0-0-1-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-0-0-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844414 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844414 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844414	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844414_GK-MC-26-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844414_sample_table.txt norm	GSM1844414_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-0-0-1
GSM1844413 1	SAMPLE 50	NO-NH-IA-CK-AB 0.5-0.5-0-0-0	NO-NH-IA-CK-AB 0.5-0.5-0-0-0-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-0-0-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844413 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844413 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844413	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844413_GK-MC-25-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844413_sample_table.txt norm	GSM1844413_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-0-0-0
GSM1844412 1	SAMPLE 49	NO-NH-IA-CK-AB 0.5-0.5-0-0-0	NO-NH-IA-CK-AB 0.5-0.5-0-0-0-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 0.5-0.5-0-0-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844412 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844412 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844412	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844412_GK-MC-25-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844412_sample_table.txt norm	GSM1844412_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 0.5-0.5-0-0-0
GSM1844411 1	SAMPLE 48	NO-NH-IA-CK-AB 1-0-1-1-1	NO-NH-IA-CK-AB 1-0-1-1-1-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 1-0-1-1-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844411 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844411 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844411	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844411_GK-MC-24-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844411_sample_table.txt norm	GSM1844411_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 1-0-1-1-1
GSM1844410 1	SAMPLE 47	NO-NH-IA-CK-AB 1-0-1-1-1	NO-NH-IA-CK-AB 1-0-1-1-1-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 1-0-1-1-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844410 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844410 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844410	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844410_GK-MC-24-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844410_sample_table.txt norm	GSM1844410_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 1-0-1-1-1
GSM1844409 1	SAMPLE 46	NO-NH-IA-CK-AB 1-0-1-1-0	NO-NH-IA-CK-AB 1-0-1-1-0-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 1-0-1-1-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844409 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844409 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844409	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844409_GK-MC-23-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844409_sample_table.txt norm	GSM1844409_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 1-0-1-1-0
GSM1844408 1	SAMPLE 45	NO-NH-IA-CK-AB 1-0-1-1-0	NO-NH-IA-CK-AB 1-0-1-1-0-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 1-0-1-1-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844408 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844408 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844408	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844408_GK-MC-23-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844408_sample_table.txt norm	GSM1844408_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 1-0-1-1-0
GSM1844407 1	SAMPLE 44	NO-NH-IA-CK-AB 1-0-1-0-1	NO-NH-IA-CK-AB 1-0-1-0-1-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 1-0-1-0-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844407 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844407 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844407	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844407_GK-MC-22-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844407_sample_table.txt norm	GSM1844407_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 1-0-1-0-1
GSM1844406 1	SAMPLE 43	NO-NH-IA-CK-AB 1-0-1-0-1	NO-NH-IA-CK-AB 1-0-1-0-1-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 1-0-1-0-1	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844406 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844406 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844406	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844406_GK-MC-22-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844406_sample_table.txt norm	GSM1844406_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 1-0-1-0-1
GSM1844405 1	SAMPLE 42	NO-NH-IA-CK-AB 1-0-1-0-0	NO-NH-IA-CK-AB 1-0-1-0-0-rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 1-0-1-0-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844405 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844405 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844405	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844405_GK-MC-21-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844405_sample_table.txt norm	GSM1844405_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 1-0-1-0-0
GSM1844404 1	SAMPLE 41	NO-NH-IA-CK-AB 1-0-1-0-0	NO-NH-IA-CK-AB 1-0-1-0-0-rep1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Roots	NO-NH-IA-CK-AB 1-0-1-0-0	P-GSE71737-2	ArrayExpress	P-GSE71737-3	ArrayExpress	P-GSE71737-4	ArrayExpress	GSM1844404 extract 1	total RNA	P-GSE71737-5	ArrayExpress	GSM1844404 LE 1	biotin	P-GSE71737-6	ArrayExpress	GSM1844404	A-AFFY-2	ArrayExpress	array assay	P-GSE71737-7	ArrayExpress	GSM1844404_GK-MC-21-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.raw.1.zip	P-GSE71737-1	ArrayExpress	GSM1844404_sample_table.txt norm	GSM1844404_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-71737/E-GEOD-71737.processed.1.zip	NO-NH-IA-CK-AB 1-0-1-0-0
