Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[TREATMENT DURATION]	Unit[TimeUnit]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]
GSE5628GSM131466	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131466 sample	GSE5628GSM131466 extract	total_RNA	GSE5628GSM131466 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9522_Heatstress(3h)+9hrecovery-Roots-12.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9522_Heatstress(3h)+9hrecovery-Roots-12.0h_Rep2	GSM131466.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	3	hours	9	hours
GSE5628GSM131465	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131465 sample	GSE5628GSM131465 extract	total_RNA	GSE5628GSM131465 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9521_Heatstress(3h)+9hrecovery-Roots-12.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9521_Heatstress(3h)+9hrecovery-Roots-12.0h_Rep1	GSM131465.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	3	hours	9	hours
GSE5628GSM131444	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131444 sample	GSE5628GSM131444 extract	total_RNA	GSE5628GSM131444 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9112_Heatstress-Shoots-0.5h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9112_Heatstress-Shoots-0.5h_Rep2	GSM131444.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	0.5	hours	0	hours
GSE5628GSM131451	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131451 sample	GSE5628GSM131451 extract	total_RNA	GSE5628GSM131451 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9311_Heatstress-Shoots-3.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9311_Heatstress-Shoots-3.0h_Rep1	GSM131451.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	3	hours	0	hours
GSE5628GSM131463	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131463 sample	GSE5628GSM131463 extract	total_RNA	GSE5628GSM131463 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9511_Heatstress(3h)+9hrecovery-Shoots-12.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9511_Heatstress(3h)+9hrecovery-Shoots-12.0h_Rep1	GSM131463.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	3	hours	9	hours
GSE5628GSM131449	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131449 sample	GSE5628GSM131449 extract	total_RNA	GSE5628GSM131449 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9221_Heatstress-Roots-1.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9221_Heatstress-Roots-1.0h_Rep1	GSM131449.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	1	hours	0	hours
GSE5628GSM131439	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131439 sample	GSE5628GSM131439 extract	total_RNA	GSE5628GSM131439 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9711_Heatstress-Shoots-0.25h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9711_Heatstress-Shoots-0.25h_Rep1	GSM131439.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	0.25	hours	0	hours
GSE5628GSM131443	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131443 sample	GSE5628GSM131443 extract	total_RNA	GSE5628GSM131443 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9111_Heatstress-Shoots-0.5h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9111_Heatstress-Shoots-0.5h_Rep1	GSM131443.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	0.5	hours	0	hours
GSE5628GSM131453	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131453 sample	GSE5628GSM131453 extract	total_RNA	GSE5628GSM131453 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9321_Heatstress-Roots-3.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9321_Heatstress-Roots-3.0h_Rep1	GSM131453.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	3	hours	0	hours
GSE5628GSM131445	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131445 sample	GSE5628GSM131445 extract	total_RNA	GSE5628GSM131445 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9121_Heatstress-Roots-0.5h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9121_Heatstress-Roots-0.5h_Rep1	GSM131445.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	0.5	hours	0	hours
GSE5628GSM131442	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131442 sample	GSE5628GSM131442 extract	total_RNA	GSE5628GSM131442 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9722_Heatstress-Roots-0.25h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9722_Heatstress-Roots-0.25h_Rep2	GSM131442.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	0.25	hours	0	hours
GSE5628GSM131461	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Roots	P-G5628-1	GSE5628GSM131461 sample	GSE5628GSM131461 extract	total_RNA	GSE5628GSM131461 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9421_Heatstress(3h)+3hrecovery-Roots-6.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9421_Heatstress(3h)+3hrecovery-Roots-6.0h_Rep1	GSM131461.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	root	3	hours	3	hours
GSE5628GSM131455	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131455 sample	GSE5628GSM131455 extract	total_RNA	GSE5628GSM131455 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9811_Heatstress(3h)+1hrecovery-Shoots-4.0h_Rep1	A-AFFY-2	P-AFFY-6	AtGen_6-9811_Heatstress(3h)+1hrecovery-Shoots-4.0h_Rep1	GSM131455.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	3	hours	1	hours
GSE5628GSM131448	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131448 sample	GSE5628GSM131448 extract	total_RNA	GSE5628GSM131448 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9212_Heatstress-Shoots-1.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9212_Heatstress-Shoots-1.0h_Rep2	GSM131448.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	1	hours	0	hours
GSE5628GSM131468	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	shoot	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50% Temperature: 24 Lighting: 16 hour days Medium: Murashige and Skoog Water: N/A. Stock Code: N1092; Tissue: Shoots	P-G5628-1	GSE5628GSM131468 sample	GSE5628GSM131468 extract	total_RNA	GSE5628GSM131468 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	AtGen_6-9612_Heatstress(3h)+21hrecovery-Shoots-24.0h_Rep2	A-AFFY-2	P-AFFY-6	AtGen_6-9612_Heatstress(3h)+21hrecovery-Shoots-24.0h_Rep2	GSM131468.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.raw.1.zip	E-GEOD-5628-processed-data-1628501920.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5628/E-GEOD-5628.processed.1.zip	shoot	3	hours	21	hours
