Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM PART]
GSE5629GSM131482	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	whole organism	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: developmental drift; whole plant after transition, but before bolting	GSE5629GSM131482 sample	GSE5629GSM131482 extract	total_RNA	GSE5629GSM131482 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_24_C	A-AFFY-2	P-AFFY-6	ATGE_24_C	GSM131482.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	whole organism
GSE5629GSM131490	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC. Tissue: seedling, green parts	GSE5629GSM131490 sample	GSE5629GSM131490 extract	total_RNA	GSE5629GSM131490 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_100_B	A-AFFY-2	P-AFFY-6	ATGE_100_B	GSM131490.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131485	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: seedling, green parts	GSE5629GSM131485 sample	GSE5629GSM131485 extract	total_RNA	GSE5629GSM131485 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_96_C	A-AFFY-2	P-AFFY-6	ATGE_96_C	GSM131485.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131476	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	whole organism	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: developmental drift; whole plant after transition, but before bolting	GSE5629GSM131476 sample	GSE5629GSM131476 extract	total_RNA	GSE5629GSM131476 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_22_C	A-AFFY-2	P-AFFY-6	ATGE_22_C	GSM131476.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	whole organism
GSE5629GSM131492	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC. Tissue: seedling, green parts	GSE5629GSM131492 sample	GSE5629GSM131492 extract	total_RNA	GSE5629GSM131492 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_101_A	A-AFFY-2	P-AFFY-6	ATGE_101_A	GSM131492.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131472	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: seedling, green parts	GSE5629GSM131472 sample	GSE5629GSM131472 extract	total_RNA	GSE5629GSM131472 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_7_B2	A-AFFY-2	P-AFFY-6	ATGE_7_B2	GSM131472.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131491	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC. Tissue: seedling, green parts	GSE5629GSM131491 sample	GSE5629GSM131491 extract	total_RNA	GSE5629GSM131491 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_100_C	A-AFFY-2	P-AFFY-6	ATGE_100_C	GSM131491.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131479	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	whole organism	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: developmental drift; whole plant after transition, but before bolting	GSE5629GSM131479 sample	GSE5629GSM131479 extract	total_RNA	GSE5629GSM131479 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_23_C	A-AFFY-2	P-AFFY-6	ATGE_23_C	GSM131479.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	whole organism
GSE5629GSM131488	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: seedling, green parts	GSE5629GSM131488 sample	GSE5629GSM131488 extract	total_RNA	GSE5629GSM131488 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_97_C	A-AFFY-2	P-AFFY-6	ATGE_97_C	GSM131488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131481	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	whole organism	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: developmental drift; whole plant after transition, but before bolting	GSE5629GSM131481 sample	GSE5629GSM131481 extract	total_RNA	GSE5629GSM131481 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_24_B	A-AFFY-2	P-AFFY-6	ATGE_24_B	GSM131481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	whole organism
GSE5629GSM131483	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: seedling, green parts	GSE5629GSM131483 sample	GSE5629GSM131483 extract	total_RNA	GSE5629GSM131483 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_96_A	A-AFFY-2	P-AFFY-6	ATGE_96_A	GSM131483.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
GSE5629GSM131480	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	whole organism	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: developmental drift; whole plant after transition, but before bolting	GSE5629GSM131480 sample	GSE5629GSM131480 extract	total_RNA	GSE5629GSM131480 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_24_A	A-AFFY-2	P-AFFY-6	ATGE_24_A	GSM131480.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	whole organism
GSE5629GSM131478	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	after transition, before bolting	whole organism	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: developmental drift; whole plant after transition, but before bolting	GSE5629GSM131478 sample	GSE5629GSM131478 extract	total_RNA	GSE5629GSM131478 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_23_B	A-AFFY-2	P-AFFY-6	ATGE_23_B	GSM131478.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	after transition, before bolting	whole organism
GSE5629GSM131486	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	green parts	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: seedling, green parts	GSE5629GSM131486 sample	GSE5629GSM131486 extract	total_RNA	GSE5629GSM131486 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_97_A	A-AFFY-2	P-AFFY-6	ATGE_97_A	GSM131486.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.raw.1.zip	E-GEOD-5629-processed-data-1628494410.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5629/E-GEOD-5629.processed.1.zip	seedling	green parts
