Source Name	Characteristics [organism]	Characteristics [ecotype]	Characteristics[age]	Unit[time unit]	Characteristics [organism part]	Characteristics[growth condition]	Comment[growth condition]	Comments[age exp begin]	Comment [date exp begin]	Material Type	Protocol REF	Sample Name	Description	Protocol REF	Parameter Value[RNA quality RIN]	Performer	Extract Name 	Material Type	Protocol REF	Performer	Parameter Value [system used]	Parameter Value [amount of RNA used]	Protocol REF	Parameter Value[system used]	Parameter Value[cDNA MassUnit]	Performer	Labeled Extract Name	Label	Protocol REF 	Parameter Value[hyb temp] 	Parameter Value[hyb duration]	Hybridization Name	Array Design REF 	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF 	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	Factor Value[organism part]	FactorValue [growth condition]
F6S2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F6S2	FLIGHT TAGES 2B plate6 SHOOTS Rep2	P-MTAB-28102	RIN	Zupanska A.	F6S2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F6S2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8414_Ferl_Paul_F6S2_(ATH1-121501).CEL	A-AFFY-2	8414_Ferl_Paul_F6S2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	spaceflight environment
G2S1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G2S1	GROUND CONTROL TAGES 2B plate2 SHOOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	G2S1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G2S1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8415_Ferl_Paul_G2S1_(ATH1-121501).CEL	A-AFFY-2	8415_Ferl_Paul_G2S1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	ground control
G4S1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G4S1	GROUND CONTROL TAGES 2B plate4 SHOOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	G4S1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G4S1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8416_Ferl_Paul_G4S1_(ATH1-121501).CEL	A-AFFY-2	8416_Ferl_Paul_G4S1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	ground control
G4S2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G4S2	GROUND CONTROL TAGES 2B plate4 SHOOTS Rep2	P-MTAB-28102	RIN	Zupanska A.	G4S2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G4S2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8417_Ferl_Paul_G4S2_(ATH1-121501).CEL	A-AFFY-2	8417_Ferl_Paul_G4S2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	ground control
G6S1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G6S1	GROUND CONTROL TAGES 2B plate6 SHOOTS Rep1	P-MTAB-28102	RIN	Zupanska A.	G6S1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G6S1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8418_Ferl_Paul_G6S1_(ATH1-121501).CEL	A-AFFY-2	8418_Ferl_Paul_G6S1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	ground control
G6S2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	shoot	Advanced Biological Research System (ABRS) at Ground Control Orbiter Environmental Simulator at Kennedy Space Center	solid 0.5x MS media plates; Advanced solid media plates; Advanced Biological Research System (ABRS); GC Unit, OES chamber at KSC	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	G6S2	GROUND CONTROL TAGES 2B plate6 SHOOTS Rep2	P-MTAB-28102	RIN	Zupanska A.	G6S2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	G6S2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8419_Ferl_Paul_G6S2_(ATH1-121501).CEL	A-AFFY-2	8419_Ferl_Paul_G6S2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	shoot	ground control
F2H1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F2H1	FLIGHT TAGES 2B plate2 HYPOCOTYLS Rep1	P-MTAB-28102	RIN	Zupanska A.	F2H1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F2H1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8420_Ferl_Paul_F2H1_(ATH1-121501).CEL	A-AFFY-2	8420_Ferl_Paul_F2H1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	spaceflight environment
F4H1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F4H1	FLIGHT TAGES 2B plate4 HYPOCOTYLS Rep1	P-MTAB-28102	RIN	Zupanska A.	F4H1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F4H1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8421_Ferl_Paul_F4H1_(ATH1-121501).CEL	A-AFFY-2	8421_Ferl_Paul_F4H1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	spaceflight environment
F4H2	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F4H2	FLIGHT TAGES 2B plate4 HYPOCOTYLS Rep2	P-MTAB-28102	RIN	Zupanska A.	F4H2	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F4H2	biotin	P-MTAB-28105	45 degrees_C	16 hour	8422_Ferl_Paul_F4H2_(ATH1-121501).CEL	A-AFFY-2	8422_Ferl_Paul_F4H2_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	spaceflight environment
F6H1	Arabidopsis thaliana	60% Wassilewskija, 40% Col-0	12	day	hypocotyl	Advanced Biological Research System (ABRS) at International Space Station	solid 0.5x MS media plates; Advanced Biological Research System (ABRS); The EXPRESS Rack 	seeds germinated with light stimulus 12 days into the flight	2010-04-21	organism part	P-MTAB-28101	F6H1	FLIGHT TAGES 2B plate6 HYPOCOTYLS Rep1	P-MTAB-28102	RIN	Zupanska A.	F6H1	total RNA	P-MTAB-28103	Zhang Y.	cDNA synthesis- Affymetrix 3'IVT kit for cDNA synthesis and labeling-reverse transcription-IVT method	60 ng	P-MTAB-28104	labeling - Affymetrix 3'IVT kit for cDNA synthesis and labeling	5 ug 	Zhang Y.	F6H1	biotin	P-MTAB-28105	45 degrees_C	16 hour	8423_Ferl_Paul_F6H1_(ATH1-121501).CEL	A-AFFY-2	8423_Ferl_Paul_F6H1_(ATH1-121501).CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.raw.1.zip	P-MTAB-28106	Ferl_11-16-10MAS5.TXT	Ferl_11-16-10MAS5.TXT	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-1264/E-MTAB-1264.processed.1.zip	hypocotyl	spaceflight environment
