Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[TEMPERATURE]	Unit[TemperatureUnit]	FactorValue[AGE]	Unit[TimeUnit]
GSE5631GSM131566	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: root	GSE5631GSM131566 sample	GSE5631GSM131566 extract	total_RNA	GSE5631GSM131566 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_94_C	A-AFFY-2	P-AFFY-6	ATGE_94_C	GSM131566.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	8	days
GSE5631GSM131567	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: root	GSE5631GSM131567 sample	GSE5631GSM131567 extract	total_RNA	GSE5631GSM131567 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_95_A	A-AFFY-2	P-AFFY-6	ATGE_95_A	GSM131567.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	8	days
GSE5631GSM131568	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: root	GSE5631GSM131568 sample	GSE5631GSM131568 extract	total_RNA	GSE5631GSM131568 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_95_B	A-AFFY-2	P-AFFY-6	ATGE_95_B	GSM131568.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	8	days
GSE5631GSM131569	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC Tissue comments: the majority of the plants resembled 7-day-old plants of the reference sample (ATGE no. 7). Tissue: root	GSE5631GSM131569 sample	GSE5631GSM131569 extract	total_RNA	GSE5631GSM131569 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_95_C	A-AFFY-2	P-AFFY-6	ATGE_95_C	GSM131569.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	8	days
GSE5631GSM131570	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC. Tissue: root	GSE5631GSM131570 sample	GSE5631GSM131570 extract	total_RNA	GSE5631GSM131570 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_98_A	A-AFFY-2	P-AFFY-6	ATGE_98_A	GSM131570.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	21	days
GSE5631GSM131571	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC. Tissue: root	GSE5631GSM131571 sample	GSE5631GSM131571 extract	total_RNA	GSE5631GSM131571 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_98_B	A-AFFY-2	P-AFFY-6	ATGE_98_B	GSM131571.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	21	days
GSE5631GSM131572	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM Temperature: 20oC. Tissue: root	GSE5631GSM131572 sample	GSE5631GSM131572 extract	total_RNA	GSE5631GSM131572 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_98_C	A-AFFY-2	P-AFFY-6	ATGE_98_C	GSM131572.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	21	days
GSE5631GSM131573	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC. Tissue: root	GSE5631GSM131573 sample	GSE5631GSM131573 extract	total_RNA	GSE5631GSM131573 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_99_A	A-AFFY-2	P-AFFY-6	ATGE_99_A	GSM131573.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	21	days
GSE5631GSM131574	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC. Tissue: root	GSE5631GSM131574 sample	GSE5631GSM131574 extract	total_RNA	GSE5631GSM131574 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_99_B	A-AFFY-2	P-AFFY-6	ATGE_99_B	GSM131574.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	21	days
GSE5631GSM131575	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	root	Col-0:  Photoperiod: continuous light Substrate: 0.5x GM, 5% sucrose Temperature: 20oC. Tissue: root	GSE5631GSM131575 sample	GSE5631GSM131575 extract	total_RNA	GSE5631GSM131575 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_99_C	A-AFFY-2	P-AFFY-6	ATGE_99_C	GSM131575.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.raw.1.zip	E-GEOD-5631-processed-data-1628502252.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5631/E-GEOD-5631.processed.1.zip	continuous light	20	degree_C	21	days
