Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]	FactorValue[TEMPERATURE]	Unit[TemperatureUnit]
GSE10522GSM265866	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 14C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 14C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-7	GSE10522GSM265866 sample	P-10522-5	GSE10522GSM265866 extract	total_RNA	P-10522-4	GSE10522GSM265866 LE	biotin	synthetic_RNA	P-10522-1	long 14B	A-AFFY-2	P-AFFY-6	long 14B	GSM265866.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	14	degree_C
GSE10522GSM265854	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 14C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 14C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-7	GSE10522GSM265854 sample	P-10522-5	GSE10522GSM265854 extract	total_RNA	P-10522-4	GSE10522GSM265854 LE	biotin	synthetic_RNA	P-10522-1	long 14A	A-AFFY-2	P-AFFY-6	long 14A	GSM265854.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	14	degree_C
GSE10522GSM265859	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 17C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 17C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-6	GSE10522GSM265859 sample	P-10522-5	GSE10522GSM265859 extract	total_RNA	P-10522-4	GSE10522GSM265859 LE	biotin	synthetic_RNA	P-10522-1	short 17B	A-AFFY-2	P-AFFY-6	short 17B	GSM265859.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	17	degree_C
GSE10522GSM265847	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 17C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 17C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-6	GSE10522GSM265847 sample	P-10522-5	GSE10522GSM265847 extract	total_RNA	P-10522-4	GSE10522GSM265847 LE	biotin	synthetic_RNA	P-10522-1	short 17A	A-AFFY-2	P-AFFY-6	short 17A	GSM265847.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	17	degree_C
GSE10522GSM265865	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 17C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 17C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-6	GSE10522GSM265865 sample	P-10522-5	GSE10522GSM265865 extract	total_RNA	P-10522-4	GSE10522GSM265865 LE	biotin	synthetic_RNA	P-10522-1	long 17B	A-AFFY-2	P-AFFY-6	long 17B	GSM265865.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	17	degree_C
GSE10522GSM265853	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 17C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 17C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-6	GSE10522GSM265853 sample	P-10522-5	GSE10522GSM265853 extract	total_RNA	P-10522-4	GSE10522GSM265853 LE	biotin	synthetic_RNA	P-10522-1	long 17A	A-AFFY-2	P-AFFY-6	long 17A	GSM265853.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	17	degree_C
GSE10522GSM265846	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 20C, controlA for 6 h:  Gene expression data from Arabidopsis rosettes, control. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-2	GSE10522GSM265846 sample	P-10522-5	GSE10522GSM265846 extract	total_RNA	P-10522-4	GSE10522GSM265846 LE	biotin	synthetic_RNA	P-10522-1	control shortA	A-AFFY-2	P-AFFY-6	control shortA	GSM265846.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	20	degree_C
GSE10522GSM265852	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 20C, controlA for 78 h:  Gene expression data from Arabidopsis rosettes, control. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-2	GSE10522GSM265852 sample	P-10522-5	GSE10522GSM265852 extract	total_RNA	P-10522-4	GSE10522GSM265852 LE	biotin	synthetic_RNA	P-10522-1	control longA	A-AFFY-2	P-AFFY-6	control longA	GSM265852.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	20	degree_C
GSE10522GSM265858	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 20C, controlB for 6 h:  Gene expression data from Arabidopsis rosettes, control. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-2	GSE10522GSM265858 sample	P-10522-5	GSE10522GSM265858 extract	total_RNA	P-10522-4	GSE10522GSM265858 LE	biotin	synthetic_RNA	P-10522-1	control shortB	A-AFFY-2	P-AFFY-6	control shortB	GSM265858.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	20	degree_C
GSE10522GSM265864	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 20C, controlB for 78h:  Gene expression data from Arabidopsis rosettes, control. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-2	GSE10522GSM265864 sample	P-10522-5	GSE10522GSM265864 extract	total_RNA	P-10522-4	GSE10522GSM265864 LE	biotin	synthetic_RNA	P-10522-1	control longB	A-AFFY-2	P-AFFY-6	control longB	GSM265864.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	20	degree_C
GSE10522GSM265863	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 8C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 8C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-10	GSE10522GSM265863 sample	P-10522-5	GSE10522GSM265863 extract	total_RNA	P-10522-4	GSE10522GSM265863 LE	biotin	synthetic_RNA	P-10522-1	short 8B	A-AFFY-2	P-AFFY-6	short 8B	GSM265863.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	8	degree_C
GSE10522GSM265851	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 8C for 6h:  Gene expression data from Arabidopsis rosettes 6 hours in 8C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-10	GSE10522GSM265851 sample	P-10522-5	GSE10522GSM265851 extract	total_RNA	P-10522-4	GSE10522GSM265851 LE	biotin	synthetic_RNA	P-10522-1	short 8A	A-AFFY-2	P-AFFY-6	short 8A	GSM265851.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	6	hours	8	degree_C
GSE10522GSM265857	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 8C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 8C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-10	GSE10522GSM265857 sample	P-10522-5	GSE10522GSM265857 extract	total_RNA	P-10522-4	GSE10522GSM265857 LE	biotin	synthetic_RNA	P-10522-1	long 8A	A-AFFY-2	P-AFFY-6	long 8A	GSM265857.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	8	degree_C
GSE10522GSM265869	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosettes grown at 8C for 78h:  Gene expression data from Arabidopsis rosettes 78 hours in 8C. Genotype: Columbia-0; Age: 4-5 weeks; Tissue: rosette	4-5	weeks	rosette	Col-0	P-10522-3	P-10522-10	GSE10522GSM265869 sample	P-10522-5	GSE10522GSM265869 extract	total_RNA	P-10522-4	GSE10522GSM265869 LE	biotin	synthetic_RNA	P-10522-1	long 8B	A-AFFY-2	P-AFFY-6	long 8B	GSM265869.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.raw.1.zip	E-GEOD-10522-processed-data-1605344270.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10522/E-GEOD-10522.processed.1.zip	78	hours	8	degree_C
