Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [antibody]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ANTIBODY]	FactorValue [GENOTYPE]
GSM995520 1	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	ChIPed DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	anti-GFP	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 1	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 1	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_I_1_Grotewold_110609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	anti-GFP	not specified
GSM995520 1	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	ChIPed DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	anti-GFP	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 1	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 1	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_GFP_2_Grotewold_110609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	anti-GFP	not specified
GSM995520 1	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	ChIPed DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	anti-GFP	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 1	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 1	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_GFP_1_Grotewold_110609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	anti-GFP	not specified
GSM995520 2	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	Input DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	none	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 2	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 2	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_new_KM.bed	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	none	not specified
GSM995520 2	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	Input DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	none	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 2	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 2	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_new_KM.At35b_MF_v04_2_Jan2004.NR.bpmap_matscore.bar.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	none	not specified
GSM995520 2	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	Input DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	none	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 2	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 2	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_new_KM.At35b_MF_v04_2_Jan2004.NR.bpmap_matscore.bar	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	none	not specified
GSM995520 2	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	Input DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	none	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 2	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 2	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_I_2_Grotewold_110609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	none	not specified
GSM995520 2	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	Input DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	none	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 2	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 2	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_I_1_Grotewold_110609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	none	not specified
GSM995520 2	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	Input DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	none	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 2	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 2	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_GFP_2_Grotewold_110609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	none	not specified
GSM995520 2	GTL1 ChIP from two independent ChIP experiments: IP: GTL1_GFP_1_Grotewold_110609.CEL IP: GTL1_GFP_2_Grotewold_110609.CEL Input: GTL1_I_1_Grotewold_110609.CEL Input: GTL1_I_2_Grotewold_110609.CEL	Input DNA from GTL1p:GTL1-GFP transgenic Arabidopsis	GTL1 ChIP-chip	none	  	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	P-GSE40520-8	ArrayExpress	P-GSE40520-2	ArrayExpress	P-GSE40520-9	ArrayExpress	GSM995520 extract 2	genomic DNA	P-GSE40520-10	ArrayExpress	GSM995520 LE 2	biotin	P-GSE40520-11	ArrayExpress	GSM995520	A-GEOD-10977	ArrayExpress	array assay	P-GSE40520-12	ArrayExpress	GSM995520_GTL1_GFP_1_Grotewold_110609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-40520/E-GEOD-40520.raw.1.zip	  	ArrayExpress	  	  	  	none	not specified
