Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[Genotype]	Description	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[SAMPLING TIME POINT]	Unit[TimeUnit]	FactorValue[GENOTYPE]
GSE11708GSM297385	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297385 sample	P-G11708-2	GSE11708GSM297385 extract	total_RNA	P-G11708-1	GSE11708GSM297385 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R2D4	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R2D4	GSM297385.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	12	hours	ss3 mutant
GSE11708GSM297397	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297397 sample	P-G11708-2	GSE11708GSM297397 extract	total_RNA	P-G11708-1	GSE11708GSM297397 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR2L1	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR2L1	GSM297397.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	1	hours	wild_type
GSE11708GSM297389	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297389 sample	P-G11708-2	GSE11708GSM297389 extract	total_RNA	P-G11708-1	GSE11708GSM297389 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR1D0.5	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR1D0.5	GSM297389.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	8.5	hours	wild_type
GSE11708GSM297390	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297390 sample	P-G11708-2	GSE11708GSM297390 extract	total_RNA	P-G11708-1	GSE11708GSM297390 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR1D4	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR1D4	GSM297390.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	12	hours	wild_type
GSE11708GSM297393	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297393 sample	P-G11708-2	GSE11708GSM297393 extract	total_RNA	P-G11708-1	GSE11708GSM297393 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR1L4	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR1L4	GSM297393.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	2	hours	wild_type
GSE11708GSM297398	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297398 sample	P-G11708-2	GSE11708GSM297398 extract	total_RNA	P-G11708-1	GSE11708GSM297398 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR2L4	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR2L4	GSM297398.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	2	hours	wild_type
GSE11708GSM297391	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297391 sample	P-G11708-2	GSE11708GSM297391 extract	total_RNA	P-G11708-1	GSE11708GSM297391 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR1D8	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR1D8	GSM297391.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	16	hours	wild_type
GSE11708GSM297396	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	wild_type	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297396 sample	P-G11708-2	GSE11708GSM297396 extract	total_RNA	P-G11708-1	GSE11708GSM297396 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.WTR2D8	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.WTR2D8	GSM297396.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	16	hours	wild_type
GSE11708GSM297380	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia 0 wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297380 sample	P-G11708-2	GSE11708GSM297380 extract	total_RNA	P-G11708-1	GSE11708GSM297380 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R1D4	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R1D4	GSM297380.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	12	hours	ss3 mutant
GSE11708GSM297379	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	rosette leaf	Col-0	ss3 mutant	leave of different genotype, harvest over diurnal cycle, Short Day (8 h light/16 h dark).:  The Atss3 mutant and WT plants were arranged according to a Randomized Complete Block Design. The plants were planted in rows with seven rows in each flat; two plants of the same genotype/pot. Plants were grown under a SD photoperiod (8 h light/16 h dark) in a growth chamber as described. Eight randomly selected rows were harvested for each time point from different flats. Plant material was harvested at five time points in the diurnal cycle (1, 4, 8.5, 12, and 16 h; Time 0 is the beginning of the light period); harvesting was conducted under a green safety light. Each sample consisted of rosette leaves (leaves 5 to 8, photosynthetically active) from sixteen six-week-old plants. Leaf samples were frozen in liquid nitrogen immediately after harvest and stored at -80oC for RNA extraction. The experiment was done twice and independent randomizations for plant growth and harvest were used for the two replicates.. Columbia wild type and Atss3 mutant, leave samples over diurnal cycle (1, 4 h in the light; 0.5, 4, 8 h in the dark).	GSE11708GSM297379 sample	P-G11708-2	GSE11708GSM297379 extract	total_RNA	P-G11708-1	GSE11708GSM297379 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	At.StarchSD.WTSS3.SS3R1D0.5	A-AFFY-2	P-AFFY-6	At.StarchSD.WTSS3.SS3R1D0.5	GSM297379.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11708-processed-data-1679216991.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11708/E-GEOD-11708.processed.1.zip	8.5	hours	ss3 mutant
