Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [TIME]	FactorValue [TREATMENT]
GSM967247 1	7 day old seedlings	AVG 3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967247 extract 1	total RNA	P-GSE39385-5	GSM967247 LE 1	biotin	P-GSE39385-6	GSM967247	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967247_AVG_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967247_sample_table.txt norm	GSM967247_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM AVG
GSM967246 1	7 day old seedlings	AgNO3 3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967246 extract 1	total RNA	P-GSE39385-5	GSM967246 LE 1	biotin	P-GSE39385-6	GSM967246	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967246_AgNO3_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967246_sample_table.txt norm	GSM967246_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM AgNO3
GSM967245 1	7 day old seedlings	AgNO3 3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967245 extract 1	total RNA	P-GSE39385-5	GSM967245 LE 1	biotin	P-GSE39385-6	GSM967245	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967245_AgNO3_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967245_sample_table.txt norm	GSM967245_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM AgNO3
GSM967244 1	7 day old seedlings	Brz220 3µM3h (G) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967244 extract 1	total RNA	P-GSE39385-5	GSM967244 LE 1	biotin	P-GSE39385-6	GSM967244	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967244_ColBrz3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967244_sample_table.txt norm	GSM967244_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	3 µM Brz220
GSM967243 1	7 day old seedlings	Brz220 3µM3h (G) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967243 extract 1	total RNA	P-GSE39385-5	GSM967243 LE 1	biotin	P-GSE39385-6	GSM967243	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967243_ColBrz3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967243_sample_table.txt norm	GSM967243_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	3 µM Brz220
GSM967242 1	7 day old seedlings	mock 3h (G) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967242 extract 1	total RNA	P-GSE39385-5	GSM967242 LE 1	biotin	P-GSE39385-6	GSM967242	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967242_Colm3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967242_sample_table.txt norm	GSM967242_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	mock
GSM967241 1	7 day old seedlings	mock 3h (G) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967241 extract 1	total RNA	P-GSE39385-5	GSM967241 LE 1	biotin	P-GSE39385-6	GSM967241	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967241_Colm3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967241_sample_table.txt norm	GSM967241_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	mock
GSM967240 1	7 day old seedlings	Brz91 12h (F2) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967240 extract 1	total RNA	P-GSE39385-5	GSM967240 LE 1	biotin	P-GSE39385-6	GSM967240	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967240_91_12h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967240_sample_table.txt norm	GSM967240_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	12h	10 µM Brz91
GSM967239 1	7 day old seedlings	Brz91 12h (F2) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967239 extract 1	total RNA	P-GSE39385-5	GSM967239 LE 1	biotin	P-GSE39385-6	GSM967239	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967239_91_12h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967239_sample_table.txt norm	GSM967239_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	12h	10 µM Brz91
GSM967238 1	7 day old seedlings	Brz91 3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967238 extract 1	total RNA	P-GSE39385-5	GSM967238 LE 1	biotin	P-GSE39385-6	GSM967238	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967238_91_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967238_sample_table.txt norm	GSM967238_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM Brz91
GSM967237 1	7 day old seedlings	Brz91 3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967237 extract 1	total RNA	P-GSE39385-5	GSM967237 LE 1	biotin	P-GSE39385-6	GSM967237	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967237_91_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967237_sample_table.txt norm	GSM967237_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM Brz91
GSM967236 1	7 day old seedlings	Brz220 10µM12h (F2) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967236 extract 1	total RNA	P-GSE39385-5	GSM967236 LE 1	biotin	P-GSE39385-6	GSM967236	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967236_220_12h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967236_sample_table.txt norm	GSM967236_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	12h	10 µM Brz220
GSM967235 1	7 day old seedlings	Brz220 10µM12h (F2) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967235 extract 1	total RNA	P-GSE39385-5	GSM967235 LE 1	biotin	P-GSE39385-6	GSM967235	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967235_220_12h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967235_sample_table.txt norm	GSM967235_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	12h	10 µM Brz220
GSM967234 1	7 day old seedlings	Brz220 10µM3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967234 extract 1	total RNA	P-GSE39385-5	GSM967234 LE 1	biotin	P-GSE39385-6	GSM967234	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967234_220_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967234_sample_table.txt norm	GSM967234_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM Brz220
GSM967233 1	7 day old seedlings	Brz220 10µM3h (F1) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967233 extract 1	total RNA	P-GSE39385-5	GSM967233 LE 1	biotin	P-GSE39385-6	GSM967233	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967233_220_3h-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967233_sample_table.txt norm	GSM967233_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM Brz220
GSM967232 1	7 day old seedlings	NPA 3h (F1) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39385-3	P-GSE39385-2	P-GSE39385-4	GSM967232 extract 1	total RNA	P-GSE39385-5	GSM967232 LE 1	biotin	P-GSE39385-6	GSM967232	A-AFFY-2	  	P-GSE39385-7	P-GSE39385-8	GSM967232_NPA_3h-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.raw.1.zip	P-GSE39385-1	GSM967232_sample_table.txt norm	GSM967232_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39385/E-GEOD-39385.processed.1.zip	3h	10 µM NPA
