Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]
GSM1030595 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 8 hours	control 8h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030595 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030595 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030595	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030595_C_8-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030595_sample_table.txt norm	GSM1030595_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030594 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 4 hours	control 4h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030594 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030594 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030594	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030594_C_4-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030594_sample_table.txt norm	GSM1030594_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030593 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 2 hours	control 2h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030593 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030593 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030593	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030593_C_2-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030593_sample_table.txt norm	GSM1030593_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030592 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 1 hour	control 1h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030592 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030592 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030592	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030592_C_1-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030592_sample_table.txt norm	GSM1030592_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030591 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 30 minutes	control 0.5h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030591 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030591 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030591	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030591_C_0.5-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030591_sample_table.txt norm	GSM1030591_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030590 1	6 day old arabidopsis roots	6 day old roots placed on control medium for <5 minutes	control 0h rep3	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030590 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030590 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030590	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030590_C_0-r_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030590_sample_table.txt norm	GSM1030590_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030589 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 24 hours	IAA 24h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030589 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030589 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030589	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030589_T2-16_64_IAA24_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030589_sample_table.txt norm	GSM1030589_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030588 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 12 hours	IAA 12h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030588 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030588 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030588	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030588_T2-15_63_IAA12_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030588_sample_table.txt norm	GSM1030588_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030587 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 8 hours	IAA 8h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030587 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030587 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030587	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030587_T2-14_62_IAA8_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030587_sample_table.txt norm	GSM1030587_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030586 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 4 hours	IAA 4h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030586 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030586 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030586	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030586_T2-13_61_IAA4_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030586_sample_table.txt norm	GSM1030586_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030585 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 2 hours	IAA 2h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030585 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030585 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030585	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030585_T2-12_12_IAA2_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030585_sample_table.txt norm	GSM1030585_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030584 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 1 hour	IAA 1h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030584 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030584 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030584	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030584_T2-11_59_IAA1_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030584_sample_table.txt norm	GSM1030584_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030583 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for 30 minutes	IAA 0.5h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030583 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030583 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030583	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030583_T2-10_58_IAA0.5_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030583_sample_table.txt norm	GSM1030583_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030582 1	6 day old arabidopsis roots	6 day old roots placed on auxin medium for < 5 minutes	IAA 0h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030582 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030582 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030582	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030582_T2-09_57_IAA0.0_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030582_sample_table.txt norm	GSM1030582_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030581 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 24 hours	control 24h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030581 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030581 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030581	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030581_T2-08_56_c24_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030581_sample_table.txt norm	GSM1030581_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030580 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 12 hours	control 12h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030580 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030580 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030580	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030580_T2-07_7_c12_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030580_sample_table.txt norm	GSM1030580_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
GSM1030579 1	6 day old arabidopsis roots	6 day old roots placed on control medium for 8 hours	control 8h rep2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	root	EFO	EFO_0000989	P-GSE42007-2	ArrayExpress	P-GSE42007-3	ArrayExpress	P-GSE42007-4	ArrayExpress	GSM1030579 extract 1	total RNA	P-GSE42007-5	ArrayExpress	GSM1030579 LE 1	biotin	P-GSE42007-6	ArrayExpress	GSM1030579	A-AFFY-2	ArrayExpress	array assay	P-GSE42007-7	ArrayExpress	GSM1030579_T2-06_54_c8_2_ATH1-121501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.raw.1.zip	P-GSE42007-1	ArrayExpress	GSM1030579_sample_table.txt norm	GSM1030579_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-42007/E-GEOD-42007.processed.1.zip
