Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue[time]	Unit[time unit]
GSM379253 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 1 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379253 extract 1	total RNA	P-GSE15189-3	GSM379253 LE 1	biotin	P-GSE15189-4	GSM379253	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379253.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379253_sample_table.txt norm	GSM379253_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	1	hour
GSM379252 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 1 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379252 extract 1	total RNA	P-GSE15189-3	GSM379252 LE 1	biotin	P-GSE15189-4	GSM379252	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379252.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379252_sample_table.txt norm	GSM379252_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	1	hour
GSM379251 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 1 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379251 extract 1	total RNA	P-GSE15189-3	GSM379251 LE 1	biotin	P-GSE15189-4	GSM379251	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379251.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379251_sample_table.txt norm	GSM379251_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	1	hour
GSM379250 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 1 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379250 extract 1	total RNA	P-GSE15189-3	GSM379250 LE 1	biotin	P-GSE15189-4	GSM379250	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379250.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379250_sample_table.txt norm	GSM379250_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	1	hour
GSM379249 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 1 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379249 extract 1	total RNA	P-GSE15189-3	GSM379249 LE 1	biotin	P-GSE15189-4	GSM379249	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379249.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379249_sample_table.txt norm	GSM379249_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	1	hour
GSM379248 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 1 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379248 extract 1	total RNA	P-GSE15189-3	GSM379248 LE 1	biotin	P-GSE15189-4	GSM379248	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379248.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379248_sample_table.txt norm	GSM379248_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	1	hour
GSM379247 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 0 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379247 extract 1	total RNA	P-GSE15189-3	GSM379247 LE 1	biotin	P-GSE15189-4	GSM379247	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379247.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379247_sample_table.txt norm	GSM379247_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	0	hour
GSM379246 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 0 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379246 extract 1	total RNA	P-GSE15189-3	GSM379246 LE 1	biotin	P-GSE15189-4	GSM379246	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379246.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379246_sample_table.txt norm	GSM379246_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	0	hour
GSM379245 1	gene expression data from arabidopsis roots under iron deficiency medium	Arabidopsis plants in iron minus medium, 0 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379245 extract 1	total RNA	P-GSE15189-3	GSM379245 LE 1	biotin	P-GSE15189-4	GSM379245	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379245.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379245_sample_table.txt norm	GSM379245_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	iron deprivation	0	hour
GSM379244 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 0 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379244 extract 1	total RNA	P-GSE15189-3	GSM379244 LE 1	biotin	P-GSE15189-4	GSM379244	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379244.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379244_sample_table.txt norm	GSM379244_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	0	hour
GSM379243 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 0 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379243 extract 1	total RNA	P-GSE15189-3	GSM379243 LE 1	biotin	P-GSE15189-4	GSM379243	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379243.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379243_sample_table.txt norm	GSM379243_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	0	hour
GSM379242 1	gene expression data from arabidopsis roots under iron efficiency medium	Arabidopsis plants in iron plus medium, 0 h	Arabidopsis thaliana	root	30	day	P-GSE15189-2	GSM379242 extract 1	total RNA	P-GSE15189-3	GSM379242 LE 1	biotin	P-GSE15189-4	GSM379242	A-AFFY-2	P-GSE15189-5	P-GSE15189-6	GSM379242.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.raw.1.zip	P-GSE15189-1	GSM379242_sample_table.txt norm	GSM379242_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15189/E-GEOD-15189.processed.1.zip	control	0	hour
