Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSM469770 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	npr1-1	Arabidopsis thaliana	4	week	nor1-1 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469770 extract 1	total RNA	P-GSE18978-4	GSM469770 LE 1	biotin	P-GSE18978-5	GSM469770	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469770.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469770_sample_table.txt norm	GSM469770_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	nor1-1 mutant	Pseudomonas syringae ES4326
GSM469769 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	npr1-1	Arabidopsis thaliana	4	week	nor1-1 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469769 extract 1	total RNA	P-GSE18978-4	GSM469769 LE 1	biotin	P-GSE18978-5	GSM469769	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469769.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469769_sample_table.txt norm	GSM469769_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	nor1-1 mutant	Pseudomonas syringae ES4326
GSM469768 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	ein2	Arabidopsis thaliana	4	week	ein2 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469768 extract 1	total RNA	P-GSE18978-4	GSM469768 LE 1	biotin	P-GSE18978-5	GSM469768	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469768.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469768_sample_table.txt norm	GSM469768_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	ein2 mutant	Pseudomonas syringae ES4326
GSM469767 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	ein2	Arabidopsis thaliana	4	week	ein2 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469767 extract 1	total RNA	P-GSE18978-4	GSM469767 LE 1	biotin	P-GSE18978-5	GSM469767	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469767.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469767_sample_table.txt norm	GSM469767_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	ein2 mutant	Pseudomonas syringae ES4326
GSM469766 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	ein2	Arabidopsis thaliana	4	week	ein2 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469766 extract 1	total RNA	P-GSE18978-4	GSM469766 LE 1	biotin	P-GSE18978-5	GSM469766	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469766.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469766_sample_table.txt norm	GSM469766_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	ein2 mutant	Pseudomonas syringae ES4326
GSM469765 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	Col-0	Arabidopsis thaliana	4	week	wild type	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469765 extract 1	total RNA	P-GSE18978-4	GSM469765 LE 1	biotin	P-GSE18978-5	GSM469765	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469765.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469765_sample_table.txt norm	GSM469765_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	wild type	Pseudomonas syringae ES4326
GSM469764 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	Col-0	Arabidopsis thaliana	4	week	wild type	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469764 extract 1	total RNA	P-GSE18978-4	GSM469764 LE 1	biotin	P-GSE18978-5	GSM469764	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469764.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469764_sample_table.txt norm	GSM469764_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	wild type	Pseudomonas syringae ES4326
GSM469763 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	Col-0	Arabidopsis thaliana	4	week	wild type	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469763 extract 1	total RNA	P-GSE18978-4	GSM469763 LE 1	biotin	P-GSE18978-5	GSM469763	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469763.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469763_sample_table.txt norm	GSM469763_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	wild type	Pseudomonas syringae ES4326
GSM469762 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	Col-0	Arabidopsis thaliana	4	week	wild type	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469762 extract 1	total RNA	P-GSE18978-4	GSM469762 LE 1	biotin	P-GSE18978-5	GSM469762	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469762.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469762_sample_table.txt norm	GSM469762_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	wild type	none
GSM469761 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	Col-0	Arabidopsis thaliana	4	week	wild type	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469761 extract 1	total RNA	P-GSE18978-4	GSM469761 LE 1	biotin	P-GSE18978-5	GSM469761	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469761.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469761_sample_table.txt norm	GSM469761_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	wild type	none
GSM469760 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	Col-0	Arabidopsis thaliana	4	week	wild type	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469760 extract 1	total RNA	P-GSE18978-4	GSM469760 LE 1	biotin	P-GSE18978-5	GSM469760	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469760.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469760_sample_table.txt norm	GSM469760_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	wild type	none
GSM469759 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	coi1	Arabidopsis thaliana	4	week	coi1 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469759 extract 1	total RNA	P-GSE18978-4	GSM469759 LE 1	biotin	P-GSE18978-5	GSM469759	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469759.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469759_sample_table.txt norm	GSM469759_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	coi1 mutant	Pseudomonas syringae ES4326
GSM469758 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	coi1	Arabidopsis thaliana	4	week	coi1 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469758 extract 1	total RNA	P-GSE18978-4	GSM469758 LE 1	biotin	P-GSE18978-5	GSM469758	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469758.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469758_sample_table.txt norm	GSM469758_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	coi1 mutant	Pseudomonas syringae ES4326
GSM469757 1	Seeds were stratified in 0.1 % Agar for 3 days at 4 degrees Celsius. Growth chamber BM-2 (Berger's) 75% 22oC 12 hr	coi1	Arabidopsis thaliana	4	week	coi1 mutant	Col-0	leaf	P-GSE18978-2	P-GSE18978-3	GSM469757 extract 1	total RNA	P-GSE18978-4	GSM469757 LE 1	biotin	P-GSE18978-5	GSM469757	A-AFFY-2	P-GSE18978-6	P-GSE18978-7	GSM469757.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.raw.1.zip	P-GSE18978-1	GSM469757_sample_table.txt norm	GSM469757_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-18978/E-GEOD-18978.processed.1.zip	coi1 mutant	Pseudomonas syringae ES4326
