Source Name	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [Individual]	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value [media]	Sample Name	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amount of nucleic acid labeled]	Parameter Value [Label used]	Parameter Value [Amplification]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [organism part]	Term Source REF	Term Accession Number	Factor Value [amount of phosphate in medium]	Factor Value [treatment time]	Unit [TimeUnit]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
roots R1	root	EFO	EFO_0000989	seedling	EFO	EFO_0001992	roots R1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12146	P-MEXP-11782	  	roots R1	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181585SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181585SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181585SUB1764	A-AFFY-2	P-AFFY-6	root	EFO	EFO_0000989	low phosphate (0.005 mM)	10	d	H_SAMPLE181585SUB1764	Root1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
leaves L4	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	leaves L4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12140	P-MEXP-11782	  	leaves L4	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181580SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181580SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181580SUB1764	A-AFFY-2	P-AFFY-6	leaf	EFO	EFO_0000993	high phosphate (1mM)	10	d	H_SAMPLE181580SUB1764	Leaves4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
short term transfer RAGU S1	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	short term transfer RAGU S1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12143	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	short term transfer RAGU S1	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181571SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181571SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181571SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	low phosphate (0.005 mM)	3 to 12	h	H_SAMPLE181571SUB1764	S1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
leaves L1	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	leaves L1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12145	P-MEXP-11782	  	leaves L1	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181579SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181579SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181579SUB1764	A-AFFY-2	P-AFFY-6	leaf	EFO	EFO_0000993	low phosphate (0.005 mM)	10	d	H_SAMPLE181579SUB1764	Leaves1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
roots R2	root	EFO	EFO_0000989	seedling	EFO	EFO_0001992	roots R2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12141	P-MEXP-11782	  	roots R2	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181584SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181584SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181584SUB1764	A-AFFY-2	P-AFFY-6	root	EFO	EFO_0000989	high phosphate (1mM)	10	d	H_SAMPLE181584SUB1764	Root2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
short term transfer RAGU4	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	short term transfer RAGU4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-11820	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	short term transfer RAGU4	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181568SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181568SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181568SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	high phosphate (1mM)	3 to 12	h	H_SAMPLE181568SUB1764	Ragu4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
roots R5	root	EFO	EFO_0000989	seedling	EFO	EFO_0001992	roots R5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12146	P-MEXP-11782	  	roots R5	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181589SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181589SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181589SUB1764	A-AFFY-2	P-AFFY-6	root	EFO	EFO_0000989	low phosphate (0.005 mM)	10	d	H_SAMPLE181589SUB1764	root5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
medium term transfer RAGU7	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	medium term transfer RAGU7	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12139	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	medium term transfer RAGU7	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181572SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181572SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181572SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	high phosphate (1mM)	1 to 2	d	H_SAMPLE181572SUB1764	Ragu7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
medium term transfer RAGU S4	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	medium term transfer RAGU S4	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12139	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	medium term transfer RAGU S4	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181576SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181576SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181576SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	high phosphate (1mM)	1 to 2	d	H_SAMPLE181576SUB1764	S4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
leaves L6	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	leaves L6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12140	P-MEXP-11782	  	leaves L6	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181582SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181582SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181582SUB1764	A-AFFY-2	P-AFFY-6	leaf	EFO	EFO_0000993	high phosphate (1mM)	10	d	H_SAMPLE181582SUB1764	leaves6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
roots R6	root	EFO	EFO_0000989	seedling	EFO	EFO_0001992	roots R6	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12141	P-MEXP-11782	  	roots R6	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181588SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181588SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181588SUB1764	A-AFFY-2	P-AFFY-6	root	EFO	EFO_0000989	high phosphate (1mM)	10	d	H_SAMPLE181588SUB1764	root6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
leaves L5	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	leaves L5	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12145	P-MEXP-11782	  	leaves L5	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181583SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181583SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181583SUB1764	A-AFFY-2	P-AFFY-6	leaf	EFO	EFO_0000993	low phosphate (0.005 mM)	10	d	H_SAMPLE181583SUB1764	leaves5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
leaves L3	leaf	EFO	EFO_0000993	seedling	EFO	EFO_0001992	leaves L3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12145	P-MEXP-11782	  	leaves L3	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181581SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181581SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181581SUB1764	A-AFFY-2	P-AFFY-6	leaf	EFO	EFO_0000993	low phosphate (0.005 mM)	10	d	H_SAMPLE181581SUB1764	Leaves3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
short term transfer RAGU2	whole_organism	EFO	EFO_0002906	seedling	EFO	EFO_0001992	short term transfer RAGU2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MEXP-12143	P-MEXP-11749	MS/2 containing 500 microM phosphate (control) or no phosphate (treatment	short term transfer RAGU2	P-MEXP-12148	RNA polymerases	total RNA	E_SAMPLE181569SUB1764	total_RNA	P-MEXP-12288	1	biotin	RNA polymerases	L_SAMPLE181569SUB1764	biotin	total_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	H_SAMPLE181569SUB1764	A-AFFY-2	P-AFFY-6	whole_organism	EFO	EFO_0002906	low phosphate (0.005 mM)	3 to 12	h	H_SAMPLE181569SUB1764	Ragu2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-MEXP-791-processed-data-1343525790.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-791/E-MEXP-791.processed.1.zip
