Source Name	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[organism part]	Characteristics[genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue[infect]	FactorValue[time]	Unit[time unit]
GSM656510 1	"edr1 rosettes, 18 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656510 extract 1	total RNA	P-GSE26679-5	GSM656510 LE 1	biotin	P-GSE26679-6	GSM656510	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656510.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656510_sample_table.txt norm	GSM656510_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	18	hour
GSM656509 1	"edr1 rosettes, 18 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656509 extract 1	total RNA	P-GSE26679-5	GSM656509 LE 1	biotin	P-GSE26679-6	GSM656509	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656509.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656509_sample_table.txt norm	GSM656509_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	Golovinomyces cichoracearum	18	hour
GSM656508 1	"edr1 rosettes, 0 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656508 extract 1	total RNA	P-GSE26679-5	GSM656508 LE 1	biotin	P-GSE26679-6	GSM656508	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656508.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656508_sample_table.txt norm	GSM656508_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	none	0	hour
GSM656507 1	"edr1 rosettes, 0 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656507 extract 1	total RNA	P-GSE26679-5	GSM656507 LE 1	biotin	P-GSE26679-6	GSM656507	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656507.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656507_sample_table.txt norm	GSM656507_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	none	0	hour
GSM656506 1	"edr1 rosettes, 0 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656506 extract 1	total RNA	P-GSE26679-5	GSM656506 LE 1	biotin	P-GSE26679-6	GSM656506	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656506.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656506_sample_table.txt norm	GSM656506_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	none	0	hour
GSM656505 1	"edr1 rosettes, 0 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	edr1 mutant	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656505 extract 1	total RNA	P-GSE26679-5	GSM656505 LE 1	biotin	P-GSE26679-6	GSM656505	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656505.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656505_sample_table.txt norm	GSM656505_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	edr1 mutant	none	0	hour
GSM656504 1	"Col-0 rosesttes, 96 hpi with Golovinomyces cichoarcearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656504 extract 1	total RNA	P-GSE26679-5	GSM656504 LE 1	biotin	P-GSE26679-6	GSM656504	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656504.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656504_sample_table.txt norm	GSM656504_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	96	hour
GSM656503 1	"Col-0 rosesttes, 96 hpi with Golovinomyces cichoarcearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656503 extract 1	total RNA	P-GSE26679-5	GSM656503 LE 1	biotin	P-GSE26679-6	GSM656503	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656503.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656503_sample_table.txt norm	GSM656503_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	96	hour
GSM656502 1	"Col-0 rosesttes, 96 hpi with Golovinomyces cichoarcearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656502 extract 1	total RNA	P-GSE26679-5	GSM656502 LE 1	biotin	P-GSE26679-6	GSM656502	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656502.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656502_sample_table.txt norm	GSM656502_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	96	hour
GSM656501 1	"Col-0 rosesttes, 96 hpi with Golovinomyces cichoarcearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656501 extract 1	total RNA	P-GSE26679-5	GSM656501 LE 1	biotin	P-GSE26679-6	GSM656501	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656501.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656501_sample_table.txt norm	GSM656501_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	96	hour
GSM656500 1	"Col-0 rosettes, 36 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656500 extract 1	total RNA	P-GSE26679-5	GSM656500 LE 1	biotin	P-GSE26679-6	GSM656500	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656500.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656500_sample_table.txt norm	GSM656500_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	36	hour
GSM656499 1	"Col-0 rosettes, 36 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656499 extract 1	total RNA	P-GSE26679-5	GSM656499 LE 1	biotin	P-GSE26679-6	GSM656499	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656499.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656499_sample_table.txt norm	GSM656499_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	36	hour
GSM656498 1	"Col-0 rosettes, 36 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656498 extract 1	total RNA	P-GSE26679-5	GSM656498 LE 1	biotin	P-GSE26679-6	GSM656498	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656498.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656498_sample_table.txt norm	GSM656498_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	36	hour
GSM656497 1	"Col-0 rosettes, 36 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656497 extract 1	total RNA	P-GSE26679-5	GSM656497 LE 1	biotin	P-GSE26679-6	GSM656497	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656497.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656497_sample_table.txt norm	GSM656497_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	36	hour
GSM656496 1	"Col-0 rosettes, 18 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656496 extract 1	total RNA	P-GSE26679-5	GSM656496 LE 1	biotin	P-GSE26679-6	GSM656496	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656496.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656496_sample_table.txt norm	GSM656496_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	18	hour
GSM656495 1	"Col-0 rosettes, 18 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656495 extract 1	total RNA	P-GSE26679-5	GSM656495 LE 1	biotin	P-GSE26679-6	GSM656495	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656495.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656495_sample_table.txt norm	GSM656495_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	18	hour
GSM656494 1	"Col-0 rosettes, 18 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656494 extract 1	total RNA	P-GSE26679-5	GSM656494 LE 1	biotin	P-GSE26679-6	GSM656494	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656494.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656494_sample_table.txt norm	GSM656494_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	18	hour
GSM656493 1	"Col-0 rosettes, 18 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656493 extract 1	total RNA	P-GSE26679-5	GSM656493 LE 1	biotin	P-GSE26679-6	GSM656493	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656493.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656493_sample_table.txt norm	GSM656493_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	Golovinomyces cichoracearum	18	hour
GSM656492 1	"Col-0 rosettes, 0 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656492 extract 1	total RNA	P-GSE26679-5	GSM656492 LE 1	biotin	P-GSE26679-6	GSM656492	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656492.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656492_sample_table.txt norm	GSM656492_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	none	0	hour
GSM656491 1	"Col-0 rosettes, 0 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656491 extract 1	total RNA	P-GSE26679-5	GSM656491 LE 1	biotin	P-GSE26679-6	GSM656491	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656491.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656491_sample_table.txt norm	GSM656491_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	none	0	hour
GSM656490 1	"Col-0 rosettes, 0 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656490 extract 1	total RNA	P-GSE26679-5	GSM656490 LE 1	biotin	P-GSE26679-6	GSM656490	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656490.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656490_sample_table.txt norm	GSM656490_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	none	0	hour
GSM656489 1	"Col-0 rosettes, 0 hpi with Golovinomyces cichoracearum"	Arabidopsis thaliana	rosette	Col-0	P-GSE26679-2	P-GSE26679-3	P-GSE26679-4	GSM656489 extract 1	total RNA	P-GSE26679-5	GSM656489 LE 1	biotin	P-GSE26679-6	GSM656489	A-AFFY-2	P-GSE26679-7	P-GSE26679-8	GSM656489.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.raw.1.zip	P-GSE26679-1	GSM656489_sample_table.txt norm	GSM656489_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-26679/E-GEOD-26679.processed.1.zip	wild type	none	0	hour
