Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[organism part]	FactorValue[growth condition]	FactorValue[time]	Unit[time unit]
GSE5638GSM131820	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-19	GSE5638GSM131820 sample	GSE5638GSM131820 extract	total_RNA	GSE5638GSM131820 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A76_3-96hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A76_3-96hr_Rep3_ATH1	GSM131820.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	96	hour
GSE5638GSM131802	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-2	GSE5638GSM131802 sample	GSE5638GSM131802 extract	total_RNA	GSE5638GSM131802 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A8_3-4hr-Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A8_3-4hr-Rep1_ATH1	GSM131802.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	4	hour
GSE5638GSM131821	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-20	GSE5638GSM131821 sample	GSE5638GSM131821 extract	total_RNA	GSE5638GSM131821 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A82_3-2hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A82_3-2hr_Rep4_ATH1	GSM131821.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	2	hour
GSE5638GSM131822	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-21	GSE5638GSM131822 sample	GSE5638GSM131822 extract	total_RNA	GSE5638GSM131822 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A86_3-4hr-Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A86_3-4hr-Rep4_ATH1	GSM131822.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	4	hour
GSE5638GSM131823	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-22	GSE5638GSM131823 sample	GSE5638GSM131823 extract	total_RNA	GSE5638GSM131823 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A90_3-12hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A90_3-12hr_Rep4_ATH1	GSM131823.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	12	hour
GSE5638GSM131824	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-23	GSE5638GSM131824 sample	GSE5638GSM131824 extract	total_RNA	GSE5638GSM131824 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A94_3-24hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A94_3-24hr_Rep4_ATH1	GSM131824.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	24	hour
GSE5638GSM131825	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-24	GSE5638GSM131825 sample	GSE5638GSM131825 extract	total_RNA	GSE5638GSM131825 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A98_3-48hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A98_3-48hr_Rep4_ATH1	GSM131825.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	48	hour
GSE5638GSM131826	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-25	GSE5638GSM131826 sample	GSE5638GSM131826 extract	total_RNA	GSE5638GSM131826 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A102_3-96hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A102_3-96hr_Rep4_ATH1	GSM131826.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	96	hour
GSE5638GSM131827	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	  	mature leaf	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: mature leaves	P-G5638-26	GSE5638GSM131827 sample	GSE5638GSM131827 extract	total_RNA	GSE5638GSM131827 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A107_3-24hr_Rep1m_ATH1	A-AFFY-2	P-AFFY-6	Quick_A107_3-24hr_Rep1m_ATH1	GSM131827.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	mature leaf	ambient carbon dioxide/low light	24	hour
GSE5638GSM131828	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	  	mature leaf	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: mature leaves	P-G5638-27	GSE5638GSM131828 sample	GSE5638GSM131828 extract	total_RNA	GSE5638GSM131828 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A111_3-24hr_Rep2m_ATH1	A-AFFY-2	P-AFFY-6	Quick_A111_3-24hr_Rep2m_ATH1	GSM131828.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	mature leaf	ambient carbon dioxide/low light	24	hour
GSE5638GSM131803	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-3	GSE5638GSM131803 sample	GSE5638GSM131803 extract	total_RNA	GSE5638GSM131803 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A9_3-4hr-Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A9_3-4hr-Rep1_ATH1	GSM131803.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	elevated carbon dioxide/low light	4	hour
GSE5638GSM131804	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-4	GSE5638GSM131804 sample	GSE5638GSM131804 extract	total_RNA	GSE5638GSM131804 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A12_3-12hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A12_3-12hr_Rep1_ATH1	GSM131804.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	12	hour
GSE5638GSM131806	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-5	GSE5638GSM131806 sample	GSE5638GSM131806 extract	total_RNA	GSE5638GSM131806 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A17_3-24hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A17_3-24hr_Rep1_ATH1	GSM131806.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	24	hour
GSE5638GSM131805	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5638-5	GSE5638GSM131805 sample	GSE5638GSM131805 extract	total_RNA	GSE5638GSM131805 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A16_3-24hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A16_3-24hr_Rep1_ATH1	GSM131805.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.raw.1.zip	E-GEOD-5638-processed-data-1628518619.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5638/E-GEOD-5638.processed.1.zip	developing leaf insertions	ambient carbon dioxide/low light	24	hour
