Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[infection]	FactorValue[time]	Unit[time unit]
GSE13739GSM345330	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 6h:  Gene expression data from mutant whole mature leaves at 6h post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 6h	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345330 sample	P-G13739-4	GSE13739GSM345330 extract	total_RNA	P-G13739-3	GSE13739GSM345330 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 6hpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345330.CEL	GSM345330.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	0.25	day
GSE13739GSM345332	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 6h:  Gene expression data from mutant whole mature leaves at 6h post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 6h	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345332 sample	P-G13739-4	GSE13739GSM345332 extract	total_RNA	P-G13739-3	GSE13739GSM345332 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 6hpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345332.CEL	GSM345332.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	0.25	day
GSE13739GSM345304	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 6h:  Gene expression data from wild type whole mature leaves at 6h post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 6h	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345304 sample	P-G13739-4	GSE13739GSM345304 extract	total_RNA	P-G13739-3	GSE13739GSM345304 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 6hpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345304.CEL	GSM345304.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	0.25	day
GSE13739GSM345302	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 6h:  Gene expression data from wild type whole mature leaves at 6h post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 6h	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345302 sample	P-G13739-4	GSE13739GSM345302 extract	total_RNA	P-G13739-3	GSE13739GSM345302 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 6hpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345302.CEL	GSM345302.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	0.25	day
GSE13739GSM345301	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 6h:  Gene expression data from wild type whole mature leaves at 6h post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 6h	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345301 sample	P-G13739-4	GSE13739GSM345301 extract	total_RNA	P-G13739-3	GSE13739GSM345301 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 6hpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345301.CEL	GSM345301.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	0.25	day
GSE13739GSM345303	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 6h:  Gene expression data from wild type whole mature leaves at 6h post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 6h	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345303 sample	P-G13739-4	GSE13739GSM345303 extract	total_RNA	P-G13739-3	GSE13739GSM345303 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 6hpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345303.CEL	GSM345303.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	0.25	day
GSE13739GSM345336	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 1d:  Gene expression data from mutant whole mature leaves at 1d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 1d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345336 sample	P-G13739-4	GSE13739GSM345336 extract	total_RNA	P-G13739-3	GSE13739GSM345336 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 1dpi, biological rep 4"	A-AFFY-2	P-AFFY-6	GSM345336.CEL	GSM345336.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	1	day
GSE13739GSM345334	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 1d:  Gene expression data from mutant whole mature leaves at 1d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 1d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345334 sample	P-G13739-4	GSE13739GSM345334 extract	total_RNA	P-G13739-3	GSE13739GSM345334 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 1dpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345334.CEL	GSM345334.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	1	day
GSE13739GSM345333	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 1d:  Gene expression data from mutant whole mature leaves at 1d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 1d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345333 sample	P-G13739-4	GSE13739GSM345333 extract	total_RNA	P-G13739-3	GSE13739GSM345333 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 1dpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345333.CEL	GSM345333.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	1	day
GSE13739GSM345335	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	eds16 whole leaf infected with Golovinomyces orontii 1d:  Gene expression data from mutant whole mature leaves at 1d post Golovinomyces orontii infection. Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 whole leaf infected with Golovinomyces orontii 1d	Genotype: mutant; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	eds16 mutant	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345335 sample	P-G13739-4	GSE13739GSM345335 extract	total_RNA	P-G13739-3	GSE13739GSM345335 LE biotin	biotin	synthetic_RNA	"eds16 whole leaf, 1dpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345335.CEL	GSM345335.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	eds16 mutant	Golovinomyces orontii	1	day
GSE13739GSM345307	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 1d:  Gene expression data from wild type whole mature leaves at 1d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 1d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345307 sample	P-G13739-4	GSE13739GSM345307 extract	total_RNA	P-G13739-3	GSE13739GSM345307 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 1dpi, biological rep 3"	A-AFFY-2	P-AFFY-6	GSM345307.CEL	GSM345307.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	1	day
GSE13739GSM345305	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 1d:  Gene expression data from wild type whole mature leaves at 1d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 1d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345305 sample	P-G13739-4	GSE13739GSM345305 extract	total_RNA	P-G13739-3	GSE13739GSM345305 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 1dpi, biological rep 1"	A-AFFY-2	P-AFFY-6	GSM345305.CEL	GSM345305.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	1	day
GSE13739GSM345306	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col whole leaf infected with Golovinomyces orontii 1d:  Gene expression data from wild type whole mature leaves at 1d post Golovinomyces orontii infection. Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	Col whole leaf infected with Golovinomyces orontii 1d	Genotype: wild type; Age: 4 weeks old at time 0 (innoculation); tissue: whole leaf	wild type	4	week	Col-0	leaf	P-G13739-2	P-G13739-1	GSE13739GSM345306 sample	P-G13739-4	GSE13739GSM345306 extract	total_RNA	P-G13739-3	GSE13739GSM345306 LE biotin	biotin	synthetic_RNA	"Col whole leaf, 1dpi, biological rep 2"	A-AFFY-2	P-AFFY-6	GSM345306.CEL	GSM345306.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.raw.1.zip	E-GEOD-13739-processed-data-1730353000.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-13739/E-GEOD-13739.processed.1.zip	wild type	Golovinomyces orontii	1	day
