Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [OrganismPart]	Characteristics [StrainOrLine]	Protocol REF	Parameter Value [Media]	Parameter Value [Light]	Parameter Value [Genetic Background]	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [ORGANISM PART]	FactorValue[STRAIN OR LINE]	FactorValue[GENETIC BACKGROUND]
Birnbaum_1-25_J0571-1_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	endodermis, cortex and quiescent center	J0571:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-25_J0571-1_Rep1_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-25_J0571-1_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-25_J0571-1_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.82.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-25_J0571-1_Rep1_ATH1	Birnbaum_1-25_J0571-1_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	endodermis, cortex and quiescent center	J0571:GFP	Columbia
Birnbaum_1-23_gl2-2_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	atrichoblasts from the quiescent center up	GL2:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-23_gl2-2_Rep2_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-23_gl2-2_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-23_gl2-2_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.76.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-23_gl2-2_Rep2_ATH1	Birnbaum_1-23_gl2-2_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	atrichoblasts from the quiescent center up	GL2:GFP	Columbia
Birnbaum_1-20_LRC-2_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	lateral root cap and epidermis	J3411:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	C24	Birnbaum_1-20_LRC-2_Rep2_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-20_LRC-2_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-20_LRC-2_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.7.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-20_LRC-2_Rep2_ATH1	Birnbaum_1-20_LRC-2_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	lateral root cap and epidermis	J3411:GFP	C24
Birnbaum_1-1_src5-1_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	quiescent center and endodermis beyond the mature hair zone	SCR:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Landsberg	Birnbaum_1-1_src5-1_Rep1_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-1_src5-1_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-1_src5-1_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.13.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-1_src5-1_Rep1_ATH1	Birnbaum_1-1_src5-1_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	quiescent center and endodermis beyond the mature hair zone	SCR:GFP	Landsberg
Birnbaum_1-26_J0571-2_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	endodermis, cortex and quiescent center	J0571:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-26_J0571-2_Rep2_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-26_J0571-2_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-26_J0571-2_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.86.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-26_J0571-2_Rep2_ATH1	Birnbaum_1-26_J0571-2_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	endodermis, cortex and quiescent center	J0571:GFP	Columbia
Birnbaum_1-7_StageI-4_Rep4_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.15 mm from the root tip	Stage I	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-7_StageI-4_Rep4_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-7_StageI-4_Rep4_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-7_StageI-4_Rep4_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.33.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-7_StageI-4_Rep4_ATH1	Birnbaum_1-7_StageI-4_Rep4_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.15 mm from the root tip	Stage I	Columbia
Birnbaum_1-27_J0571-3_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	endodermis, cortex and quiescent center	J0571:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-27_J0571-3_Rep3_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-27_J0571-3_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-27_J0571-3_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.89.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-27_J0571-3_Rep3_ATH1	Birnbaum_1-27_J0571-3_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	endodermis, cortex and quiescent center	J0571:GFP	Columbia
Birnbaum_1-2_src5-2_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	quiescent center and endodermis beyond the mature hair zone	SCR:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Landsberg	Birnbaum_1-2_src5-2_Rep2_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-2_src5-2_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-2_src5-2_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.17.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-2_src5-2_Rep2_ATH1	Birnbaum_1-2_src5-2_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	quiescent center and endodermis beyond the mature hair zone	SCR:GFP	Landsberg
Birnbaum_1-6_StageI-3_Rep3_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.15 mm from the root tip	Stage I	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-6_StageI-3_Rep3_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-6_StageI-3_Rep3_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-6_StageI-3_Rep3_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.30.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-6_StageI-3_Rep3_ATH1	Birnbaum_1-6_StageI-3_Rep3_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.15 mm from the root tip	Stage I	Columbia
Birnbaum_1-15_StageIII-4_Rep4_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.45 to 2 mm from the root tip	Stage III	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-15_StageIII-4_Rep4_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-15_StageIII-4_Rep4_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-15_StageIII-4_Rep4_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.59.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-15_StageIII-4_Rep4_ATH1	Birnbaum_1-15_StageIII-4_Rep4_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.45 to 2 mm from the root tip	Stage III	Columbia
Birnbaum_1-5_StageI-2_Rep2_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	~0.15 mm from the root tip	Stage I	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-5_StageI-2_Rep2_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-5_StageI-2_Rep2_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-5_StageI-2_Rep2_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.27.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-5_StageI-2_Rep2_ATH1	Birnbaum_1-5_StageI-2_Rep2_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	~0.15 mm from the root tip	Stage I	Columbia
Birnbaum_1-16_wol-1_Rep1_ATH1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	root stele to elongation zone	WOL:GFP	P-TABM-beatrice1.77	MS + 4.5% sucrose	16h light 8h dark	Columbia	Birnbaum_1-16_wol-1_Rep1_ATH1	NASC:ExtractProtocol:1	Birnbaum_1-16_wol-1_Rep1_ATH1	total_RNA	NASC:LabellingProtocol	Birnbaum_1-16_wol-1_Rep1_ATH1	biotin	synthetic_DNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v4	NASCArrays:Tab2MAGE:E-NASC-77.62.Hybridization	A-AFFY-2	P-AFFY-6	Birnbaum_1-16_wol-1_Rep1_ATH1	Birnbaum_1-16_wol-1_Rep1_ATH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-NASC-77-processed-data-1362650436.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/NASC/E-NASC-77/E-NASC-77.processed.1.zip	root stele to elongation zone	WOL:GFP	Columbia
