Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[growth condition]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]	FactorValue[genotype]
GSM743203 1	Gene expression data from seedlings grown in dark for 4 days+1h in Red.	Arabidopsis seedlings grown for 4 days  in darkness and 1 hour  in Red continuous light	wild type seedlings at R1, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness and 1 hour in red continuous light	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743203 extract 1	total RNA	P-GSE30030-4	GSM743203 LE 1	Biotin	P-GSE30030-5	GSM743203	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743203.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743203_sample_table.txt norm	GSM743203_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness and 1 hour in red continuous light	wild type
GSM743202 1	Gene expression data from seedlings grown in dark for 4 days+1h in Red.	Arabidopsis seedlings grown for 4 days  in darkness and 1 hour  in Red continuous light	wild type seedlings at R1, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness and 1 hour in red continuous light	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743202 extract 1	total RNA	P-GSE30030-4	GSM743202 LE 1	Biotin	P-GSE30030-5	GSM743202	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743202.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743202_sample_table.txt norm	GSM743202_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness and 1 hour in red continuous light	wild type
GSM743201 1	Gene expression data from seedlings grown in dark for 4 days+18h.	Arabidopsis seedlings grown for 4 days and 18 hour  in darkness	wild type seedlings at D18, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days and 18 hour in darkness	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743201 extract 1	total RNA	P-GSE30030-4	GSM743201 LE 1	Biotin	P-GSE30030-5	GSM743201	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743201.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743201_sample_table.txt norm	GSM743201_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days and 18 hour in darkness	wild type
GSM743200 1	Gene expression data from seedlings grown in dark for 4 days+18h.	Arabidopsis seedlings grown for 4 days and 18 hour  in darkness	wild type seedlings at D18, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days and 18 hour in darkness	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743200 extract 1	total RNA	P-GSE30030-4	GSM743200 LE 1	Biotin	P-GSE30030-5	GSM743200	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743200.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743200_sample_table.txt norm	GSM743200_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days and 18 hour in darkness	wild type
GSM743199 1	Gene expression data from seedlings grown in dark for 4 days+18h.	Arabidopsis seedlings grown for 4 days and 18 hour  in darkness	wild type seedlings at D18, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days and 18 hour in darkness	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743199 extract 1	total RNA	P-GSE30030-4	GSM743199 LE 1	Biotin	P-GSE30030-5	GSM743199	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743199.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743199_sample_table.txt norm	GSM743199_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days and 18 hour in darkness	wild type
GSM743198 1	Gene expression data from seedlings grown in dark for 4 days+1h.	Arabidopsis seedlings grown for 4 days and 1 hour  in darkness	wild type seedlings at D1, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days and 1 hour in darkness	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743198 extract 1	total RNA	P-GSE30030-4	GSM743198 LE 1	Biotin	P-GSE30030-5	GSM743198	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743198.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743198_sample_table.txt norm	GSM743198_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days and 1 hour in darkness	wild type
GSM743197 1	Gene expression data from seedlings grown in dark for 4 days+1h.	Arabidopsis seedlings grown for 4 days and 1 hour  in darkness	wild type seedlings at D1, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days and 1 hour in darkness	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743197 extract 1	total RNA	P-GSE30030-4	GSM743197 LE 1	Biotin	P-GSE30030-5	GSM743197	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743197.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743197_sample_table.txt norm	GSM743197_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days and 1 hour in darkness	wild type
GSM743196 1	Gene expression data from seedlings grown in dark for 4 days+1h.	Arabidopsis seedlings grown for 4 days and 1 hour  in darkness	wild type seedlings at D1, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days and 1 hour in darkness	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743196 extract 1	total RNA	P-GSE30030-4	GSM743196 LE 1	Biotin	P-GSE30030-5	GSM743196	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743196.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743196_sample_table.txt norm	GSM743196_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days and 1 hour in darkness	wild type
GSM743195 1	Gene expression data from seedlings grown in dark for 4 days.	Arabidopsis seedlings grown for 4 days in darkness	wild type seedlings at D0, biological rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743195 extract 1	total RNA	P-GSE30030-4	GSM743195 LE 1	Biotin	P-GSE30030-5	GSM743195	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743195.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743195_sample_table.txt norm	GSM743195_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness	wild type
GSM743194 1	Gene expression data from seedlings grown in dark for 4 days.	Arabidopsis seedlings grown for 4 days in darkness	wild type seedlings at D0, biological rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743194 extract 1	total RNA	P-GSE30030-4	GSM743194 LE 1	Biotin	P-GSE30030-5	GSM743194	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743194.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743194_sample_table.txt norm	GSM743194_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness	wild type
GSM743193 1	Gene expression data from seedlings grown in dark for 4 days.	Arabidopsis seedlings grown for 4 days in darkness	wild type seedlings at D0, biological rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	4 days in darkness	Col-0	wild type	seedling	P-GSE30030-2	P-GSE30030-3	GSM743193 extract 1	total RNA	P-GSE30030-4	GSM743193 LE 1	Biotin	P-GSE30030-5	GSM743193	A-AFFY-2	P-GSE30030-6	P-GSE30030-7	GSM743193.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.raw.1.zip	P-GSE30030-1	GSM743193_sample_table.txt norm	GSM743193_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30030/E-GEOD-30030.processed.1.zip	4 days in darkness	wild type
