Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[organism part]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[growth condition]
GSM748476 1	Gene expression data from seed during stratification	Arabidopsis seed during stratification	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748476 extract 1	total RNA	P-GSE30223-5	GSM748476 LE 1	Biotin	P-GSE30223-6	GSM748476	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748476_12_h_strat_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748476_sample_table.txt norm	GSM748476_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed after 12 h of stratification (12 h S)
GSM748475 1	Gene expression data from seed during stratification	Arabidopsis seed during stratification	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748475 extract 1	total RNA	P-GSE30223-5	GSM748475 LE 1	Biotin	P-GSE30223-6	GSM748475	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748475_12_h_strat_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748475_sample_table.txt norm	GSM748475_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed after 12 h of stratification (12 h S)
GSM748480 1	Gene expression data from seed during stratification	Arabidopsis seed during stratification	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748480 extract 1	total RNA	P-GSE30223-5	GSM748480 LE 1	Biotin	P-GSE30223-6	GSM748480	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748480_48_h_strat_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748480_sample_table.txt norm	GSM748480_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed after 48 h of stratification (48 h S)
GSM748479 1	Gene expression data from seed during stratification	Arabidopsis seed during stratification	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748479 extract 1	total RNA	P-GSE30223-5	GSM748479 LE 1	Biotin	P-GSE30223-6	GSM748479	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748479_48_h_strat_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748479_sample_table.txt norm	GSM748479_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed after 48 h of stratification (48 h S)
GSM748478 1	Gene expression data from seed during stratification	Arabidopsis seed during stratification	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748478 extract 1	total RNA	P-GSE30223-5	GSM748478 LE 1	Biotin	P-GSE30223-6	GSM748478	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748478_48_h_strat_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748478_sample_table.txt norm	GSM748478_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed after 48 h of stratification (48 h S)
GSM748483 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748483 extract 1	total RNA	P-GSE30223-5	GSM748483 LE 1	Biotin	P-GSE30223-6	GSM748483	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748483_1_h_SL_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748483_sample_table.txt norm	GSM748483_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 1 h SL
GSM748482 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748482 extract 1	total RNA	P-GSE30223-5	GSM748482 LE 1	Biotin	P-GSE30223-6	GSM748482	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748482_1_h_SL_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748482_sample_table.txt norm	GSM748482_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 1 h SL
GSM748481 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748481 extract 1	total RNA	P-GSE30223-5	GSM748481 LE 1	Biotin	P-GSE30223-6	GSM748481	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748481_1_h_SL_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748481_sample_table.txt norm	GSM748481_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 1 h SL
GSM748486 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748486 extract 1	total RNA	P-GSE30223-5	GSM748486 LE 1	Biotin	P-GSE30223-6	GSM748486	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748486_6_h_SL_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748486_sample_table.txt norm	GSM748486_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 6 h SL
GSM748485 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748485 extract 1	total RNA	P-GSE30223-5	GSM748485 LE 1	Biotin	P-GSE30223-6	GSM748485	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748485_6_h_SL_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748485_sample_table.txt norm	GSM748485_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 6 h SL
GSM748484 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748484 extract 1	total RNA	P-GSE30223-5	GSM748484 LE 1	Biotin	P-GSE30223-6	GSM748484	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748484_6_h_SL_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748484_sample_table.txt norm	GSM748484_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 6 h SL
GSM748489 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748489 extract 1	total RNA	P-GSE30223-5	GSM748489 LE 1	Biotin	P-GSE30223-6	GSM748489	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748489_12_h_SL_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748489_sample_table.txt norm	GSM748489_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 12 h SL
GSM748488 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748488 extract 1	total RNA	P-GSE30223-5	GSM748488 LE 1	Biotin	P-GSE30223-6	GSM748488	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748488_12_h_SL_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748488_sample_table.txt norm	GSM748488_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 12 h SL
GSM748487 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748487 extract 1	total RNA	P-GSE30223-5	GSM748487 LE 1	Biotin	P-GSE30223-6	GSM748487	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748487_12_h_SL_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748487_sample_table.txt norm	GSM748487_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 12 h SL
GSM748492 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748492 extract 1	total RNA	P-GSE30223-5	GSM748492 LE 1	Biotin	P-GSE30223-6	GSM748492	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748492_24_h_SL_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748492_sample_table.txt norm	GSM748492_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 24 h SL
GSM748491 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748491 extract 1	total RNA	P-GSE30223-5	GSM748491 LE 1	Biotin	P-GSE30223-6	GSM748491	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748491_24_h_SL_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748491_sample_table.txt norm	GSM748491_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 24 h SL
GSM748490 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748490 extract 1	total RNA	P-GSE30223-5	GSM748490 LE 1	Biotin	P-GSE30223-6	GSM748490	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748490_24_h_SL_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748490_sample_table.txt norm	GSM748490_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 24 h SL
GSM748495 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748495 extract 1	total RNA	P-GSE30223-5	GSM748495 LE 1	Biotin	P-GSE30223-6	GSM748495	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748495_48_h_SL_rep_3_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748495_sample_table.txt norm	GSM748495_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 48 h SL
GSM748494 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748494 extract 1	total RNA	P-GSE30223-5	GSM748494 LE 1	Biotin	P-GSE30223-6	GSM748494	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748494_48_h_SL_rep_2_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748494_sample_table.txt norm	GSM748494_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 48 h SL
GSM748493 1	Gene expression data from germinating seed	Arabidopsis seed germinating in countinuous light	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seed	P-GSE30223-2	P-GSE30223-3	P-GSE30223-4	GSM748493 extract 1	total RNA	P-GSE30223-5	GSM748493 LE 1	Biotin	P-GSE30223-6	GSM748493	A-AFFY-2	P-GSE30223-7	P-GSE30223-8	GSM748493_48_h_SL_rep_1_Arab.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.raw.1.zip	P-GSE30223-1	GSM748493_sample_table.txt norm	GSM748493_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-30223/E-GEOD-30223.processed.1.zip	seed germinating in continuous light 48 h SL
