Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [age]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [age]	FactorValue [organism part]	Term Source REF	Term Accession Number
GSM1504056 1	treated with 2,4-D for four days	pSCR::GFP sorted cells; 96hr auxin treatment	SCR 96hr-S2	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504056 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504056 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504056	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504056_SCR_96hr-S2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504056_sample_table.txt norm	GSM1504056_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504055 1	treated with 2,4-D for three days	pSCR::GFP sorted cells; 72hr auxin treatment	SCR 72hr-S3	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504055 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504055 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504055	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504055_SCR_72hr-S3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504055_sample_table.txt norm	GSM1504055_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504054 1	treated with 2,4-D for three days	pSCR::GFP sorted cells; 72hr auxin treatment	SCR 72hr-S2	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504054 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504054 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504054	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504054_SCR_72hr-S2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504054_sample_table.txt norm	GSM1504054_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504053 1	treated with 2,4-D for two days	pSCR::GFP sorted cells; 48hr auxin treatment	SCR 48hr-S3	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504053 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504053 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504053	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504053_SCR_48hr-S3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504053_sample_table.txt norm	GSM1504053_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504052 1	treated with 2,4-D for two days	pSCR::GFP sorted cells; 48hr auxin treatment	SCR 48hr-S2	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504052 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504052 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504052	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504052_SCR_48hr-S2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504052_sample_table.txt norm	GSM1504052_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504051 1	treated with 2,4-D for one day	pSCR::GFP sorted cells; 24hr auxin treatment	SCR 24hr-S3	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504051 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504051 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504051	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504051_SCR_24hr-S3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504051_sample_table.txt norm	GSM1504051_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504050 1	treated with 2,4-D for one day	pSCR::GFP sorted cells; 24hr auxin treatment	SCR 24hr-S2	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504050 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504050 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504050	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504050_SCR_24hr-S2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504050_sample_table.txt norm	GSM1504050_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504049 1	  	pSCR::GFP sorted cells; no auxin treatment	SCR 0hr-5	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504049 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504049 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504049	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504049_SCR_0hr-5b_0hr.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504049_sample_table.txt norm	GSM1504049_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504048 1	  	pSCR::GFP sorted cells; no auxin treatment	SCR 0hr-3	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504048 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504048 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504048	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504048_SCR_0hr-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504048_sample_table.txt norm	GSM1504048_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504047 1	  	pSCR::GFP sorted cells; no auxin treatment	SCR 0hr-1	2 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	endodermis	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504047 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504047 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504047	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504047_SCR_0hr-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504047_sample_table.txt norm	GSM1504047_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	2 days post germination	endodermis	  	        
GSM1504046 1	previously published as cell type profile in Birnbaum et al. (2003) Science; 302(5652):1956-60.	jkd sorted QC using WOX5 promoter	jkd-4 QC-3	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Quiescent Center	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504046 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504046 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504046	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504046_jkd-4_QC-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504046_sample_table.txt norm	GSM1504046_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	Quiescent Center	  	        
GSM1504045 1	previously published as cell type profile in Birnbaum et al. (2003) Science; 302(5652):1956-60.	jks sorted QC using WOX5 promoter	jkd-4 QC-2	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Quiescent Center	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504045 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504045 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504045	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504045_jkd-4_QC-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504045_sample_table.txt norm	GSM1504045_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	Quiescent Center	  	        
GSM1504044 1	previously published as cell type profile in Birnbaum et al. (2003) Science; 302(5652):1956-60.	jkd sorted QC using WOX5 promoter	jkd-4 QC-1	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Quiescent Center	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504044 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504044 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504044	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504044_jkd-4_QC-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504044_sample_table.txt norm	GSM1504044_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	Quiescent Center	  	        
GSM1504043 1	grown alongside the jkd mutant WOX5::GFP plants as controls	wild type sorted QC using WOX5 promoter	Col-0 QC-3	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Quiescent Center	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504043 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504043 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504043	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504043_Col-0_QC-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504043_sample_table.txt norm	GSM1504043_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	Quiescent Center	  	        
GSM1504042 1	grown alongside the jkd mutant WOX5::GFP plants as controls	wild type sorted QC using WOX5 promoter	Col-0 QC-2	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Quiescent Center	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504042 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504042 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504042	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504042_Col-0_QC-2_rescan.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504042_sample_table.txt norm	GSM1504042_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	Quiescent Center	  	        
GSM1504041 1	grown alongside the jkd mutant WOX5::GFP plants as controls	wild type sorted QC using WOX5 promoter	Col-0 QC-1	3 days post germination	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Quiescent Center	  	  	P-GSE61408-2	ArrayExpress	P-GSE61408-3	ArrayExpress	P-GSE61408-4	ArrayExpress	GSM1504041 extract 1	total RNA	P-GSE61408-5	ArrayExpress	GSM1504041 LE 1	biotin	P-GSE61408-6	ArrayExpress	GSM1504041	A-AFFY-2	ArrayExpress	array assay	P-GSE61408-7	ArrayExpress	GSM1504041_Col-0_QC-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.raw.1.zip	P-GSE61408-1	ArrayExpress	GSM1504041_sample_table.txt norm	GSM1504041_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-61408/E-GEOD-61408.processed.1.zip	3 days post germination	Quiescent Center	  	        
