Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[ORGANISM PART]	FactorValue[DEVELOPMENTAL STAGE]
GSE12404GSM311293	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal seed coat	linear-cotyledon stage	Ws-0	Arabidopsis linear-cotyledon stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-5	P-G12404-1	GSE12404GSM311293 sample	P-G12404-4	GSE12404GSM311293 extract	total_RNA	P-G12404-3	GSE12404GSM311293 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal seed coat at the linear-cotyledon stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal seed coat at the linear-cotyledon stage, biological replicate 1	GSM311293.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	chalazal seed coat	linear-cotyledon stage
GSE12404GSM311294	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal seed coat	linear-cotyledon stage	Ws-0	Arabidopsis linear-cotyledon stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-5	P-G12404-1	GSE12404GSM311294 sample	P-G12404-4	GSE12404GSM311294 extract	total_RNA	P-G12404-3	GSE12404GSM311294 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal seed coat at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal seed coat at the linear-cotyledon stage, biological replicate 2	GSM311294.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	chalazal seed coat	linear-cotyledon stage
GSE12404GSM311286	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	whole seed	pre-globular stage	Ws-0	Arabidopsis pre-globular stage whole seed sections captured by LCM:  Serial sections of whole seeds collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311286 sample	P-G12404-4	GSE12404GSM311286 extract	total_RNA	P-G12404-3	GSE12404GSM311286 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) whole seed sections at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) whole seed sections at the pre-globular stage, biological replicate 2	GSM311286.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	whole seed	pre-globular stage
GSE12404GSM311279	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal endosperm	pre-globular stage	Ws-0	Arabidopsis pre-globular stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311279 sample	P-G12404-4	GSE12404GSM311279 extract	total_RNA	P-G12404-3	GSE12404GSM311279 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal endosperm at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal endosperm at the pre-globular stage, biological replicate 1	GSM311279.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	chalazal endosperm	pre-globular stage
GSE12404GSM311282	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal seed coat	pre-globular stage	Ws-0	Arabidopsis pre-globular stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311282 sample	P-G12404-4	GSE12404GSM311282 extract	total_RNA	P-G12404-3	GSE12404GSM311282 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal seed coat at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal seed coat at the pre-globular stage, biological replicate 2	GSM311282.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	chalazal seed coat	pre-globular stage
GSE12404GSM311274	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	embryo proper	pre-globular stage	Ws-0	Arabidopsis pre-globular stage embryo proper captured by LCM:  Embryo proper collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311274 sample	P-G12404-4	GSE12404GSM311274 extract	total_RNA	P-G12404-3	GSE12404GSM311274 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) embryo proper at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) embryo proper at the pre-globular stage, biological replicate 2	GSM311274.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	embryo proper	pre-globular stage
GSE12404GSM311284	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	general seed coat	pre-globular stage	Ws-0	Arabidopsis pre-globular stage general seed coat captured by LCM:  General seed coat collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311284 sample	P-G12404-4	GSE12404GSM311284 extract	total_RNA	P-G12404-3	GSE12404GSM311284 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) general seed coat at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) general seed coat at the pre-globular stage, biological replicate 2	GSM311284.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	general seed coat	pre-globular stage
GSE12404GSM311281	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal seed coat	pre-globular stage	Ws-0	Arabidopsis pre-globular stage chalazal seed coat captured by LCM:  Chalazal seed coat collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311281 sample	P-G12404-4	GSE12404GSM311281 extract	total_RNA	P-G12404-3	GSE12404GSM311281 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal seed coat at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal seed coat at the pre-globular stage, biological replicate 1	GSM311281.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	chalazal seed coat	pre-globular stage
GSE12404GSM311291	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal endosperm	linear-cotyledon stage	Ws-0	Arabidopsis linear-cotyledon stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-5	P-G12404-1	GSE12404GSM311291 sample	P-G12404-4	GSE12404GSM311291 extract	total_RNA	P-G12404-3	GSE12404GSM311291 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal endosperm at the linear-cotyledon stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal endosperm at the linear-cotyledon stage, biological replicate 1	GSM311291.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	chalazal endosperm	linear-cotyledon stage
GSE12404GSM311277	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cellularized endosperm	pre-globular stage	Ws-0	Arabidopsis pre-globular stage cellularized endosperm captured by LCM:  cellularized endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311277 sample	P-G12404-4	GSE12404GSM311277 extract	total_RNA	P-G12404-3	GSE12404GSM311277 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) peripheral endosperm at the pre-globular stage, biological replicate 1	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) peripheral endosperm at the pre-globular stage, biological replicate 1	GSM311277.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	cellularized endosperm	pre-globular stage
GSE12404GSM311278	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	cellularized endosperm	pre-globular stage	Ws-0	Arabidopsis pre-globular stage cellularized endosperm captured by LCM:  cellularized endosperm collected from seeds containing pre-globular embryo propers of 2 to 8 cells as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-2	P-G12404-1	GSE12404GSM311278 sample	P-G12404-4	GSE12404GSM311278 extract	total_RNA	P-G12404-3	GSE12404GSM311278 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) peripheral endosperm at the pre-globular stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) peripheral endosperm at the pre-globular stage, biological replicate 2	GSM311278.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	cellularized endosperm	pre-globular stage
GSE12404GSM311292	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	chalazal endosperm	linear-cotyledon stage	Ws-0	Arabidopsis linear-cotyledon stage chalazal endosperm captured by LCM:  Chalazal endosperm collected from seeds containing linear-cotyledon embryos 175 (+/- 11) microns in length  as determined by median section using the LEICA LMD6000 system for microdissection.. Genotype: Ws-0	P-G12404-5	P-G12404-1	GSE12404GSM311292 sample	P-G12404-4	GSE12404GSM311292 extract	total_RNA	P-G12404-3	GSE12404GSM311292 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Laser capture microdissected (LCM) chalazal endosperm at the linear-cotyledon stage, biological replicate 2	A-AFFY-2	P-AFFY-6	Laser capture microdissected (LCM) chalazal endosperm at the linear-cotyledon stage, biological replicate 2	GSM311292.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-12404-processed-data-1679280947.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-12404/E-GEOD-12404.processed.1.zip	chalazal endosperm	linear-cotyledon stage
