Source Name	Characteristics [Age]	Characteristics [TimeUnit]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [Ecotype]	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Parameter Value [media]	Parameter Value [stop time]	Parameter Value [min temperature]	Parameter Value [max temperature]	Sample Name	Protocol REF	Parameter Value [Extracted product]	Parameter Value [Amplification]	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Comment [Array Design URI]	Protocol REF	Factor Value [GrowthCondition]	Factor Value [time]	Unit [TimeUnit]	Factor Value [ecotype]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
col_32_LLHC	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102782	½ LS media with 0.8% agar at pH 5.8	9	12	22	col_32_LLHC	P-MEXP-101652	total RNA	none	col_32_LLHC	total_RNA	P-AFFY-2	col_32_LLHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_32_LLHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	continuous light, hot/cold	32	h	col	col_32_LLHC	LL_LLHC_32.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
ler_8_long day	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	ler	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102788	½ LS media with 0.8% agar at pH 5.8 plus 3% sucrose	9	22	  	ler_8_long day	P-MEXP-101652	total RNA	none	ler_8_long day	total_RNA	P-AFFY-2	ler_8_long day	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_8_long day	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	16hr light:8hr dark	8	h	ler	ler_8_long day	longday_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_12_LL_LDHC	9 To 11	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102789	½ LS media with 0.8% agar at pH 5.8	11	12	22	col_12_LL_LDHC	P-MEXP-101652	total RNA	none	col_12_LL_LDHC	total_RNA	P-AFFY-2	col_12_LL_LDHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_12_LL_LDHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	light/dark then continuous light, hot/cold	12	h	col	col_12_LL_LDHC	LL_LDHC_12.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
ler_44_long day	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	ler	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102788	½ LS media with 0.8% agar at pH 5.8 plus 3% sucrose	9	22	  	ler_44_long day	P-MEXP-101652	total RNA	none	ler_44_long day	total_RNA	P-AFFY-2	ler_44_long day	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_44_long day	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	16hr light:8hr dark	44	h	ler	ler_44_long day	longday_44.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_24_LL_LLHC	9 To 11	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102790	½ LS media with 0.8% agar at pH 5.8	11	12	22	col_24_LL_LLHC	P-MEXP-101652	total RNA	none	col_24_LL_LLHC	total_RNA	P-AFFY-2	col_24_LL_LLHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_24_LL_LLHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	continuous light, hot/cold	24	h	col	col_24_LL_LLHC	LL_LLHC_24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
ler_24_short day	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	ler	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	7	22	  	ler_24_short day	P-MEXP-101652	total RNA	none	ler_24_short day	total_RNA	P-AFFY-2	ler_24_short day	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_24_short day	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	8hr light:16hr dark	24	h	ler	ler_24_short day	shortday_24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_4_LLHC	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102782	½ LS media with 0.8% agar at pH 5.8	9	12	22	col_4_LLHC	P-MEXP-101652	total RNA	none	col_4_LLHC	total_RNA	P-AFFY-2	col_4_LLHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_4_LLHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	continuous light, hot/cold	4	h	col	col_4_LLHC	LL_LLHC_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_40_LL_LDHC	9 To 11	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102789	½ LS media with 0.8% agar at pH 5.8	11	12	22	col_40_LL_LDHC	P-MEXP-101652	total RNA	none	col_40_LL_LDHC	total_RNA	P-AFFY-2	col_40_LL_LDHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_40_LL_LDHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	light/dark then continuous light, hot/cold	40	h	col	col_40_LL_LDHC	LL_LDHC_40.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_16_DD_DDHC	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102792	½ LS media with 0.8% agar at pH 5.8 plus 3% sucrose	9	12	22	col_16_DD_DDHC	P-MEXP-101652	total RNA	none	col_16_DD_DDHC	total_RNA	P-AFFY-2	col_16_DD_DDHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_16_DD_DDHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	continuous dark, hot/cold	16	h	col	col_16_DD_DDHC	DD_DDHC_16.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_20_LDHC	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102787	½ LS media with 0.8% agar at pH 5.8	9	12	22	col_20_LDHC	P-MEXP-101652	total RNA	none	col_20_LDHC	total_RNA	P-AFFY-2	col_20_LDHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_20_LDHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	light/dark, hot/cold	20	h	col	col_20_LDHC	LDHC_20.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
ler_24_long day	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	ler	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102788	½ LS media with 0.8% agar at pH 5.8 plus 3% sucrose	9	22	  	ler_24_long day	P-MEXP-101652	total RNA	none	ler_24_long day	total_RNA	P-AFFY-2	ler_24_long day	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_24_long day	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	16hr light:8hr dark	24	h	ler	ler_24_long day	longday_24.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_28_LLHC	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102782	½ LS media with 0.8% agar at pH 5.8	9	12	22	col_28_LLHC	P-MEXP-101652	total RNA	none	col_28_LLHC	total_RNA	P-AFFY-2	col_28_LLHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_28_LLHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	continuous light, hot/cold	28	h	col	col_28_LLHC	LL_LLHC_28.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
ler_4_short day	7-9	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	ler	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-101651	½ LS media with 0.8% agar at pH 5.8	7	22	  	ler_4_short day	P-MEXP-101652	total RNA	none	ler_4_short day	total_RNA	P-AFFY-2	ler_4_short day	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	ler_4_short day	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	8hr light:16hr dark	4	h	ler	ler_4_short day	shortday_04.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_28_LL_LLHC	9 To 11	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102790	½ LS media with 0.8% agar at pH 5.8	11	12	22	col_28_LL_LLHC	P-MEXP-101652	total RNA	none	col_28_LL_LLHC	total_RNA	P-AFFY-2	col_28_LL_LLHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_28_LL_LLHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	continuous light, hot/cold	28	h	col	col_28_LL_LLHC	LL_LLHC_28.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
col_8_LL_LDHC	9 To 11	days	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	frozen_sample	col	seedling	EFO	EFO_0001992	P-MEXP-101654	P-MEXP-102789	½ LS media with 0.8% agar at pH 5.8	11	12	22	col_8_LL_LDHC	P-MEXP-101652	total RNA	none	col_8_LL_LDHC	total_RNA	P-AFFY-2	col_8_LL_LDHC	biotin	total_RNA	Affymetrix:Protocol:Hybridization-Unknown	col_8_LL_LDHC	A-AFFY-2	http://www.ebi.ac.uk/aerep/result?queryFor=PhysicalArrayDesign&aAccession=A-AFFY-2	P-AFFY-6	light/dark then continuous light, hot/cold	8	h	col	col_8_LL_LDHC	LL_LDHC_08.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.raw.1.zip	P-MEXP-102793	FGEM.txt_txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-1304/E-MEXP-1304.processed.1.zip
