Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[DevelopmentalStage]	Characteristics[Genotype]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[GENOTYPE]
GSE6177GSM142870	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr2 mutant	Warren-sf2-cold-A-15_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 87.55 Background Stdev (float) = 2.93 Background Max (float) = 95.4 Background Min (float) = 80.8 Noise Avg (float) = 6.58 Noise Stdev (float) = 0.40 Noise Max (float) = 7.6 Noise Min (float) = 5.8 RawQ (float) = 3.39 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 342 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A15-Warre-2ca.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf2	P-G6177-4	P-G6177-1	GSE6177GSM142870 sample	P-G6177-3	GSE6177GSM142870 extract	total_RNA	P-G6177-2	GSE6177GSM142870 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A15-Warre-2ca	A-AFFY-2	P-AFFY-6	GW001_ATH1_A15-Warre-2ca	GSM142870.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	cold	sfr2 mutant
GSE6177GSM142862	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr2 mutant	Warren-sf2-control-A-7_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 83.05 Background Stdev (float) = 2.40 Background Max (float) = 90.0 Background Min (float) = 78.6 Noise Avg (float) = 5.23 Noise Stdev (float) = 0.32 Noise Max (float) = 6.3 Noise Min (float) = 4.6 RawQ (float) = 3.27 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 794 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A7-Warre-2na.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf2	  	P-G6177-1	GSE6177GSM142862 sample	P-G6177-3	GSE6177GSM142862 extract	total_RNA	P-G6177-2	GSE6177GSM142862 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A7-Warre-2na	A-AFFY-2	P-AFFY-6	GW001_ATH1_A7-Warre-2na	GSM142862.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	control	sfr2 mutant
GSE6177GSM142857	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	wild_type	Warren-wildtype-control-A-2_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 86.98 Background Stdev (float) = 2.47 Background Max (float) = 96.8 Background Min (float) = 83.2 Noise Avg (float) = 6.23 Noise Stdev (float) = 0.45 Noise Max (float) = 7.7 Noise Min (float) = 4.9 RawQ (float) = 3.65 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 282 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A2-Warre-Wna.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; NASC:Growth Stage: 1.14; NASC:StockCode: N1092	  	P-G6177-1	GSE6177GSM142857 sample	P-G6177-3	GSE6177GSM142857 extract	total_RNA	P-G6177-2	GSE6177GSM142857 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A2-Warre-Wna	A-AFFY-2	P-AFFY-6	GW001_ATH1_A2-Warre-Wna	GSM142857.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	control	wild_type
GSE6177GSM142873	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	wild_type	Warren-wildtype-drought-A-18_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 93.87 Background Stdev (float) = 3.06 Background Max (float) = 104.3 Background Min (float) = 87.7 Noise Avg (float) = 6.58 Noise Stdev (float) = 0.42 Noise Max (float) = 8.2 Noise Min (float) = 5.5 RawQ (float) = 3.70 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 508 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A18-Warre-Wdr.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; NASC:Growth Stage: 1.14; NASC:StockCode: N1092	P-G6177-5	P-G6177-1	GSE6177GSM142873 sample	P-G6177-3	GSE6177GSM142873 extract	total_RNA	P-G6177-2	GSE6177GSM142873 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A18-Warre-Wdr	A-AFFY-2	P-AFFY-6	GW001_ATH1_A18-Warre-Wdr	GSM142873.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	drought	wild_type
GSE6177GSM142866	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr6 mutant	Warren-sf6-cold-A-11_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 88.66 Background Stdev (float) = 2.28 Background Max (float) = 97.5 Background Min (float) = 85.3 Noise Avg (float) = 5.80 Noise Stdev (float) = 0.40 Noise Max (float) = 7.6 Noise Min (float) = 5.1 RawQ (float) = 3.66 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 222 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A11-Warre-6ca.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf6	P-G6177-4	P-G6177-1	GSE6177GSM142866 sample	P-G6177-3	GSE6177GSM142866 extract	total_RNA	P-G6177-2	GSE6177GSM142866 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A11-Warre-6ca	A-AFFY-2	P-AFFY-6	GW001_ATH1_A11-Warre-6ca	GSM142866.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	cold	sfr6 mutant
GSE6177GSM142876	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	not specified	Warren-00f-A-21_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 91.05 Background Stdev (float) = 3.28 Background Max (float) = 99.4 Background Min (float) = 83.8 Noise Avg (float) = 7.17 Noise Stdev (float) = 0.78 Noise Max (float) = 11.1 Noise Min (float) = 5.8 RawQ (float) = 3.89 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 1513 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A21-Warre-00f.DAT. OrganismPart: All aerial tissue; Ecotype:; NASC:Growth Stage: 1.14; NASC:StockCode:	  	P-G6177-6	GSE6177GSM142876 sample	P-G6177-3	GSE6177GSM142876 extract	total_RNA	P-G6177-2	GSE6177GSM142876 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A21-Warre-00f	A-AFFY-2	P-AFFY-6	GW001_ATH1_A21-Warre-00f	GSM142876.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	not specified	not specified
GSE6177GSM142865	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	wild_type	Warren-wildtype-cold-A-10_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 80.16 Background Stdev (float) = 2.39 Background Max (float) = 87.2 Background Min (float) = 76.5 Noise Avg (float) = 5.94 Noise Stdev (float) = 0.52 Noise Max (float) = 7.2 Noise Min (float) = 5.1 RawQ (float) = 3.48 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 316 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A10-Warre-Wca.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; NASC:Growth Stage: 1.14; NASC:StockCode: N1092	P-G6177-4	P-G6177-1	GSE6177GSM142865 sample	P-G6177-3	GSE6177GSM142865 extract	total_RNA	P-G6177-2	GSE6177GSM142865 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A10-Warre-Wca	A-AFFY-2	P-AFFY-6	GW001_ATH1_A10-Warre-Wca	GSM142865.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	cold	wild_type
GSE6177GSM142869	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr3 mutant	Warren-sf3-cold-A-14_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 90.96 Background Stdev (float) = 3.08 Background Max (float) = 100.5 Background Min (float) = 84.1 Noise Avg (float) = 6.45 Noise Stdev (float) = 0.38 Noise Max (float) = 7.6 Noise Min (float) = 5.8 RawQ (float) = 3.74 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 327 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A14-Warre-3ca.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf3	P-G6177-4	P-G6177-1	GSE6177GSM142869 sample	P-G6177-3	GSE6177GSM142869 extract	total_RNA	P-G6177-2	GSE6177GSM142869 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A14-Warre-3ca	A-AFFY-2	P-AFFY-6	GW001_ATH1_A14-Warre-3ca	GSM142869.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	cold	sfr3 mutant
GSE6177GSM142868	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr3 mutant	Warren-sf3-cold-A-13_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 93.19 Background Stdev (float) = 2.82 Background Max (float) = 101.6 Background Min (float) = 86.7 Noise Avg (float) = 5.75 Noise Stdev (float) = 0.25 Noise Max (float) = 6.4 Noise Min (float) = 5.3 RawQ (float) = 3.67 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 287 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A13-Warre-3ca.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf3	P-G6177-4	P-G6177-1	GSE6177GSM142868 sample	P-G6177-3	GSE6177GSM142868 extract	total_RNA	P-G6177-2	GSE6177GSM142868 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A13-Warre-3ca	A-AFFY-2	P-AFFY-6	GW001_ATH1_A13-Warre-3ca	GSM142868.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	cold	sfr3 mutant
GSE6177GSM142863	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr2 mutant	Warren-sf2-control-A-8_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 76.45 Background Stdev (float) = 2.03 Background Max (float) = 82.5 Background Min (float) = 71.7 Noise Avg (float) = 5.17 Noise Stdev (float) = 0.28 Noise Max (float) = 6.2 Noise Min (float) = 4.7 RawQ (float) = 3.13 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 390 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A8-Warre-2na.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf2	  	P-G6177-1	GSE6177GSM142863 sample	P-G6177-3	GSE6177GSM142863 extract	total_RNA	P-G6177-2	GSE6177GSM142863 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A8-Warre-2na	A-AFFY-2	P-AFFY-6	GW001_ATH1_A8-Warre-2na	GSM142863.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	control	sfr2 mutant
GSE6177GSM142879	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	not specified	Warren-03f-A-24_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 83.20 Background Stdev (float) = 2.33 Background Max (float) = 90.8 Background Min (float) = 74.9 Noise Avg (float) = 6.27 Noise Stdev (float) = 0.53 Noise Max (float) = 8.8 Noise Min (float) = 5.2 RawQ (float) = 3.43 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 846 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A24-Warre-03f.DAT. OrganismPart: All aerial tissue; Ecotype:; NASC:Growth Stage: 1.14; NASC:StockCode:	  	P-G6177-6	GSE6177GSM142879 sample	P-G6177-3	GSE6177GSM142879 extract	total_RNA	P-G6177-2	GSE6177GSM142879 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A24-Warre-03f	A-AFFY-2	P-AFFY-6	GW001_ATH1_A24-Warre-03f	GSM142879.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	not specified	not specified
GSE6177GSM142878	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	not specified	Warren-03f-A-23_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 91.46 Background Stdev (float) = 1.54 Background Max (float) = 97.6 Background Min (float) = 87.6 Noise Avg (float) = 6.45 Noise Stdev (float) = 0.25 Noise Max (float) = 7.2 Noise Min (float) = 5.7 RawQ (float) = 3.73 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 275 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A23-Warre-03f.DAT. OrganismPart: All aerial tissue; Ecotype:; NASC:Growth Stage: 1.14; NASC:StockCode:	  	P-G6177-6	GSE6177GSM142878 sample	P-G6177-3	GSE6177GSM142878 extract	total_RNA	P-G6177-2	GSE6177GSM142878 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A23-Warre-03f	A-AFFY-2	P-AFFY-6	GW001_ATH1_A23-Warre-03f	GSM142878.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	not specified	not specified
GSE6177GSM142881	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	not specified	Warren-24f-A-26_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 70.61 Background Stdev (float) = 2.32 Background Max (float) = 77.3 Background Min (float) = 65.6 Noise Avg (float) = 4.65 Noise Stdev (float) = 0.29 Noise Max (float) = 5.6 Noise Min (float) = 4.1 RawQ (float) = 2.89 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 300 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A26-Warre-24f.DAT. OrganismPart: All aerial tissue; Ecotype:; NASC:Growth Stage: 1.14; NASC:StockCode:	  	P-G6177-6	GSE6177GSM142881 sample	P-G6177-3	GSE6177GSM142881 extract	total_RNA	P-G6177-2	GSE6177GSM142881 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A26-Warre-24f	A-AFFY-2	P-AFFY-6	GW001_ATH1_A26-Warre-24f	GSM142881.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	not specified	not specified
GSE6177GSM142861	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr3 mutant	Warren-sf3-control-A-6_REP2:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 83.13 Background Stdev (float) = 2.33 Background Max (float) = 90.0 Background Min (float) = 78.3 Noise Avg (float) = 5.34 Noise Stdev (float) = 0.26 Noise Max (float) = 6.1 Noise Min (float) = 4.8 RawQ (float) = 3.39 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 225 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A6-Warre-3na.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf3	  	P-G6177-1	GSE6177GSM142861 sample	P-G6177-3	GSE6177GSM142861 extract	total_RNA	P-G6177-2	GSE6177GSM142861 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A6-Warre-3na	A-AFFY-2	P-AFFY-6	GW001_ATH1_A6-Warre-3na	GSM142861.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	control	sfr3 mutant
GSE6177GSM142858	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr6 mutant	Warren-sf6-control-A-3_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 120.65 Background Stdev (float) = 5.85 Background Max (float) = 137.9 Background Min (float) = 109.6 Noise Avg (float) = 8.16 Noise Stdev (float) = 0.59 Noise Max (float) = 10.3 Noise Min (float) = 7.1 RawQ (float) = 4.40 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 199 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A3-Warre-6na.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf6	  	P-G6177-1	GSE6177GSM142858 sample	P-G6177-3	GSE6177GSM142858 extract	total_RNA	P-G6177-2	GSE6177GSM142858 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A3-Warre-6na	A-AFFY-2	P-AFFY-6	GW001_ATH1_A3-Warre-6na	GSM142858.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	control	sfr6 mutant
GSE6177GSM142860	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.14	sfr3 mutant	Warren-sf3-control-A-5_REP1:  Rows (integer) = 712 Cols (integer) = 712 Number of Probe Sets (integer) = 22810 Background Avg (float) = 87.90 Background Stdev (float) = 2.41 Background Max (float) = 95.0 Background Min (float) = 84.3 Noise Avg (float) = 5.91 Noise Stdev (float) = 0.40 Noise Max (float) = 7.1 Noise Min (float) = 4.8 RawQ (float) = 3.65 Number Cells Masked (integer) = 0 Number Outlier Cells (integer) = 240 Number Cells Modified (integer) = 0 Rows (integer) = 712 Cols (integer) = 712 Number of Cells (integer) = 506944 Image: GW001_ATH1_A5-Warre-3na.DAT. OrganismPart: All aerial tissue; Ecotype: col-0; GeneticModification: EMS mutant; NASC:Growth Stage: 1.14; NASC:StockCode:; StrainOrLine: sf3	  	P-G6177-1	GSE6177GSM142860 sample	P-G6177-3	GSE6177GSM142860 extract	total_RNA	P-G6177-2	GSE6177GSM142860 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	GW001_ATH1_A5-Warre-3na	A-AFFY-2	P-AFFY-6	GW001_ATH1_A5-Warre-3na	GSM142860.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.raw.1.zip	E-GEOD-6177-processed-data-1628860197.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-6177/E-GEOD-6177.processed.1.zip	control	sfr3 mutant
