Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Comment [submitted genotype]	Characteristics [age]	Unit [time unit]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]
GSM1240610 1	aerial parts of 3-week old plants	WOX1-2_2	crossing of MYB12OX and pap1-D (homogygous)	3	week	WOX1-2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240610 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240610 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240610	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240610_SK123.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240610_sample_table.txt norm	GSM1240610_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	WOX1-2
GSM1240609 1	aerial parts of 3-week old plants	WOX1-2_1	crossing of MYB12OX and pap1-D (homogygous)	3	week	WOX1-2	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240609 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240609 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240609	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240609_SK122.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240609_sample_table.txt norm	GSM1240609_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	WOX1-2
GSM1240608 1	aerial parts of 3-week old plants	WOX1-1_3	crossing of MYB12OX and pap1-D (homogygous)	3	week	WOX1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240608 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240608 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240608	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240608_SK121.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240608_sample_table.txt norm	GSM1240608_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	WOX1-1
GSM1240607 1	aerial parts of 3-week old plants	WOX1-1_2	crossing of MYB12OX and pap1-D (homogygous)	3	week	WOX1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240607 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240607 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240607	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240607_SK120.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240607_sample_table.txt norm	GSM1240607_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	WOX1-1
GSM1240606 1	aerial parts of 3-week old plants	WOX1-1_1	crossing of MYB12OX and pap1-D (homogygous)	3	week	WOX1-1	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240606 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240606 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240606	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240606_SK119.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240606_sample_table.txt norm	GSM1240606_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	WOX1-1
GSM1240605 1	aerial parts of 3-week old plants	pap1-D_3	MYB75/PAP1 overexpressor (Col-0 background, homogygous)	3	week	pap1-D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240605 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240605 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240605	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240605_SK118.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240605_sample_table.txt norm	GSM1240605_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	pap1-D
GSM1240604 1	aerial parts of 3-week old plants	pap1-D_2	MYB75/PAP1 overexpressor (Col-0 background, homogygous)	3	week	pap1-D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240604 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240604 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240604	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240604_SK117.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240604_sample_table.txt norm	GSM1240604_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	pap1-D
GSM1240603 1	aerial parts of 3-week old plants	pap1-D_1	MYB75/PAP1 overexpressor (Col-0 background, homogygous)	3	week	pap1-D	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240603 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240603 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240603	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240603_SK116.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240603_sample_table.txt norm	GSM1240603_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	pap1-D
GSM1240602 1	aerial parts of 3-week old plants	MYB12OX_3	MYB12 overexpressor (Col-0 background, homogygous)	3	week	MYB12OX	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240602 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240602 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240602	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240602_SK115.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240602_sample_table.txt norm	GSM1240602_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	MYB12OX
GSM1240601 1	aerial parts of 3-week old plants	MYB12OX_2	MYB12 overexpressor (Col-0 background, homogygous)	3	week	MYB12OX	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240601 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240601 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240601	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240601_SK114.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240601_sample_table.txt norm	GSM1240601_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	MYB12OX
GSM1240600 1	aerial parts of 3-week old plants	MYB12OX_1	MYB12 overexpressor (Col-0 background, homogygous)	3	week	MYB12OX	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240600 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240600 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240600	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240600_SK113.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240600_sample_table.txt norm	GSM1240600_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	MYB12OX
GSM1240599 1	aerial parts of 3-week old plants	Col-0_3	Col-0 (wild-type)	3	week	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240599 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240599 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240599	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240599_SK112.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240599_sample_table.txt norm	GSM1240599_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	wild type
GSM1240598 1	aerial parts of 3-week old plants	Col-0_2	Col-0 (wild-type)	3	week	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240598 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240598 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240598	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240598_SK111.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240598_sample_table.txt norm	GSM1240598_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	wild type
GSM1240597 1	aerial parts of 3-week old plants	Col-0_1	Col-0 (wild-type)	3	week	wild type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	aerial part	EFO	EFO_0001901	P-GSE51215-2	ArrayExpress	P-GSE51215-3	ArrayExpress	GSM1240597 extract 1	total RNA	P-GSE51215-4	ArrayExpress	GSM1240597 LE 1	biotin	P-GSE51215-5	ArrayExpress	GSM1240597	A-AFFY-2	ArrayExpress	array assay	P-GSE51215-6	ArrayExpress	GSM1240597_SK110.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.raw.1.zip	P-GSE51215-1	ArrayExpress	GSM1240597_sample_table.txt norm	GSM1240597_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-51215/E-GEOD-51215.processed.1.zip	wild type
