Source Name	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [ECOTYPE]	FactorValue [TIME]	FactorValue [TREATMENT]
GSM967193 1	7 day old seedling	det2mock 30m (A7) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967193 extract 1	total RNA	P-GSE39384-5	GSM967193 LE 1	biotin	P-GSE39384-6	GSM967193	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967193_det2m30-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967193_sample_table.txt norm	GSM967193_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	30 min	mock
GSM967192 1	7 day old seedling	det2mock 30m (A7) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	det2-1	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967192 extract 1	total RNA	P-GSE39384-5	GSM967192 LE 1	biotin	P-GSE39384-6	GSM967192	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967192_det2m30-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967192_sample_table.txt norm	GSM967192_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	det2-1	30 min	mock
GSM967191 1	7 day old seedling	ga1+GA 3h (A6) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967191 extract 1	total RNA	P-GSE39384-5	GSM967191 LE 1	biotin	P-GSE39384-6	GSM967191	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967191_GA1-5G3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967191_sample_table.txt norm	GSM967191_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	3 h	1 µM GA3
GSM967190 1	7 day old seedling	ga1+GA 3h (A6) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967190 extract 1	total RNA	P-GSE39384-5	GSM967190 LE 1	biotin	P-GSE39384-6	GSM967190	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967190_GA1-5G3-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967190_sample_table.txt norm	GSM967190_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	3 h	1 µM GA3
GSM967189 1	7 day old seedling	ga1mock 3h (A6) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967189 extract 1	total RNA	P-GSE39384-5	GSM967189 LE 1	biotin	P-GSE39384-6	GSM967189	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967189_GA1-5m3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967189_sample_table.txt norm	GSM967189_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	3 h	mock
GSM967188 1	7 day old seedling	ga1mock 3h (A6) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967188 extract 1	total RNA	P-GSE39384-5	GSM967188 LE 1	biotin	P-GSE39384-6	GSM967188	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967188_GA1-5m3-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967188_sample_table.txt norm	GSM967188_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	3 h	mock
GSM967187 1	7 day old seedling	ga1+GA 1h (A5) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967187 extract 1	total RNA	P-GSE39384-5	GSM967187 LE 1	biotin	P-GSE39384-6	GSM967187	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967187_GA1-5G1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967187_sample_table.txt norm	GSM967187_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	1 h	1 µM GA3
GSM967186 1	7 day old seedling	ga1+GA 1h (A5) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967186 extract 1	total RNA	P-GSE39384-5	GSM967186 LE 1	biotin	P-GSE39384-6	GSM967186	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967186_GA1-5G1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967186_sample_table.txt norm	GSM967186_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	1 h	1 µM GA3
GSM967185 1	7 day old seedling	ga1mock 1h (A5) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967185 extract 1	total RNA	P-GSE39384-5	GSM967185 LE 1	biotin	P-GSE39384-6	GSM967185	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967185_GA1-5m1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967185_sample_table.txt norm	GSM967185_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	1 h	mock
GSM967184 1	7 day old seedling	ga1mock 1h (A5) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967184 extract 1	total RNA	P-GSE39384-5	GSM967184 LE 1	biotin	P-GSE39384-6	GSM967184	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967184_GA1-5m1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967184_sample_table.txt norm	GSM967184_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	1 h	mock
GSM967183 1	7 day old seedling	ga1+GA 30m (A4) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967183 extract 1	total RNA	P-GSE39384-5	GSM967183 LE 1	biotin	P-GSE39384-6	GSM967183	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967183_GA1-5G30-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967183_sample_table.txt norm	GSM967183_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	30 min	1 µM GA3
GSM967182 1	7 day old seedling	ga1+GA 30m (A4) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967182 extract 1	total RNA	P-GSE39384-5	GSM967182 LE 1	biotin	P-GSE39384-6	GSM967182	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967182_GA1-5G30-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967182_sample_table.txt norm	GSM967182_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	30 min	1 µM GA3
GSM967181 1	7 day old seedling	ga1mock 30m (A4) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967181 extract 1	total RNA	P-GSE39384-5	GSM967181 LE 1	biotin	P-GSE39384-6	GSM967181	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967181_GA1-5m30-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967181_sample_table.txt norm	GSM967181_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	30 min	mock
GSM967180 1	7 day old seedling	ga1mock 30m (A4) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	ga1-5	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967180 extract 1	total RNA	P-GSE39384-5	GSM967180 LE 1	biotin	P-GSE39384-6	GSM967180	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967180_GA1-5m30-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967180_sample_table.txt norm	GSM967180_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	ga1-5	30 min	mock
GSM967179 1	7 day old seedling	BL 3h (A3) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967179 extract 1	total RNA	P-GSE39384-5	GSM967179 LE 1	biotin	P-GSE39384-6	GSM967179	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967179_BL3-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967179_sample_table.txt norm	GSM967179_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	Col-0	3 h	10 nM BL
GSM967178 1	7 day old seedling	BL 3h (A3) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967178 extract 1	total RNA	P-GSE39384-5	GSM967178 LE 1	biotin	P-GSE39384-6	GSM967178	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967178_BL3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967178_sample_table.txt norm	GSM967178_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	Col-0	3 h	10 nM BL
GSM967177 1	7 day old seedling	ACC 3h (A3) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967177 extract 1	total RNA	P-GSE39384-5	GSM967177 LE 1	biotin	P-GSE39384-6	GSM967177	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967177_ACC3-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967177_sample_table.txt norm	GSM967177_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	Col-0	3 h	10 µM ACC
GSM967176 1	7 day old seedling	ACC 3h (A3) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967176 extract 1	total RNA	P-GSE39384-5	GSM967176 LE 1	biotin	P-GSE39384-6	GSM967176	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967176_ACC3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967176_sample_table.txt norm	GSM967176_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	Col-0	3 h	10 µM ACC
GSM967175 1	7 day old seedling	MJ 3h (A3) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967175 extract 1	total RNA	P-GSE39384-5	GSM967175 LE 1	biotin	P-GSE39384-6	GSM967175	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967175_MJ3-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967175_sample_table.txt norm	GSM967175_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	Col-0	3 h	10 µM MJ
GSM967174 1	7 day old seedling	MJ 3h (A3) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967174 extract 1	total RNA	P-GSE39384-5	GSM967174 LE 1	biotin	P-GSE39384-6	GSM967174	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967174_MJ3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967174_sample_table.txt norm	GSM967174_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	Col-0	3 h	10 µM MJ
GSM967173 1	7 day old seedling	ABA 3h (A3) rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967173 extract 1	total RNA	P-GSE39384-5	GSM967173 LE 1	biotin	P-GSE39384-6	GSM967173	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967173_ABA3-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967173_sample_table.txt norm	GSM967173_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	Col-0	3 h	10 µM ABA
GSM967172 1	7 day old seedling	ABA 3h (A3) rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	P-GSE39384-3	P-GSE39384-2	P-GSE39384-4	GSM967172 extract 1	total RNA	P-GSE39384-5	GSM967172 LE 1	biotin	P-GSE39384-6	GSM967172	A-AFFY-2	  	P-GSE39384-7	P-GSE39384-8	GSM967172_ABA3-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.raw.1.zip	P-GSE39384-1	GSM967172_sample_table.txt norm	GSM967172_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-39384/E-GEOD-39384.processed.1.zip	Col-0	3 h	10 µM ABA
