Source Name	Material Type	Characteristics[organism part]	Characteristics [age]	Unit[time unit]	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[growth condition]	Comment [Sample_source_name]	Comment [Sample_title]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [genotype]	FactorValue [growth condition]
GSM1526979 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate	sdg8_pC_mL_rep2	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526979 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526979 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526979	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526979_LD_flowering_2-6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526979_sample_table.txt norm	GSM1526979_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	1% sucrose, dark
GSM1526978 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, untreated	sdg8_mC_mL_rep2	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526978 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526978 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526978	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526978_LD_flowering_2-5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526978_sample_table.txt norm	GSM1526978_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	0% sucrose, dark
GSM1526977 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate and light	WT_pC_pL_rep2	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526977 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526977 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526977	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526977_LD_flowering_2-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526977_sample_table.txt norm	GSM1526977_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	1% sucrose, 70 uE light
GSM1526976 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with light	WT_mC_pL_rep2	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526976 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526976 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526976	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526976_LD_flowering_2-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526976_sample_table.txt norm	GSM1526976_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	0% sucrose, 70 uE light
GSM1526975 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate	WT_pC_mL_rep2	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526975 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526975 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526975	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526975_LD_flowering_2-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526975_sample_table.txt norm	GSM1526975_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	1% sucrose, dark
GSM1526974 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, untreated	WT_mC_mL_rep2	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526974 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526974 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526974	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526974_LD_flowering_2-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526974_sample_table.txt norm	GSM1526974_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	0% sucrose, dark
GSM1526973 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate and light	sdg8_pC_pL_rep1	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526973 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526973 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526973	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526973_LD_flowering_1-8.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526973_sample_table.txt norm	GSM1526973_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	1% sucrose, 70 uE light
GSM1526972 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with light	sdg8_mC_pL_rep1	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526972 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526972 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526972	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526972_LD_flowering_1-7.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526972_sample_table.txt norm	GSM1526972_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	0% sucrose, 70 uE light
GSM1526971 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate	sdg8_pC_mL_rep1	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526971 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526971 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526971	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526971_LD_flowering_1-6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526971_sample_table.txt norm	GSM1526971_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	1% sucrose, dark
GSM1526970 1	organism part	shoot	3	week	sdg8-5	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, untreated	sdg8_mC_mL_rep1	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526970 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526970 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526970	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526970_LD_flowering_1-5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526970_sample_table.txt norm	GSM1526970_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	sdg8-5	0% sucrose, dark
GSM1526969 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate and light	WT_pC_pL_rep1	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526969 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526969 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526969	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526969_LD_flowering_1-4.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526969_sample_table.txt norm	GSM1526969_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	1% sucrose, 70 uE light
GSM1526968 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with light	WT_mC_pL_rep1	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526968 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526968 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526968	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526968_LD_flowering_1-3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526968_sample_table.txt norm	GSM1526968_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	0% sucrose, 70 uE light
GSM1526967 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, treated with carbonhydrate	WT_pC_mL_rep1	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526967 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526967 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526967	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526967_LD_flowering_1-2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526967_sample_table.txt norm	GSM1526967_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	1% sucrose, dark
GSM1526966 1	organism part	shoot	3	week	wild type genotype	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	  	Shoots, untreated	WT_mC_mL_rep1	P-GSE62435-2	ArrayExpress	P-GSE62435-3	ArrayExpress	P-GSE62435-4	ArrayExpress	GSM1526966 extract 1	total RNA	P-GSE62435-5	ArrayExpress	GSM1526966 LE 1	Biotin	P-GSE62435-6	ArrayExpress	GSM1526966	A-AFFY-2	ArrayExpress	array assay	P-GSE62435-7	ArrayExpress	GSM1526966_LD_flowering_1-1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.raw.1.zip	P-GSE62435-1	ArrayExpress	GSM1526966_sample_table.txt norm	GSM1526966_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-62435/E-GEOD-62435.processed.1.zip	wild type genotype	0% sucrose, dark
