Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype]	Term Source REF	Term Accession Number	Characteristics [genotype]	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [supplement]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [GENOTYPE]	FactorValue [SUPPLEMENT]	FactorValue [TIME]
GSM1192729 1	Wild type plants supplemented with 30μM phosphate (8 hours). Replicate 2	Wild type, 1mM phosphate, 8 hours	Wild type, 1mM phosphate, 8 hours. Rep2	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Phosphate (1mM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192729 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192729 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192729	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192729_Col_+P_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192729_sample_table.txt norm	GSM1192729_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Phosphate (1mM)	8 hours
GSM1192728 1	Wild type plants supplemented with 30μM phosphate (8 hours). Replicate 1	Wild type, 1mM phosphate, 8 hours	Wild type, 1mM phosphate, 8 hours. Rep1	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Phosphate (1mM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192728 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192728 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192728	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192728_Col_+P_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192728_sample_table.txt norm	GSM1192728_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Phosphate (1mM)	8 hours
GSM1192727 1	Wild type plants supplemented with 30μM phosphate (8 hours). Replicate 3	Wild type, 30μM phosphate, 8 hours	Wild type, 30μM phosphate, 8 hours. Rep3	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Phosphate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192727 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192727 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192727	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192727_Col_30P_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192727_sample_table.txt norm	GSM1192727_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Phosphate (30μM)	8 hours
GSM1192726 1	Wild type plants supplemented with 30μM phosphate (8 hours). Replicate 2	Wild type, 30μM phosphate, 8 hours	Wild type, 30μM phosphate, 8 hours. Rep2	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Phosphate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192726 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192726 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192726	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192726_Col_30P_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192726_sample_table.txt norm	GSM1192726_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Phosphate (30μM)	8 hours
GSM1192725 1	Wild type plants supplemented with 30μM phosphate (8 hours). Replicate 1	Wild type, 30μM phosphate, 8 hours	Wild type, 30μM phosphate, 8 hours. Rep1	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Phosphate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192725 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192725 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192725	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192725_Col_30P_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192725_sample_table.txt norm	GSM1192725_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Phosphate (30μM)	8 hours
GSM1192724 1	Wild type plants supplemented with 30μM arsenate (8 hours). Replicate 3	Wild type, 30μM arsenate, 8 hours	Wild type, 30μM arsenate, 8 hours. Rep3	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arsenate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192724 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192724 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192724	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192724_Col_+As_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192724_sample_table.txt norm	GSM1192724_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Arsenate (30μM)	8 hours
GSM1192723 1	Wild type plants supplemented with 30μM arsenate (8 hours). Replicate 2	Wild type, 30μM arsenate, 8 hours	Wild type, 30μM arsenate, 8 hours. Rep2	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arsenate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192723 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192723 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192723	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192723_Col_+As_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192723_sample_table.txt norm	GSM1192723_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Arsenate (30μM)	8 hours
GSM1192722 1	Wild type plants supplemented with 30μM arsenate (8 hours). Replicate 1	Wild type, 30μM arsenate, 8 hours	Wild type, 30μM arsenate, 8 hours. Rep1	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	Arsenate (30μM)	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192722 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192722 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192722	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192722_Col_+As_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192722_sample_table.txt norm	GSM1192722_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	Arsenate (30μM)	8 hours
GSM1192721 1	Wild type plants control (not supplemented). Replicate 3	Wild type, control (not supplemented)	Wild type, control (not supplemented). Rep3	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	not supplemented	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192721 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192721 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192721	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192721_Col_-P_R3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192721_sample_table.txt norm	GSM1192721_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	not supplemented	8 hours
GSM1192720 1	Wild type plants control (not supplemented). Replicate 2	Wild type, control (not supplemented)	Wild type, control (not supplemented). Rep2	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	not supplemented	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192720 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192720 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192720	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192720_Col_-P_R2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192720_sample_table.txt norm	GSM1192720_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	not supplemented	8 hours
GSM1192719 1	Wild type plants control (not supplemented). Replicate 1	Wild type, control (not supplemented)	Wild type, control (not supplemented). Rep1	Col-0	EFO	EFO_0005148	Wild Type	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	not supplemented	P-GSE49037-4	ArrayExpress	P-GSE49037-3	ArrayExpress	P-GSE49037-5	ArrayExpress	GSM1192719 extract 1	total RNA	P-GSE49037-6	ArrayExpress	GSM1192719 LE 1	Biotin	P-GSE49037-7	ArrayExpress	GSM1192719	A-AFFY-2	ArrayExpress	array assay	P-GSE49037-8	ArrayExpress	GSM1192719_Col_-P_R1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.raw.1.zip	P-GSE49037-1	ArrayExpress	GSM1192719_sample_table.txt norm	GSM1192719_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-49037/E-GEOD-49037.processed.1.zip	Wild Type	not supplemented	8 hours
