Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [ecotype]	Characteristics [developmental stage]	Term Source REF	Term Accession Number	Characteristics [age]	Unit [time unit]	Characteristics [organism part]	Comment [BioSourceType]	Protocol REF	Parameter Value [start time]	Parameter Value [stop time]	Protocol REF	Sample Name	Protocol REF	Protocol REF	Parameter Value [Amplification]	Parameter Value [Extracted product]	Extract Name	Material Type	Protocol REF	Parameter Value [Amplification]	Parameter Value [Label used]	Parameter Value [Amount of nucleic acid labeled]	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	FactorValue [infect]	Factor Value [sampling site]
MockZone3rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone3rep1	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT8	total RNA	P-MEXP-9807	none	biotin	10	LABEL8	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID8	A-AFFY-2	P-AFFY-6	HYBRID8	1_4_Mock310-15-03_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 3
MockZone3rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	MockZone3rep2	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT16	total RNA	P-MEXP-9807	none	biotin	10	LABEL16	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID16	A-AFFY-2	P-AFFY-6	HYBRID16	17_12_Mock310-16-03_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	mock	zone 3
TuMVZone0rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone0rep2	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT9	total RNA	P-MEXP-9807	none	biotin	10	LABEL9	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID9	A-AFFY-2	P-AFFY-6	HYBRID9	16_13_TuMV010-16-03_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 0
TuMVZone0rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone0rep3	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT17	total RNA	P-MEXP-9807	none	biotin	10	LABEL17	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID17	A-AFFY-2	P-AFFY-6	HYBRID17	8_21_TuMV010-17-03_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 0
TuMVZone0rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone0rep1	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT1	total RNA	P-MEXP-9807	none	biotin	10	LABEL1	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID1	A-AFFY-2	P-AFFY-6	HYBRID1	23_5_TuMV010-15-03_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 0
TuMVZone1rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone1rep2	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT10	total RNA	P-MEXP-9807	none	biotin	10	LABEL10	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID10	A-AFFY-2	P-AFFY-6	HYBRID10	15_14_TuMV110-16-03_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 1
TuMVZone1rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone1rep1	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT2	total RNA	P-MEXP-9807	none	biotin	10	LABEL2	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID2	A-AFFY-2	P-AFFY-6	HYBRID2	2_6_TuMV110-15-03_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 1
TuMVZone1rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone1rep3	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT18	total RNA	P-MEXP-9807	none	biotin	10	LABEL18	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID18	A-AFFY-2	P-AFFY-6	HYBRID18	3_22_TuMV110-17-03_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 1
TuMVZone2rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone2rep1	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT3	total RNA	P-MEXP-9807	none	biotin	10	LABEL3	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID3	A-AFFY-2	P-AFFY-6	HYBRID3	13_7_TuMV210-15-03_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 2
TuMVZone2rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone2rep3	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT19	total RNA	P-MEXP-9807	none	biotin	10	LABEL19	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID19	A-AFFY-2	P-AFFY-6	HYBRID19	9_23_TuMV210-17-03_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 2
TuMVZone2rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone2rep2	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT11	total RNA	P-MEXP-9807	none	biotin	10	LABEL11	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID11	A-AFFY-2	P-AFFY-6	HYBRID11	4_15_TuMV210-16-03_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 2
TuMVZone3rep1	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone3rep1	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT4	total RNA	P-MEXP-9807	none	biotin	10	LABEL4	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID4	A-AFFY-2	P-AFFY-6	HYBRID4	5_8_TuMV310-15-03_Replicate1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 3
TuMVZone3rep3	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone3rep3	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT20	total RNA	P-MEXP-9807	none	biotin	10	LABEL20	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID20	A-AFFY-2	P-AFFY-6	HYBRID20	19_24_TuMV310-17-03_Replicate3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 3
TuMVZone3rep2	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	seedling	EFO	EFO_0001992	7	week	rosette leaf	frozen sample	P-MEXP-9800	7	592	P-MEXP-9801	TuMVZone3rep2	P-MEXP-9805	P-MEXP-9806	RNA polymerases	total RNA	EXTRACT12	total RNA	P-MEXP-9807	none	biotin	10	LABEL12	biotin	total RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2[]	HYBRID12	A-AFFY-2	P-AFFY-6	HYBRID12	12_16_TuMV310-16-03_Replicate2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-509/E-MEXP-509.raw.1.zip	Turnip mosaic virus 	zone 3
