Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics[ecotype]	Characteristics[developmental stage]	Characteristics[organism part]	Description	Protocol REF	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[time]	Unit[time unit]	FactorValue[organism part]
GSE5636GSM131757	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-9	GSE5636GSM131757 sample	GSE5636GSM131757 extract	total_RNA	GSE5636GSM131757 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A36_1-12hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A36_1-12hr_Rep2_ATH1	GSM131757.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	12	hour	developing leaf insertions
GSE5636GSM131751	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-3	GSE5636GSM131751 sample	GSE5636GSM131751 extract	total_RNA	GSE5636GSM131751 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A10_1-12hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A10_1-12hr_Rep1_ATH1	GSM131751.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	12	hour	developing leaf insertions
GSE5636GSM131770	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-22	GSE5636GSM131770 sample	GSE5636GSM131770 extract	total_RNA	GSE5636GSM131770 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A92_1-24hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A92_1-24hr_Rep4_ATH1	GSM131770.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	24	hour	developing leaf insertions
GSE5636GSM131752	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-4	GSE5636GSM131752 sample	GSE5636GSM131752 extract	total_RNA	GSE5636GSM131752 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A14_1-24hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A14_1-24hr_Rep1_ATH1	GSM131752.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	24	hour	developing leaf insertions
GSE5636GSM131764	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-16	GSE5636GSM131764 sample	GSE5636GSM131764 extract	total_RNA	GSE5636GSM131764 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A66_1-24hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A66_1-24hr_Rep3_ATH1	GSM131764.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	24	hour	developing leaf insertions
GSE5636GSM131758	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-10	GSE5636GSM131758 sample	GSE5636GSM131758 extract	total_RNA	GSE5636GSM131758 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A40_1-24hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A40_1-24hr_Rep2_ATH1	GSM131758.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	24	hour	developing leaf insertions
GSE5636GSM131774	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	  	mature leaf	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: mature leaves	P-G5636-26	GSE5636GSM131774 sample	GSE5636GSM131774 extract	total_RNA	GSE5636GSM131774 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A109_1-24hr_Rep2m_ATH1	A-AFFY-2	P-AFFY-6	Quick_A109_1-24hr_Rep2m_ATH1	GSM131774.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	24	hour	mature leaf
GSE5636GSM131773	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	  	mature leaf	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: mature leaves	P-G5636-25	GSE5636GSM131773 sample	GSE5636GSM131773 extract	total_RNA	GSE5636GSM131773 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A105_1-24hr_Rep1m_ATH1	A-AFFY-2	P-AFFY-6	Quick_A105_1-24hr_Rep1m_ATH1	GSM131773.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	24	hour	mature leaf
GSE5636GSM131771	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-23	GSE5636GSM131771 sample	GSE5636GSM131771 extract	total_RNA	GSE5636GSM131771 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A96_1-48hr_Rep4_ATH1	A-AFFY-2	P-AFFY-6	Quick_A96_1-48hr_Rep4_ATH1	GSM131771.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	48	hour	developing leaf insertions
GSE5636GSM131753	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-5	GSE5636GSM131753 sample	GSE5636GSM131753 extract	total_RNA	GSE5636GSM131753 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A18_1-48hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A18_1-48hr_Rep1_ATH1	GSM131753.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	48	hour	developing leaf insertions
GSE5636GSM131759	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-11	GSE5636GSM131759 sample	GSE5636GSM131759 extract	total_RNA	GSE5636GSM131759 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A44_1-48hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A44_1-48hr_Rep2_ATH1	GSM131759.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	48	hour	developing leaf insertions
GSE5636GSM131765	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-17	GSE5636GSM131765 sample	GSE5636GSM131765 extract	total_RNA	GSE5636GSM131765 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A70_1-48hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A70_1-48hr_Rep3_ATH1	GSM131765.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	48	hour	developing leaf insertions
GSE5636GSM131760	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-12	GSE5636GSM131760 sample	GSE5636GSM131760 extract	total_RNA	GSE5636GSM131760 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A48_1-96hr_Rep2_ATH1	A-AFFY-2	P-AFFY-6	Quick_A48_1-96hr_Rep2_ATH1	GSM131760.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	96	hour	developing leaf insertions
GSE5636GSM131754	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-6	GSE5636GSM131754 sample	GSE5636GSM131754 extract	total_RNA	GSE5636GSM131754 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A22_1-96hr_Rep1_ATH1	A-AFFY-2	P-AFFY-6	Quick_A22_1-96hr_Rep1_ATH1	GSM131754.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	96	hour	developing leaf insertions
GSE5636GSM131766	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	1.19-1.21	developing leaf insertions	Col-0:  location: Growth Room Atmosphere: Normal Humidity: 50 % Temperature: 20°C Lighting: 10 h Medium: Humax compost Water: every 2-3 days. Stock Code: N1092; Developmental stage: 1.19-1.21; Tissue: developing leaf insertions 19-21	P-G5636-18	GSE5636GSM131766 sample	GSE5636GSM131766 extract	total_RNA	GSE5636GSM131766 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Quick_A74_1-96hr_Rep3_ATH1	A-AFFY-2	P-AFFY-6	Quick_A74_1-96hr_Rep3_ATH1	GSM131766.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.raw.1.zip	E-GEOD-5636-processed-data-1628508707.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5636/E-GEOD-5636.processed.1.zip	96	hour	developing leaf insertions
