Source Name	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Characteristics[days after germination]	Characteristics[genotype]	Characteristics[growth]	Characteristics[GrowthCondition]	Characteristics[minutes after dawn day 4]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [DAYS AFTER GERMINATION]	FactorValue [GENOTYPE]	FactorValue [GROWTH]	FactorValue [LIGHT]	FactorValue [MINUTES AFTER DAWN DAY 4]
GSM540942 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.27.07 17 ATH1.CEL	Sample name: B17	"CCA1OX seedlings, light, 1560 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	CCA1OX	not growing	light	1560	P-GSE21684-2	  	P-GSE21684-3	  	GSM540942 extract 1	total RNA	P-GSE21684-4	  	GSM540942 LE 1	biotin	P-GSE21684-5	  	GSM540942	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540942.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540942_sample_table.txt norm	GSM540942_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	CCA1OX	not growing	light	1560
GSM540941 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.27.07 16 ATH1.CEL	Sample name: B16	"CCA1OX seedlings, dark, 1240 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	CCA1OX	growing	dark	1240	P-GSE21684-2	  	P-GSE21684-3	  	GSM540941 extract 1	total RNA	P-GSE21684-4	  	GSM540941 LE 1	biotin	P-GSE21684-5	  	GSM540941	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540941.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540941_sample_table.txt norm	GSM540941_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	CCA1OX	growing	dark	1240
GSM540940 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.27.07 15 ATH1.CEL	Sample name: B15	"CCA1OX seedlings, light, 1080 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	CCA1OX	not growing	light	1080	P-GSE21684-2	  	P-GSE21684-3	  	GSM540940 extract 1	total RNA	P-GSE21684-4	  	GSM540940 LE 1	biotin	P-GSE21684-5	  	GSM540940	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540940.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540940_sample_table.txt norm	GSM540940_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	CCA1OX	not growing	light	1080
GSM540939 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.24.07 14 ATH1.CEL	Sample name: B14	"CCA1OX seedlings, dark, 280 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	CCA1OX	growing	dark	280	P-GSE21684-2	  	P-GSE21684-3	  	GSM540939 extract 1	total RNA	P-GSE21684-4	  	GSM540939 LE 1	biotin	P-GSE21684-5	  	GSM540939	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540939.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540939_sample_table.txt norm	GSM540939_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	CCA1OX	growing	dark	280
GSM540938 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.24.07 13 ATH1.CEL	Sample name: B13	"CCA1OX seedlings, light, 120 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	CCA1OX	not growing	light	120	P-GSE21684-2	  	P-GSE21684-3	  	GSM540938 extract 1	total RNA	P-GSE21684-4	  	GSM540938 LE 1	biotin	P-GSE21684-5	  	GSM540938	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540938.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540938_sample_table.txt norm	GSM540938_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	CCA1OX	not growing	light	120
GSM540937 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 11 ATH1.CEL	Sample name: B11	"Col seedlings, light, 3960 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	Col	not growing	light	3960	P-GSE21684-2	  	P-GSE21684-3	  	GSM540937 extract 1	total RNA	P-GSE21684-4	  	GSM540937 LE 1	biotin	P-GSE21684-5	  	GSM540937	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540937.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540937_sample_table.txt norm	GSM540937_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	Col	not growing	light	3960
GSM540936 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 10 ATH1.CEL	Sample name: B10	"Col seedlings, dark, 3160 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	Col	growing	dark	3160	P-GSE21684-2	  	P-GSE21684-3	  	GSM540936 extract 1	total RNA	P-GSE21684-4	  	GSM540936 LE 1	biotin	P-GSE21684-5	  	GSM540936	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540936.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540936_sample_table.txt norm	GSM540936_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	Col	growing	dark	3160
GSM540935 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 05.02.07 08 ATH1.CEL	Sample name: B8	"Col seedlings, dark, 2680 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	Col	not growing	dark	2680	P-GSE21684-2	  	P-GSE21684-3	  	GSM540935 extract 1	total RNA	P-GSE21684-4	  	GSM540935 LE 1	biotin	P-GSE21684-5	  	GSM540935	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540935.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540935_sample_table.txt norm	GSM540935_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	Col	not growing	dark	2680
GSM540934 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.27.07 06 ATH1.CEL	Sample name: B6	"Col seedlings, dark, 1720 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	Col	growing	dark	1720	P-GSE21684-2	  	P-GSE21684-3	  	GSM540934 extract 1	total RNA	P-GSE21684-4	  	GSM540934 LE 1	biotin	P-GSE21684-5	  	GSM540934	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540934.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540934_sample_table.txt norm	GSM540934_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	Col	growing	dark	1720
GSM540933 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.27.07 05 ATH1.CEL	Sample name: B5	"Col seedlings, light, 1560 minutes after dawn day 4"	  	  	Arabidopsis thaliana	5	Col	not growing	light	1560	P-GSE21684-2	  	P-GSE21684-3	  	GSM540933 extract 1	total RNA	P-GSE21684-4	  	GSM540933 LE 1	biotin	P-GSE21684-5	  	GSM540933	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540933.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540933_sample_table.txt norm	GSM540933_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	5	Col	not growing	light	1560
GSM540932 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.27.07 04 ATH1.CEL	Sample name: B4	"Col seedlings, dark, 1240 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	Col	not growing	dark	1240	P-GSE21684-2	  	P-GSE21684-3	  	GSM540932 extract 1	total RNA	P-GSE21684-4	  	GSM540932 LE 1	biotin	P-GSE21684-5	  	GSM540932	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540932.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540932_sample_table.txt norm	GSM540932_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	Col	not growing	dark	1240
GSM540931 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.27.07 03 ATH1.CEL	Sample name: B3	"Col seedlings, light, 1080 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	Col	not growing	light	1080	P-GSE21684-2	  	P-GSE21684-3	  	GSM540931 extract 1	total RNA	P-GSE21684-4	  	GSM540931 LE 1	biotin	P-GSE21684-5	  	GSM540931	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540931.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540931_sample_table.txt norm	GSM540931_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	Col	not growing	light	1080
GSM540930 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.24.07 02 ATH1.CEL	Sample name: B2	"Col seedlings, dark, 280 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	Col	growing	dark	280	P-GSE21684-2	  	P-GSE21684-3	  	GSM540930 extract 1	total RNA	P-GSE21684-4	  	GSM540930 LE 1	biotin	P-GSE21684-5	  	GSM540930	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540930.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540930_sample_table.txt norm	GSM540930_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	Col	growing	dark	280
GSM540929 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 04.24.07 01 ATH1.CEL	Sample name: B1	"Col seedlings, light, 120 minutes after dawn day 4"	  	  	Arabidopsis thaliana	4	Col	not growing	light	120	P-GSE21684-2	  	P-GSE21684-3	  	GSM540929 extract 1	total RNA	P-GSE21684-4	  	GSM540929 LE 1	biotin	P-GSE21684-5	  	GSM540929	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540929.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540929_sample_table.txt norm	GSM540929_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	4	Col	not growing	light	120
GSM540928 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159326	K Nozue 07.12.05 24 ATH1.CEL	  	Sample name: A24	"CCA1OX seedlings, dark, 4120 minutes after dawn day 4"	Arabidopsis thaliana	6	CCA1OX	growing	dark	4120	P-GSE21684-2	  	P-GSE21684-3	  	GSM540928 extract 1	total RNA	P-GSE21684-4	  	GSM540928 LE 1	biotin	P-GSE21684-5	  	GSM540928	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540928.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540928_sample_table.txt norm	GSM540928_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	CCA1OX	growing	dark	4120
GSM540927 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 07.12.05 23 ATH1.CEL	Sample name: A23	"CCA1OX seedlings, light, 3960 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	CCA1OX	not growing	light	3960	P-GSE21684-2	  	P-GSE21684-3	  	GSM540927 extract 1	total RNA	P-GSE21684-4	  	GSM540927 LE 1	biotin	P-GSE21684-5	  	GSM540927	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540927.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540927_sample_table.txt norm	GSM540927_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	CCA1OX	not growing	light	3960
GSM540926 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	Re-analysis of GSM159321	K Nozue 07.12.05 22 ATH1.CEL	  	Sample name: A22	"CCA1OX seedlings, dark, 3160 minutes after dawn day 4"	Arabidopsis thaliana	6	CCA1OX	growing	dark	3160	P-GSE21684-2	  	P-GSE21684-3	  	GSM540926 extract 1	total RNA	P-GSE21684-4	  	GSM540926 LE 1	biotin	P-GSE21684-5	  	GSM540926	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540926.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540926_sample_table.txt norm	GSM540926_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	CCA1OX	growing	dark	3160
GSM540925 1	Gene expression data from Arabidopsis seedlings grown under alternating light / dark samples.	K Nozue 07.12.05 21 ATH1.CEL	Sample name: A21	"CCA1OX seedlings, light, 3000 minutes after dawn day 4"	  	  	Arabidopsis thaliana	6	CCA1OX	not growing	light	3000	P-GSE21684-2	  	P-GSE21684-3	  	GSM540925 extract 1	total RNA	P-GSE21684-4	  	GSM540925 LE 1	biotin	P-GSE21684-5	  	GSM540925	A-AFFY-2	  	P-GSE21684-6	  	P-GSE21684-7	  	GSM540925.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.raw.1.zip	P-GSE21684-1	  	GSM540925_sample_table.txt norm	GSM540925_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-21684/E-GEOD-21684.processed.1.zip	6	CCA1OX	not growing	light	3000
