Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Characteristics[ecotype]	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[compound]
GSE10646GSM269491	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk2 (Garlic_511-HO1), 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole mkk2 knockout (Garlic_511-HO1; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk2 knockout	P-G10646-5	P-G10646-1	GSE10646GSM269491 sample	P-G10646-4	GSE10646GSM269491 extract	total_RNA	P-G10646-3	GSE10646GSM269491 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk2, 24h after BTH, rep-A"	A-AFFY-2	P-AFFY-6	"mkk2, 24h after BTH, rep-A"	GSM269491.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk2 knockout	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269475	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wild type (Col-0), 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole wild type plants (Col-0), harvested 5 weeks old"	5	week	whole organism	Col-0	wild_type	P-G10646-2	P-G10646-1	GSE10646GSM269475 sample	P-G10646-4	GSE10646GSM269475 extract	total_RNA	P-G10646-3	GSE10646GSM269475 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Col-0, 24h after BTH, rep-A"	A-AFFY-2	P-AFFY-6	"Col-0, 24h after BTH, rep-A"	GSM269475.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	wild_type	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269483	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1 (SALK_027645), no-treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole mkk1 knockout (SALK_027645; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269483 sample	P-G10646-4	GSE10646GSM269483 extract	total_RNA	P-G10646-3	GSE10646GSM269483 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1, no-treatment, rep-B"	A-AFFY-2	P-AFFY-6	"mkk1, no-treatment, rep-B"	GSM269483.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1 knockout	none
GSE10646GSM269490	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk2 (Garlic_511-HO1), no-treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole mkk2 knockout (Garlic_511-HO1; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk2 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269490 sample	P-G10646-4	GSE10646GSM269490 extract	total_RNA	P-G10646-3	GSE10646GSM269490 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk2, no-treatment, rep-C"	A-AFFY-2	P-AFFY-6	"mkk2, no-treatment, rep-C"	GSM269490.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk2 knockout	none
GSE10646GSM269492	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk2 (Garlic_511-HO1), 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole mkk2 knockout (Garlic_511-HO1; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk2 knockout	P-G10646-5	P-G10646-1	GSE10646GSM269492 sample	P-G10646-4	GSE10646GSM269492 extract	total_RNA	P-G10646-3	GSE10646GSM269492 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk2, 24h after BTH, rep-B"	A-AFFY-2	P-AFFY-6	"mkk2, 24h after BTH, rep-B"	GSM269492.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk2 knockout	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269477	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wild type (Col-0), 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole wild type plants (Col-0), harvested 5 weeks old"	5	week	whole organism	Col-0	wild_type	P-G10646-2	P-G10646-1	GSE10646GSM269477 sample	P-G10646-4	GSE10646GSM269477 extract	total_RNA	P-G10646-3	GSE10646GSM269477 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Col-0, 24h after BTH, rep-B"	A-AFFY-2	P-AFFY-6	"Col-0, 24h after BTH, rep-B"	GSM269477.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	wild_type	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269497	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1/mkk2, 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole mkk1/mkk2 double knockout (Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1;mkk2 knockout	P-G10646-5	P-G10646-1	GSE10646GSM269497 sample	P-G10646-4	GSE10646GSM269497 extract	total_RNA	P-G10646-3	GSE10646GSM269497 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1/mkk2, 24h after BTH, rep-A"	A-AFFY-2	P-AFFY-6	"mkk1/mkk2, 24h after BTH, rep-A"	GSM269497.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1;mkk2 knockout	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269488	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk2 (Garlic_511-HO1), no-treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole mkk2 knockout (Garlic_511-HO1; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk2 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269488 sample	P-G10646-4	GSE10646GSM269488 extract	total_RNA	P-G10646-3	GSE10646GSM269488 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk2, no-treatment, rep-A"	A-AFFY-2	P-AFFY-6	"mkk2, no-treatment, rep-A"	GSM269488.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk2 knockout	none
GSE10646GSM269485	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1 (SALK_027645), 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole mkk1 knockout (SALK_027645; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269485 sample	P-G10646-4	GSE10646GSM269485 extract	total_RNA	P-G10646-3	GSE10646GSM269485 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1, 24h after BTH, rep-A"	A-AFFY-2	P-AFFY-6	"mkk1, 24h after BTH, rep-A"	GSM269485.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1 knockout	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269494	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1/mkk2,  no-treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole mkk1/mkk2 double knockout (Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1;mkk2 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269494 sample	P-G10646-4	GSE10646GSM269494 extract	total_RNA	P-G10646-3	GSE10646GSM269494 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1/mkk2, no-treatment, rep-A"	A-AFFY-2	P-AFFY-6	"mkk1/mkk2, no-treatment, rep-A"	GSM269494.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1;mkk2 knockout	none
GSE10646GSM268010	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"wild type (Col-0), before BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole wild type plants (Col-0), harvested 5 weeks old"	5	week	whole organism	Col-0	wild_type	P-G10646-2	P-G10646-1	GSE10646GSM268010 sample	P-G10646-4	GSE10646GSM268010 extract	total_RNA	P-G10646-3	GSE10646GSM268010 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"Col-0, Time 0, rep-C"	A-AFFY-2	P-AFFY-6	"Col-0, Time 0, rep-C"	GSM268010.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	wild_type	none
GSE10646GSM269496	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1/mkk2,  no-treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole mkk1/mkk2 double knockout (Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1;mkk2 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269496 sample	P-G10646-4	GSE10646GSM269496 extract	total_RNA	P-G10646-3	GSE10646GSM269496 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1/mkk2, no-treatment, rep-C"	A-AFFY-2	P-AFFY-6	"mkk1/mkk2, no-treatment, rep-C"	GSM269496.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1;mkk2 knockout	none
GSE10646GSM269498	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk1/mkk2, 24h after BTH treatment:  Whole wild type plants (Col-0), no BTH treatment.. BTH treated whole mkk1/mkk2 double knockout (Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk1;mkk2 knockout	P-G10646-5	P-G10646-1	GSE10646GSM269498 sample	P-G10646-4	GSE10646GSM269498 extract	total_RNA	P-G10646-3	GSE10646GSM269498 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk1/mkk2, 24h after BTH, rep-B"	A-AFFY-2	P-AFFY-6	"mkk1/mkk2, 24h after BTH, rep-B"	GSM269498.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk1;mkk2 knockout	"benzo(1,2,3)thiadiazole-7-carbothioic acid S-methyl ester"
GSE10646GSM269489	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	"mkk2 (Garlic_511-HO1), no-treatment:  Whole wild type plants (Col-0), no BTH treatment.. Whole mkk2 knockout (Garlic_511-HO1; Col-0 background) plants , harvested 5 weeks old"	5	week	whole organism	Col-0	mkk2 knockout	P-G10646-2	P-G10646-1	GSE10646GSM269489 sample	P-G10646-4	GSE10646GSM269489 extract	total_RNA	P-G10646-3	GSE10646GSM269489 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	"mkk2, no-treatment, rep-B"	A-AFFY-2	P-AFFY-6	"mkk2, no-treatment, rep-B"	GSM269489.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.raw.1.zip	E-GEOD-10646-processed-data-1626148550.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10646/E-GEOD-10646.processed.1.zip	mkk2 knockout	none
