Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_title]	Characteristics [ecotype/background]	Term Source REF	Term Accession Number	Characteristics [organism]	Term Source REF	Term Accession Number	Characteristics [organism part]	Term Source REF	Term Accession Number	Characteristics [time after induction]	Characteristics [vector]	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Protocol REF	Term Source REF	Extract Name	Material Type	Protocol REF	Term Source REF	Labeled Extract Name	Label	Protocol REF	Term Source REF	Assay Name	Array Design REF	Term Source REF	Technology Type	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Term Source REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue [time after induction]	FactorValue [treatment]	Term Source REF	Term Accession Number	FactorValue [vector]
GSM2044933 1	t12.2	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 12h	VND7 plants with DEX treatment at T12, biological rep2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	12h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044933 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044933 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044933	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044933_t12.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044933_sample_table.txt norm	GSM2044933_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	12h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044932 1	t12.1	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 12h	VND7 plants with DEX treatment at T12, biological rep1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	12h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044932 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044932 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044932	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044932_t12.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044932_sample_table.txt norm	GSM2044932_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	12h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044931 1	t9.3	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 9h	VND7 plants with DEX treatment at T9, biological rep3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	9h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044931 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044931 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044931	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044931_t9.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044931_sample_table.txt norm	GSM2044931_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	9h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044930 1	t9.2	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 9h	VND7 plants with DEX treatment at T9, biological rep2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	9h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044930 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044930 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044930	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044930_t9.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044930_sample_table.txt norm	GSM2044930_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	9h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044929 1	t9.1	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 9h	VND7 plants with DEX treatment at T9, biological rep1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	9h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044929 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044929 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044929	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044929_t9.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044929_sample_table.txt norm	GSM2044929_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	9h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044928 1	t6.3	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 6h	VND7 plants with DEX treatment at T6, biological rep3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	6h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044928 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044928 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044928	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044928_t6.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044928_sample_table.txt norm	GSM2044928_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	6h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044927 1	t6.2	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 6h	VND7 plants with DEX treatment at T6, biological rep2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	6h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044927 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044927 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044927	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044927_t6.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044927_sample_table.txt norm	GSM2044927_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	6h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044926 1	t6.1	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 6h	VND7 plants with DEX treatment at T6, biological rep1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	6h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044926 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044926 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044926	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044926_t6.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044926_sample_table.txt norm	GSM2044926_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	6h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044925 1	t3.3	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 3h	VND7 plants with DEX treatment at T3, biological rep3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	3h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044925 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044925 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044925	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044925_t3.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044925_sample_table.txt norm	GSM2044925_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	3h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044924 1	t3.2	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 3h	VND7 plants with DEX treatment at T3, biological rep2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	3h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044924 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044924 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044924	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044924_t3.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044924_sample_table.txt norm	GSM2044924_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	3h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044923 1	t3.1	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 3h	VND7 plants with DEX treatment at T3, biological rep1	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	3h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044923 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044923 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044923	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044923_t3.1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044923_sample_table.txt norm	GSM2044923_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	3h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044922 1	t1.3	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 1h	VND7 plants with DEX treatment at T1, biological rep3	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	1h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044922 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044922 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044922	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044922_t1.3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044922_sample_table.txt norm	GSM2044922_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	1h	dexamethasone (DEX)	  	  	VND7-VP16-GR
GSM2044921 1	t1.2	Arabidopsis thaliana plants harboring VND7 inducible vectors, DEX, 1h	VND7 plants with DEX treatment at T1, biological rep2	Col-0	EFO	EFO_0005148	Arabidopsis thaliana	EFO	http://purl.obolibrary.org/obo/NCBITaxon_3702	hypocotyl	EFO	EFO_0001931	1h	VND7-VP16-GR	P-GSE77153-2	ArrayExpress	P-GSE77153-3	ArrayExpress	P-GSE77153-4	ArrayExpress	GSM2044921 extract 1	total RNA	P-GSE77153-5	ArrayExpress	GSM2044921 LE 1	Biotin	P-GSE77153-6	ArrayExpress	GSM2044921	A-AFFY-2	ArrayExpress	array assay	P-GSE77153-7	ArrayExpress	GSM2044921_t1.2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.raw.1.zip	P-GSE77153-1	ArrayExpress	GSM2044921_sample_table.txt norm	GSM2044921_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-77153/E-GEOD-77153.processed.1.zip	1h	dexamethasone (DEX)	  	  	VND7-VP16-GR
