Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[Genotype]	Characteristics[OrganismPart]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[DevelopmentalStage]	Characteristics[Ecotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]	FactorValue[GENOTYPE]
GSE14578GSM362168	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA, Root total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362168 sample	P-G14578-8	GSE14578GSM362168 extract	total_RNA	P-G14578-7	GSE14578GSM362168 LE biotin	biotin	synthetic_RNA	root_control_total_rep1	A-AFFY-2	P-AFFY-6	GSM362168.CEL	GSM362168.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	p35S:HisFLAG-RPL18B
GSE14578GSM362175	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA, Root polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362175 sample	P-G14578-8	GSE14578GSM362175 extract	total_RNA	P-G14578-7	GSE14578GSM362175 LE biotin	biotin	synthetic_RNA	root_control_p35S_rep1	A-AFFY-2	P-AFFY-6	GSM362175.CEL	GSM362175.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	p35S:HisFLAG-RPL18B
GSE14578GSM362177	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA, Root polysomal RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362177 sample	P-G14578-8	GSE14578GSM362177 extract	total_RNA	P-G14578-7	GSE14578GSM362177 LE biotin	biotin	synthetic_RNA	root_control_p35S_rep3	A-AFFY-2	P-AFFY-6	GSM362177.CEL	GSM362177.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	p35S:HisFLAG-RPL18B
GSE14578GSM362170	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA, Root total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362170 sample	P-G14578-8	GSE14578GSM362170 extract	total_RNA	P-G14578-7	GSE14578GSM362170 LE biotin	biotin	synthetic_RNA	root_control_total_rep3	A-AFFY-2	P-AFFY-6	GSM362170.CEL	GSM362170.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	p35S:HisFLAG-RPL18B
GSE14578GSM362171	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA, Root total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	7 day old Arabidopsis Seedling roots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: control	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362171 sample	P-G14578-8	GSE14578GSM362171 extract	total_RNA	P-G14578-7	GSE14578GSM362171 LE biotin	biotin	synthetic_RNA	root_control_total_rep4	A-AFFY-2	P-AFFY-6	GSM362171.CEL	GSM362171.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	root	p35S:HisFLAG-RPL18B
GSE14578GSM362178	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, p35S-enriched polysomal mRNA, Root polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362178 sample	P-G14578-8	GSE14578GSM362178 extract	total_RNA	P-G14578-7	GSE14578GSM362178 LE biotin	biotin	synthetic_RNA	root_hypoxia_p35S_rep1	A-AFFY-2	P-AFFY-6	GSM362178.CEL	GSM362178.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root	p35S:HisFLAG-RPL18B
GSE14578GSM362172	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA, Root total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362172 sample	P-G14578-8	GSE14578GSM362172 extract	total_RNA	P-G14578-7	GSE14578GSM362172 LE biotin	biotin	synthetic_RNA	root_hypoxia_total_rep1	A-AFFY-2	P-AFFY-6	GSM362172.CEL	GSM362172.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root	p35S:HisFLAG-RPL18B
GSE14578GSM362179	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, p35S-enriched polysomal mRNA, Root polysomal RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, p35S-enriched polysomal mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362179 sample	P-G14578-8	GSE14578GSM362179 extract	total_RNA	P-G14578-7	GSE14578GSM362179 LE biotin	biotin	synthetic_RNA	root_hypoxia_p35S_rep3	A-AFFY-2	P-AFFY-6	GSM362179.CEL	GSM362179.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root	p35S:HisFLAG-RPL18B
GSE14578GSM362173	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA, Root total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362173 sample	P-G14578-8	GSE14578GSM362173 extract	total_RNA	P-G14578-7	GSE14578GSM362173 LE biotin	biotin	synthetic_RNA	root_hypoxia_total_rep3	A-AFFY-2	P-AFFY-6	GSM362173.CEL	GSM362173.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root	p35S:HisFLAG-RPL18B
GSE14578GSM362174	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA, Root total RNA under hypoxic conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	7 day old Arabidopsis Seedling roots, 2hr hypoxia, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: root; Treatment: hypoxia	p35S:HisFLAG-RPL18B	root	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362174 sample	P-G14578-8	GSE14578GSM362174 extract	total_RNA	P-G14578-7	GSE14578GSM362174 LE biotin	biotin	synthetic_RNA	root_hypoxia_total_rep4	A-AFFY-2	P-AFFY-6	GSM362174.CEL	GSM362174.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	hypoxia	root	p35S:HisFLAG-RPL18B
GSE14578GSM362216	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	7 day old Arabidopsis Seedling shoots, 2hr Control, total mRNA, Shoot total RNA under control conditions. Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	7 day old Arabidopsis Seedling shoots, 2hr Control, total mRNA	Age: 7 day old seedlings; Genotype: p35S:His6FLAG-RPL18B (Col-0); Tissue: shoot; Treatment: control	p35S:HisFLAG-RPL18B	shoot	7	days	seedling	Col-0	P-G14578-6	P-G14578-1	GSE14578GSM362216 sample	P-G14578-8	GSE14578GSM362216 extract	total_RNA	P-G14578-7	GSE14578GSM362216 LE biotin	biotin	synthetic_RNA	shoot_control_total_rep2	A-AFFY-2	P-AFFY-6	GSM362216.CEL	GSM362216.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.raw.1.zip	P-G14578-4	E-GEOD-14578-processed-data-1824885448.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-14578/E-GEOD-14578.processed.1.zip	control	shoot	p35S:HisFLAG-RPL18B
