Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Description	Characteristics[Ecotype]	Characteristics[OrganismPart]	Characteristics[DevelopmentalStage]	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]	FactorValue[DEVELOPMENTAL STAGE]
GSE5634GSM131706	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 10, w/o siliques	Col-0	seed	10	GSE5634GSM131706 sample	GSE5634GSM131706 extract	total_RNA	GSE5634GSM131706 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_84_A	A-AFFY-2	P-AFFY-6	ATGE_84_A	GSM131706.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	10
GSE5634GSM131698	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 7, w/o siliques	Col-0	seed	7	GSE5634GSM131698 sample	GSE5634GSM131698 extract	total_RNA	GSE5634GSM131698 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_81_B	A-AFFY-2	P-AFFY-6	ATGE_81_B	GSM131698.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	7
GSE5634GSM131688	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: siliques, w/  seeds stage 4	Col-0	silique	4	GSE5634GSM131688 sample	GSE5634GSM131688 extract	total_RNA	GSE5634GSM131688 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_77_D	A-AFFY-2	P-AFFY-6	ATGE_77_D	GSM131688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	silique	4
GSE5634GSM131694	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 6, w/o siliques	Col-0	seed	6	GSE5634GSM131694 sample	GSE5634GSM131694 extract	total_RNA	GSE5634GSM131694 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_79_A	A-AFFY-2	P-AFFY-6	ATGE_79_A	GSM131694.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	6
GSE5634GSM131708	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 10, w/o siliques	Col-0	seed	10	GSE5634GSM131708 sample	GSE5634GSM131708 extract	total_RNA	GSE5634GSM131708 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_84_D	A-AFFY-2	P-AFFY-6	ATGE_84_D	GSM131708.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	10
GSE5634GSM131691	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: siliques, w/  seeds stage 5	Col-0	silique	5	GSE5634GSM131691 sample	GSE5634GSM131691 extract	total_RNA	GSE5634GSM131691 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_78_D	A-AFFY-2	P-AFFY-6	ATGE_78_D	GSM131691.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	silique	5
GSE5634GSM131699	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 7, w/o siliques	Col-0	seed	7	GSE5634GSM131699 sample	GSE5634GSM131699 extract	total_RNA	GSE5634GSM131699 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_81_C	A-AFFY-2	P-AFFY-6	ATGE_81_C	GSM131699.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	7
GSE5634GSM131703	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 9, w/o siliques	Col-0	seed	9	GSE5634GSM131703 sample	GSE5634GSM131703 extract	total_RNA	GSE5634GSM131703 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_83_A	A-AFFY-2	P-AFFY-6	ATGE_83_A	GSM131703.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	9
GSE5634GSM131705	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 9, w/o siliques	Col-0	seed	9	GSE5634GSM131705 sample	GSE5634GSM131705 extract	total_RNA	GSE5634GSM131705 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_83_C	A-AFFY-2	P-AFFY-6	ATGE_83_C	GSM131705.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	9
GSE5634GSM131702	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 8, w/o siliques	Col-0	seed	8	GSE5634GSM131702 sample	GSE5634GSM131702 extract	total_RNA	GSE5634GSM131702 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_82_C	A-AFFY-2	P-AFFY-6	ATGE_82_C	GSM131702.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	8
GSE5634GSM131692	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: siliques, w/  seeds stage 5	Col-0	silique	5	GSE5634GSM131692 sample	GSE5634GSM131692 extract	total_RNA	GSE5634GSM131692 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_78_E	A-AFFY-2	P-AFFY-6	ATGE_78_E	GSM131692.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	silique	5
GSE5634GSM131686	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  Photoperiod: long day Relative humidity: 50-60% Substrate: soil Temperature: 23oC. Tissue: siliques, w/  seeds stage 3	Col-0	silique	3	GSE5634GSM131686 sample	GSE5634GSM131686 extract	total_RNA	GSE5634GSM131686 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_76_B	A-AFFY-2	P-AFFY-6	ATGE_76_B	GSM131686.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	long day	silique	3
GSE5634GSM131689	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: siliques, w/  seeds stage 4	Col-0	silique	4	GSE5634GSM131689 sample	GSE5634GSM131689 extract	total_RNA	GSE5634GSM131689 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_77_E	A-AFFY-2	P-AFFY-6	ATGE_77_E	GSM131689.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	silique	4
GSE5634GSM131704	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0:  na. Tissue: seeds, stage 9, w/o siliques	Col-0	seed	9	GSE5634GSM131704 sample	GSE5634GSM131704 extract	total_RNA	GSE5634GSM131704 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_83_B	A-AFFY-2	P-AFFY-6	ATGE_83_B	GSM131704.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.raw.1.zip	E-GEOD-5634-processed-data-1628502609.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5634/E-GEOD-5634.processed.1.zip	control	seed	9
