Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GROWTH CONDITION]	FactorValue[GENOTYPE]	FactorValue[ORGANISM PART]
GSE5630GSM131508	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #2	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 2	GSE5630GSM131508 sample	GSE5630GSM131508 extract	total_RNA	GSE5630GSM131508 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_12_B	A-AFFY-2	P-AFFY-6	ATGE_12_B	GSM131508.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #2
GSE5630GSM131509	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #2	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 2	GSE5630GSM131509 sample	GSE5630GSM131509 extract	total_RNA	GSE5630GSM131509 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_12_C	A-AFFY-2	P-AFFY-6	ATGE_12_C	GSM131509.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #2
GSE5630GSM131510	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #4	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 4	GSE5630GSM131510 sample	GSE5630GSM131510 extract	total_RNA	GSE5630GSM131510 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_13_A	A-AFFY-2	P-AFFY-6	ATGE_13_A	GSM131510.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #4
GSE5630GSM131511	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #4	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 4	GSE5630GSM131511 sample	GSE5630GSM131511 extract	total_RNA	GSE5630GSM131511 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_13_B	A-AFFY-2	P-AFFY-6	ATGE_13_B	GSM131511.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #4
GSE5630GSM131512	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #4	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 4	GSE5630GSM131512 sample	GSE5630GSM131512 extract	total_RNA	GSE5630GSM131512 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_13_C	A-AFFY-2	P-AFFY-6	ATGE_13_C	GSM131512.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #4
GSE5630GSM131513	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #4	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 4	GSE5630GSM131513 sample	GSE5630GSM131513 extract	total_RNA	GSE5630GSM131513 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_14_A	A-AFFY-2	P-AFFY-6	ATGE_14_A	GSM131513.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #4
GSE5630GSM131514	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #6	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 6	GSE5630GSM131514 sample	GSE5630GSM131514 extract	total_RNA	GSE5630GSM131514 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_14_B	A-AFFY-2	P-AFFY-6	ATGE_14_B	GSM131514.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #6
GSE5630GSM131515	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #6	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 6	GSE5630GSM131515 sample	GSE5630GSM131515 extract	total_RNA	GSE5630GSM131515 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_14_C	A-AFFY-2	P-AFFY-6	ATGE_14_C	GSM131515.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #6
GSE5630GSM131516	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #8	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 8	GSE5630GSM131516 sample	GSE5630GSM131516 extract	total_RNA	GSE5630GSM131516 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_15_A	A-AFFY-2	P-AFFY-6	ATGE_15_A	GSM131516.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #8
GSE5630GSM131517	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #8	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 8	GSE5630GSM131517 sample	GSE5630GSM131517 extract	total_RNA	GSE5630GSM131517 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_15_B	A-AFFY-2	P-AFFY-6	ATGE_15_B	GSM131517.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #8
GSE5630GSM131518	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #8	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 8	GSE5630GSM131518 sample	GSE5630GSM131518 extract	total_RNA	GSE5630GSM131518 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_15_C	A-AFFY-2	P-AFFY-6	ATGE_15_C	GSM131518.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #8
GSE5630GSM131519	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #10	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 10	GSE5630GSM131519 sample	GSE5630GSM131519 extract	total_RNA	GSE5630GSM131519 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_16_A	A-AFFY-2	P-AFFY-6	ATGE_16_A	GSM131519.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #10
GSE5630GSM131520	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #10	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 10	GSE5630GSM131520 sample	GSE5630GSM131520 extract	total_RNA	GSE5630GSM131520 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_16_B	A-AFFY-2	P-AFFY-6	ATGE_16_B	GSM131520.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #10
GSE5630GSM131521	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #10	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: leaf #12 was approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 10	GSE5630GSM131521 sample	GSE5630GSM131521 extract	total_RNA	GSE5630GSM131521 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_16_C	A-AFFY-2	P-AFFY-6	ATGE_16_C	GSM131521.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #10
GSE5630GSM131522	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #12	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 12	GSE5630GSM131522 sample	GSE5630GSM131522 extract	total_RNA	GSE5630GSM131522 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_17_A	A-AFFY-2	P-AFFY-6	ATGE_17_A	GSM131522.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #12
GSE5630GSM131523	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #12	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 12	GSE5630GSM131523 sample	GSE5630GSM131523 extract	total_RNA	GSE5630GSM131523 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_17_B	A-AFFY-2	P-AFFY-6	ATGE_17_B	GSM131523.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #12
GSE5630GSM131524	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	rosette leaf #12	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: approx. 1 cm long flowering time (n=20): rosette: 11.1 +/- 0.8 cauline: 2.8 +/- 0.6 total: 13.9 +/- 1.1. Tissue: rosette leaf # 12	GSE5630GSM131524 sample	GSE5630GSM131524 extract	total_RNA	GSE5630GSM131524 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_17_C	A-AFFY-2	P-AFFY-6	ATGE_17_C	GSM131524.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.raw.1.zip	E-GEOD-5630-processed-data-1628522761.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5630/E-GEOD-5630.processed.1.zip	continuous light	wild_type	rosette leaf #12
