Comment[ArrayExpressAccession]	E-GEOD-49411
MAGE-TAB Version	1.1						
Public Release Date	2014-01-13
Investigation Title	Selective mRNA sequestration by OLIGOURIDYLATE BINDING PROTEIN 1 contributes to translational control during hypoxia in Arabidopsis						
Comment[Submitted Name]	Selective mRNA sequestration by OLIGOURIDYLATE BINDING PROTEIN 1 contributes to translational control during hypoxia in Arabidopsis
Experiment Description	Low oxygen stress dynamically regulates the translation of cellular mRNAs as a means of energy conservation in seedlings of Arabidopsis thaliana. Most of the highly hypoxia-induced mRNAs are recruited to polysomes and actively translated, whereas other cellular mRNAs become translationally inactive and are either targeted for stabilization or degradation. Here we identify the involvement of OLIGOURIDYLATE BINDING PROTEIN 1 (UBP1), a triple RNA Recognition Motif protein, in dynamic and reversible aggregation of translationally repressed mRNAs during hypoxia. Mutation or downregulation of UBP1C interferes with seedling establishment and reduces survival of low oxygen stress. By use of messenger ribonucleoprotein immunopurification, we show that UBP1C constitutively binds a subpopulation of mRNAs characterized by U-rich 3‚Äô-untranslated regions under normoxic conditions. During hypoxia, UBP1C association with non-U-rich mRNAs is enhanced concomitant with its aggregation into microscopically visible cytoplasmic foci, referred to as UBP1 stress granules (SGs). This UBP1C-mRNA association occurs as global levels of protein synthesis decline. Upon reoxygenation, rapid UBP1 SG disaggregation coincides with the return of the stabilized mRNAs to polysomes. The mRNAs that are highly induced and translated during hypoxia largely circumvent UBP1C sequestration. Thus, UBP1 is established as a component of dynamically assembled cytoplasmic mRNPs that sequester mRNAs that are poorly translated during a transient low energy stress.  Immunoprecipated RNA associated with Arabidopsis UBP1C (IP) was compared with total cellular RNA from light (L), mock dark (D), 2 h hypoxia, and 2 h hypoxia + 20 min reoxygenation treated samples with duplicate hybridizations to the Affymetrix ATH1 Genechip array.						
Term Source Name	ArrayExpress	EFO
Protocol Description	Microarray features of the above data sets were background corrected, normalized, and probe set intensities were summarized using the affy (22) and limma (linear models for microarray data) (23) packages. Present, marginal, absent (PMA) calls were made using the Wilcoxon signed rank-based gene expression presence/absence detection algorithm as implemented by MAS5. The ‚Äúexpresso‚Äù function calculated expression values using rma background adjustment, constant normalization for microarray scaling, and median polish method for probe set summarization of perfect match only features, specified as PMonly. Bioconductor affy and limma package expresso funcion, rma background adjustment, constant normalization, median polish method for probe set summarization of  perfect macth only features specified as PMonly ID_REF =  VALUE = log2 RMA signal	For microarray analysis, 150 ng total and 15 ng UBP1C IP RNA were used to synthesize biotinylated, amplified RNA (aRNA) via 15 rounds of in vitro transcription using the 3' IVT Express Kit (Affymetrix, Santa Clara, CA). aRNA was fragmented and probed using the Arabidopsis ATH1 Genome Array (Lot 4160460; Affymetrix). Hybridizations were performed with 15 µg fragmented aRNA at 45oC for 16 h on a rotating platform.	Standard affy Workstation protocols	Control light plants were maintained in light. Control dark plants were transferred to near darkness (<0.05 µE m-1 s-1) for 2 h in a humidified 13.5 L Plexiglas chamber open to ambient air (dark control, D). For hypoxia treatment (H), plants were placed under the same low light and deprived of oxygen for 2 h by sealing the chamber and continuously flushing it with humidified 99.99% Ar(g) at a rate of 50 mL s-1 for 2 h at 20oC. For 2 h hypoxia followed by 20 min reoxygenation (R), reoxygenation was facilitated by removing the top of the chamber and fanning with a rigid plastic fan (~25 x 40 cm) immediately and again after 10 min for 1 minute. All seedlings were harvested rapidly into N2(l), ground to a powder and stored at -80oC.	7 day old whole seedlings grown on MS + 1% Suc in long day (16h L: 8h D ) at 22C, in 125 uE m-2 s-1	two aliquots of approximately 100 mg frozen ground powder tissue were thawed in 1.5 mL ice cold RNP extraction buffer modified from Oeffinger et al. (17) for plant extracts (200 mM Tris [pH 9.0], 110 mM potassium acetate, 0.5% (v/v) Triton-X100, 0.1% (v/v) Tween-20, 1.5% (v/v) protease inhibitor cocktail for plant cell and tissues extracts (Sigma P9599, St. Louis, MO), 5 mM dithiothrietol, 0.1% (v/v) RNaseOUT (Invitrogen, Carlsbad, CA)). The sample tube was briefly vortexed and the extract filtered through two layers of sterilized Miracloth (EMD Millipore, Billerica, MA) into a clean 1.5 mL microfuge tube. The filtrate was centrifuged in a swinging bucket clinical centrifuge at approximately 1500g for 2 min at 4oC.The supernatant (S-1.5K) was removed and a sample aliquoted for RNA extraction (100 µL per replicate sample). The remaining S-1.5K was transferred to a 1.5 mL microfuge tube containing antibody-conjugated beads for the IP. Protein G-conjugated paramagnetic beads (Dynabeads, Invitrogen, Carlsbad, CA) were prepared according to the manufacturer‚Äôs directions. Briefly, for each 100 mg of tissue processed, 100 µL of resuspended Dynabeads were magnetically separated from the storage solution and resuspended in 400 µL Œ±-FLAG M2 monoclonal antibody (Sigma F1804) in phosphate buffered saline Tween (PBST; 137 mM sodium chloride, 2.7 mM potassium chloride, 10 mM sodium phosphate dibasic, 2 mM sodium phosphate monobasic [pH 7.4], 0.02% (v/v) Tween-20). The final FLAG M2 monoclonal antibody concentration was 25 ng µL-1 Œ±-FLAG M2, The bead antibody mixture was incubated for 1 h on a rocker at 20-23oC. Following antibody conjugation to the beads, excess antibody was removed by magnetic separation and washing. IP of FLAG-UBP1C-containing complexes was accomplished by rocking the S-1.5K-Dynabead slurry at 4 oC for 1.5 h. Following incubation, the Dynabeads were magnetically separated, 30 µL supernatant was saved as the unbound fraction, and the beads were washed with 0.75 mL RNP extraction buffer for 5 min with rocking at 4oC and magnetically collected. Bead washing steps were repeated five more times. FLAG-UBP1C was eluted in 100 µL RNP extraction buffer plus 400 ng µL-1 3X FlagÆ Peptide (Sigma F4799) at 4oC for 30 min with rocking. Eluates of replicate IPs were combined for a total of 200 µL. 180 µL was used for RNA extraction.	Standard affy Workstation protocols
Protocol Type	normalization data transformation protocol	labelling protocol	hybridization protocol	sample treatment protocol	growth protocol	nucleic acid extraction protocol	array scanning protocol
Experimental Factor Name	SAMPLE TYPE	TREATMENT	ANTIBODY				
Experimental Factor Type	sample type	treatment	antibody				
Comment[SecondaryAccession]	GSE49411						
Comment[GEOReleaseDate]	2014-01-13						
Comment[ArrayExpressSubmissionDate]	2013-07-31						
Comment[GEOLastUpdateDate]	2014-01-15						
Comment[AEExperimentType]	transcription profiling by array						
SDRF File	E-GEOD-49411.sdrf.txt
