Source Name	Characteristics [OrganismPart]	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics [DevelopmentalStage]	Term Source REF	Term Accession Number	Characteristics [BioSourceType]	Characteristics [Genotype]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Factor Value [TIME AFTER LONG DAY SHIFT]	Unit [TimeUnit]	Factor Value [GENOTYPE]	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]
Col_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	Columbia	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	Col_d8_1	total_RNA	P-AFFY-2	Col_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	Col_d8_r1_5	A-AFFY-2	P-AFFY-6	8	d	Columbia	Col_d8_r1_5.CEL	Col_d8_r1_5.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
lfy12_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	lfy12_d8_2	total_RNA	P-AFFY-2	lfy12_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	lfy12_d8_r2_34	A-AFFY-2	P-AFFY-6	8	d	lfy12	lfy12_d8_r2_34.CEL	lfy12_d8_r2_34.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
lfy12_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	lfy12_d8_1	total_RNA	P-AFFY-2	lfy12_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	lfy12_d8_r1_17	A-AFFY-2	P-AFFY-6	8	d	lfy12	lfy12_d8_r1_17.CEL	lfy12_d8_r1_17.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
CrLFY1_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::CrLFY1	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	CrLFY1_d8_2	total_RNA	P-AFFY-2	CrLFY1_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	CrLFY1_d8_r2_29	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::CrLFY1	CrLFY1_d8_r2_29.CEL	CrLFY1_d8_r2_29.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
lfy2_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy2	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	lfy2_d8_1	total_RNA	P-AFFY-2	lfy2_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	lfy2_d8_r1_11	A-AFFY-2	P-AFFY-6	8	d	lfy2	lfy2_d8_r1_11.CEL	lfy2_d8_r1_11.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
CrLFY2_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::CrLFY2	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	CrLFY2_d8_1	total_RNA	P-AFFY-2	CrLFY2_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	CrLFY2_d8_r1_13	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::CrLFY2	CrLFY2_d8_r1_13.CEL	CrLFY2_d8_r1_13.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
CrLFY2_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::CrLFY2	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	CrLFY2_d8_2	total_RNA	P-AFFY-2	CrLFY2_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	CrLFY2_d8_r2_30	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::CrLFY2	CrLFY2_d8_r2_30.CEL	CrLFY2_d8_r2_30.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
ALF_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::ALF	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	ALF_d8_1	total_RNA	P-AFFY-2	ALF_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	ALF_d8_r1_9	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::ALF	ALF_d8_r1_9.CEL	ALF_d8_r1_9.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
LFY_d0_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::AthLFY	P-MTAB-4767	P-MTAB-4770	P-MTAB-4769	LFY_d0_1	total_RNA	P-AFFY-2	LFY_d0_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	LFY_d0_r1_2	A-AFFY-2	P-AFFY-6	0	d	lfy12; LFY::AthLFY	LFY_d0_r1_2.CEL	LFY_d0_r1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
lfy2_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy2	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	lfy2_d8_2	total_RNA	P-AFFY-2	lfy2_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	lfy2_d8_r2_28	A-AFFY-2	P-AFFY-6	8	d	lfy2	lfy2_d8_r2_28.CEL	lfy2_d8_r2_28.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
LFY_d0_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::AthLFY	P-MTAB-4767	P-MTAB-4770	P-MTAB-4769	LFY_d0_2	total_RNA	P-AFFY-2	LFY_d0_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	LFY_d0_r2_19	A-AFFY-2	P-AFFY-6	0	d	lfy12; LFY::AthLFY	LFY_d0_r2_19.CEL	LFY_d0_r2_19.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
lfy9_d8_2	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy9	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	lfy9_d8_2	total_RNA	P-AFFY-2	lfy9_d8_2	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	lfy9_d8_r2_27	A-AFFY-2	P-AFFY-6	8	d	lfy9	lfy9_d8_r2_27.CEL	lfy9_d8_r2_27.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
LFY_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy12; LFY::AthLFY	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	LFY_d8_1	total_RNA	P-AFFY-2	LFY_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	LFY_d8_r1_6	A-AFFY-2	P-AFFY-6	8	d	lfy12; LFY::AthLFY	LFY_d8_r1_6.CEL	LFY_d8_r1_6.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
lfy9_d8_1	shoot meristem	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	adult	EFO	EFO_0001272	frozen_sample	lfy9	P-MTAB-4767	P-MTAB-4768	P-MTAB-4769	lfy9_d8_1	total_RNA	P-AFFY-2	lfy9_d8_1	biotin	unknown	Affymetrix:Protocol:Hybridization-Unknown	lfy9_d8_r1_10	A-AFFY-2	P-AFFY-6	8	d	lfy9	lfy9_d8_r1_10.CEL	lfy9_d8_r1_10.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.raw.1.zip	P-MTAB-4771	normalizedData.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2258/E-MEXP-2258.processed.1.zip
