Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Characteristics[CellType]	Characteristics[DevelopmentalStage]	Description	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[CELL TYPE]	FactorValue[GROWTH CONDITION]	FactorValue[ORGANISM PART]	FactorValue[TREATMENT TIME]	Unit[TimeUnit]
GSE10576GSM266673	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root endodermis and quiescent centre	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266673 sample	P-G10576-4	GSE10576GSM266673 extract	total_RNA	P-G10576-3	GSE10576GSM266673 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 2	GSM266673.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root endodermis and quiescent centre	24	hours
GSE10576GSM266674	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root endodermis and quiescent centre	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated endodermal and quiecent center cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: SCR::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266674 sample	P-G10576-4	GSE10576GSM266674 extract	total_RNA	P-G10576-3	GSE10576GSM266674 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, endodermis and quiescent center, -Fe, replicate 3	GSM266674.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root endodermis and quiescent centre	24	hours
GSE10576GSM266662	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root epidermis and lateral root cap	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266662 sample	P-G10576-4	GSE10576GSM266662 extract	total_RNA	P-G10576-3	GSE10576GSM266662 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 1	GSM266662.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root epidermis and lateral root cap	24	hours
GSE10576GSM266663	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root epidermis and lateral root cap	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266663 sample	P-G10576-4	GSE10576GSM266663 extract	total_RNA	P-G10576-3	GSE10576GSM266663 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 2	GSM266663.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root epidermis and lateral root cap	24	hours
GSE10576GSM266664	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root epidermis and lateral root cap	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266664 sample	P-G10576-4	GSE10576GSM266664 extract	total_RNA	P-G10576-3	GSE10576GSM266664 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 3	GSM266664.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root epidermis and lateral root cap	24	hours
GSE10576GSM266665	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root epidermis and lateral root cap	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated epidermal and lateral root cap cells after roots were treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WER::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266665 sample	P-G10576-4	GSE10576GSM266665 extract	total_RNA	P-G10576-3	GSE10576GSM266665 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 4	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, epidermis and lateral root cap, -Fe, replicate 4	GSM266665.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root epidermis and lateral root cap	24	hours
GSE10576GSM266675	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root stele	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated stele cells after roots were treated treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WOL::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266675 sample	P-G10576-4	GSE10576GSM266675 extract	total_RNA	P-G10576-3	GSE10576GSM266675 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, stele, -Fe, replicate 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, stele, -Fe, replicate 1	GSM266675.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root stele	24	hours
GSE10576GSM266676	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root stele	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated stele cells after roots were treated treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WOL::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266676 sample	P-G10576-4	GSE10576GSM266676 extract	total_RNA	P-G10576-3	GSE10576GSM266676 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, stele, -Fe, replicate 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, stele, -Fe, replicate 2	GSM266676.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root stele	24	hours
GSE10576GSM266677	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root stele	Columbia	protoplasted	seedling	Protoplasted and FACS sorted root cells:  Gene expression data from isolated stele cells after roots were treated treated to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 6 days after germination; GFP-reporter: WOL::GFP; Growth Media: Standard media for 6 days, transferred to -Fe media for 24 hours before protoplasting	P-G10576-11	P-G10576-1	GSE10576GSM266677 sample	P-G10576-4	GSE10576GSM266677 extract	total_RNA	P-G10576-3	GSE10576GSM266677 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root cells, stele, -Fe, replicate 3	A-AFFY-2	P-AFFY-6	Arabidopsis, root cells, stele, -Fe, replicate 3	GSM266677.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	protoplasted	iron deprivation	root stele	24	hours
GSE10576GSM265426	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10576-6	P-G10576-5	GSE10576GSM265426 sample	P-G10576-7	GSE10576GSM265426 extract	total_RNA	P-G10576-3	GSE10576GSM265426 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, -Fe conditions, rep 1	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, -Fe conditions, rep 1	GSM265426.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	root longitudinal zone	24	hours
GSE10576GSM265427	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	6	days	root longitudinal zone	Columbia	n/a	seedling	root tissue:  Gene expression data from longitudinal zone 1 isolated from roots grown under standard conditions for 5 days then transferred to -Fe media for 24 hours. Ecotype: Columbia; Age: Seedling roots, 5 days after germination; Growth Media: Standard media for 5 days, transferred to -Fe media for 24 hours before dissection	P-G10576-6	P-G10576-5	GSE10576GSM265427 sample	P-G10576-7	GSE10576GSM265427 extract	total_RNA	P-G10576-3	GSE10576GSM265427 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	Arabidopsis, root, longitudinal zone 1, -Fe conditions, rep 2	A-AFFY-2	P-AFFY-6	Arabidopsis, root, longitudinal zone 1, -Fe conditions, rep 2	GSM265427.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-10576-processed-data-1626190362.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-10576/E-GEOD-10576.processed.1.zip	n/a	iron deprivation	root longitudinal zone	24	hours
