Source Name	Characteristics [Organism]	Term Source REF	Term Accession Number	Characteristics[Ecotype]	Characteristics[Genotype]	Characteristics[OrganismPart]	Description	Sample Name	Extract Name	Material Type	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	FactorValue[GENOTYPE]	FactorValue[ORGANISM PART]
GSE5633GSM131650	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, vegetative	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, vegetative	GSE5633GSM131650 sample	GSE5633GSM131650 extract	total_RNA	GSE5633GSM131650 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_6_B	A-AFFY-2	P-AFFY-6	ATGE_6_B	GSM131650.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, vegetative
GSE5633GSM131669	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	lfy-12	shoot apex, inflorescence (after bolting)	lfy-12:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131669 sample	GSE5633GSM131669 extract	total_RNA	GSE5633GSM131669 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_47_C	A-AFFY-2	P-AFFY-6	ATGE_47_C	GSM131669.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	lfy-12	shoot apex, inflorescence (after bolting)
GSE5633GSM131671	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap1-15	shoot apex, inflorescence (after bolting)	ap1-15:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131671 sample	GSE5633GSM131671 extract	total_RNA	GSE5633GSM131671 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_48_B	A-AFFY-2	P-AFFY-6	ATGE_48_B	GSM131671.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ap1-15	shoot apex, inflorescence (after bolting)
GSE5633GSM131651	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, vegetative	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, vegetative	GSE5633GSM131651 sample	GSE5633GSM131651 extract	total_RNA	GSE5633GSM131651 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_6_C	A-AFFY-2	P-AFFY-6	ATGE_6_C	GSM131651.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, vegetative
GSE5633GSM131677	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap3-6	shoot apex, inflorescence (after bolting)	ap3-6:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131677 sample	GSE5633GSM131677 extract	total_RNA	GSE5633GSM131677 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_50_B	A-AFFY-2	P-AFFY-6	ATGE_50_B	GSM131677.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ap3-6	shoot apex, inflorescence (after bolting)
GSE5633GSM131648	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, vegetative + young leaves	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, vegetative + young leaves	GSE5633GSM131648 sample	GSE5633GSM131648 extract	total_RNA	GSE5633GSM131648 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_4_C	A-AFFY-2	P-AFFY-6	ATGE_4_C	GSM131648.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, vegetative + young leaves
GSE5633GSM131647	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, vegetative + young leaves	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, vegetative + young leaves	GSE5633GSM131647 sample	GSE5633GSM131647 extract	total_RNA	GSE5633GSM131647 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_4_B	A-AFFY-2	P-AFFY-6	ATGE_4_B	GSM131647.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, vegetative + young leaves
GSE5633GSM131678	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap3-6	shoot apex, inflorescence (after bolting)	ap3-6:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131678 sample	GSE5633GSM131678 extract	total_RNA	GSE5633GSM131678 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_50_C	A-AFFY-2	P-AFFY-6	ATGE_50_C	GSM131678.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ap3-6	shoot apex, inflorescence (after bolting)
GSE5633GSM131646	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, vegetative + young leaves	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, vegetative + young leaves	GSE5633GSM131646 sample	GSE5633GSM131646 extract	total_RNA	GSE5633GSM131646 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_4_A	A-AFFY-2	P-AFFY-6	ATGE_4_A	GSM131646.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, vegetative + young leaves
GSE5633GSM131680	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ag-12	shoot apex, inflorescence (after bolting)	ag-12:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131680 sample	GSE5633GSM131680 extract	total_RNA	GSE5633GSM131680 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_51_B	A-AFFY-2	P-AFFY-6	ATGE_51_B	GSM131680.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ag-12	shoot apex, inflorescence (after bolting)
GSE5633GSM131660	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	1st node	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: tissue sampled includes part of the stem (approx. 1 mm below and above the branching point), part of the side shoot (approx. 1 mm in length) as well as the base of the 1st cauline leaf. Tissue: 1st node	GSE5633GSM131660 sample	GSE5633GSM131660 extract	total_RNA	GSE5633GSM131660 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_28_C2	A-AFFY-2	P-AFFY-6	ATGE_28_C2	GSM131660.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	1st node
GSE5633GSM131643	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	hypocotyl	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: hypocotyl	GSE5633GSM131643 sample	GSE5633GSM131643 extract	total_RNA	GSE5633GSM131643 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_2_A	A-AFFY-2	P-AFFY-6	ATGE_2_A	GSM131643.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	hypocotyl
GSE5633GSM131653	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	shoot apex, transition (before bolting)	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, transition (before bolting)	GSE5633GSM131653 sample	GSE5633GSM131653 extract	total_RNA	GSE5633GSM131653 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_8_B	A-AFFY-2	P-AFFY-6	ATGE_8_B	GSM131653.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	shoot apex, transition (before bolting)
GSE5633GSM131658	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	wild_type	1st node	Col-0:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC Tissue comments: tissue sampled includes part of the stem (approx. 1 mm below and above the branching point), part of the side shoot (approx. 1 mm in length) as well as the base of the 1st cauline leaf. Tissue: 1st node	GSE5633GSM131658 sample	GSE5633GSM131658 extract	total_RNA	GSE5633GSM131658 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_28_A2	A-AFFY-2	P-AFFY-6	ATGE_28_A2	GSM131658.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	wild_type	1st node
GSE5633GSM131676	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Col-0	ap3-6	shoot apex, inflorescence (after bolting)	ap3-6:  Photoperiod: continuous light Relative humidity: 65% Substrate: soil Temperature: 23oC. Tissue: shoot apex, inflorescence (after bolting); Genetic background: Col-0	GSE5633GSM131676 sample	GSE5633GSM131676 extract	total_RNA	GSE5633GSM131676 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-Unknown	ATGE_50_A	A-AFFY-2	P-AFFY-6	ATGE_50_A	GSM131676.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.raw.1.zip	E-GEOD-5633-processed-data-1628520125.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-5633/E-GEOD-5633.processed.1.zip	ap3-6	shoot apex, inflorescence (after bolting)
