Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[age]	Unit[time unit]	Characteristics[organism part]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[compound]
GSE11807GSM298473	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana, erf104-ko, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana, erf104-ko, 6 week old plants, leaf material	Col-0	erf104 knockout	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298473 sample	P-G11807-4	GSE11807GSM298473 extract	total_RNA	P-G11807-6	GSE11807GSM298473 LE biotin	biotin	synthetic_RNA	A.thaliana erf104-ko, H2O 4h rep3	A-AFFY-2	P-AFFY-6	GSM298473.CEL	GSM298473.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	erf104 knockout	none
GSE11807GSM298429	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana, erf104-ko, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana, erf104-ko, 6 week old plants, leaf material	Col-0	erf104 knockout	6	week	leaf	P-G11807-1	P-G11807-7	GSE11807GSM298429 sample	P-G11807-4	GSE11807GSM298429 extract	total_RNA	P-G11807-6	GSE11807GSM298429 LE biotin	biotin	synthetic_RNA	A.thaliana erf104-ko, Flg22 4h rep2	A-AFFY-2	P-AFFY-6	GSM298429.CEL	GSM298429.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	erf104 knockout	flg22
GSE11807GSM298470	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana, erf104-ko, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana, erf104-ko, 6 week old plants, leaf material	Col-0	erf104 knockout	6	week	leaf	P-G11807-1	P-G11807-7	GSE11807GSM298470 sample	P-G11807-4	GSE11807GSM298470 extract	total_RNA	P-G11807-6	GSE11807GSM298470 LE biotin	biotin	synthetic_RNA	A.thaliana erf104-ko, Flg22 4h rep3	A-AFFY-2	P-AFFY-6	GSM298470.CEL	GSM298470.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	erf104 knockout	flg22
GSE11807GSM298481	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	Col-0	35S::ERF104	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298481 sample	P-G11807-4	GSE11807GSM298481 extract	total_RNA	P-G11807-6	GSE11807GSM298481 LE biotin	biotin	synthetic_RNA	A.thaliana 35S::ERF104, H2O 4h rep2	A-AFFY-2	P-AFFY-6	GSM298481.CEL	GSM298481.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	35S::ERF104	none
GSE11807GSM298479	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	Col-0	35S::ERF104	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298479 sample	P-G11807-4	GSE11807GSM298479 extract	total_RNA	P-G11807-6	GSE11807GSM298479 LE biotin	biotin	synthetic_RNA	A.thaliana 35S::ERF104, H2O 4h rep1	A-AFFY-2	P-AFFY-6	GSM298479.CEL	GSM298479.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	35S::ERF104	none
GSE11807GSM298428	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana, erf104-ko, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana, erf104-ko, 6 week old plants, leaf material	Col-0	erf104 knockout	6	week	leaf	P-G11807-1	P-G11807-7	GSE11807GSM298428 sample	P-G11807-4	GSE11807GSM298428 extract	total_RNA	P-G11807-6	GSE11807GSM298428 LE biotin	biotin	synthetic_RNA	A.thaliana erf104-ko, Flg22 4h rep1	A-AFFY-2	P-AFFY-6	GSM298428.CEL	GSM298428.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	erf104 knockout	flg22
GSE11807GSM298495	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana, mpk6-ko, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana, mpk6-ko, 6 week old plants, leaf material	Col-0	mpk6 knockout	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298495 sample	P-G11807-4	GSE11807GSM298495 extract	total_RNA	P-G11807-6	GSE11807GSM298495 LE biotin	biotin	synthetic_RNA	A.thaliana mpk6-ko, H2O 4h rep2	A-AFFY-2	P-AFFY-6	GSM298495.CEL	GSM298495.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	mpk6 knockout	none
GSE11807GSM298498	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana, mpk6-ko, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana, mpk6-ko, 6 week old plants, leaf material	Col-0	mpk6 knockout	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298498 sample	P-G11807-4	GSE11807GSM298498 extract	total_RNA	P-G11807-6	GSE11807GSM298498 LE biotin	biotin	synthetic_RNA	A.thaliana mpk6-ko, H2O 4h rep3	A-AFFY-2	P-AFFY-6	GSM298498.CEL	GSM298498.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	mpk6 knockout	none
GSE11807GSM298475	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana, ERF104 over expresser, 6 week old plants, leaf material	Col-0	35S::ERF104	6	week	leaf	P-G11807-1	P-G11807-2	GSE11807GSM298475 sample	P-G11807-4	GSE11807GSM298475 extract	total_RNA	P-G11807-6	GSE11807GSM298475 LE biotin	biotin	synthetic_RNA	A.thaliana 35S::ERF104, Flg22 4h rep2	A-AFFY-2	P-AFFY-6	GSM298475.CEL	GSM298475.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	35S::ERF104	flg22
GSE11807GSM298420	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana Col-0, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana Col-0, 6 week old plants, leaf material	Col-0	wild type	6	week	leaf	P-G11807-1	P-G11807-2	GSE11807GSM298420 sample	P-G11807-4	GSE11807GSM298420 extract	total_RNA	P-G11807-3	GSE11807GSM298420 LE biotin	biotin	synthetic_RNA	A.thaliana Col-0, Flg22 4h rep2	A-AFFY-2	P-AFFY-6	GSM298420.CEL	GSM298420.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	wild type	flg22
GSE11807GSM298427	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana Col-0, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana Col-0, 6 week old plants, leaf material	Col-0	wild type	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298427 sample	P-G11807-4	GSE11807GSM298427 extract	total_RNA	P-G11807-6	GSE11807GSM298427 LE biotin	biotin	synthetic_RNA	A.thaliana Col-0, H2O 4h rep3	A-AFFY-2	P-AFFY-6	GSM298427.CEL	GSM298427.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	wild type	none
GSE11807GSM298472	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, H2O 4h:  No. A. thaliana, erf104-ko, 6 week old plants, leaf material	plant leaf, H2O 4h	A. thaliana, erf104-ko, 6 week old plants, leaf material	Col-0	erf104 knockout	6	week	leaf	P-G11807-1	P-G11807-5	GSE11807GSM298472 sample	P-G11807-4	GSE11807GSM298472 extract	total_RNA	P-G11807-6	GSE11807GSM298472 LE biotin	biotin	synthetic_RNA	A.thaliana erf104-ko, H2O 4h rep2	A-AFFY-2	P-AFFY-6	GSM298472.CEL	GSM298472.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	erf104 knockout	none
GSE11807GSM298486	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana, mpk6-ko, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana, mpk6-ko, 6 week old plants, leaf material	Col-0	mpk6 knockout	6	week	leaf	P-G11807-1	P-G11807-2	GSE11807GSM298486 sample	P-G11807-4	GSE11807GSM298486 extract	total_RNA	P-G11807-6	GSE11807GSM298486 LE biotin	biotin	synthetic_RNA	A.thaliana mpk6-ko, Flg22 4h rep1	A-AFFY-2	P-AFFY-6	GSM298486.CEL	GSM298486.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	mpk6 knockout	flg22
GSE11807GSM298415	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	plant leaf, Flg22 4h:  No. A. thaliana Col-0, 6 week old plants, leaf material	plant leaf, Flg22 4h	A. thaliana Col-0, 6 week old plants, leaf material	Col-0	wild type	6	week	leaf	P-G11807-1	P-G11807-2	GSE11807GSM298415 sample	P-G11807-4	GSE11807GSM298415 extract	total_RNA	P-G11807-3	GSE11807GSM298415 LE biotin	biotin	synthetic_RNA	A.thaliana Col-0, Flg22 4h rep1	A-AFFY-2	P-AFFY-6	GSM298415.CEL	GSM298415.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-11807-processed-data-1762042209.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-11807/E-GEOD-11807.processed.1.zip	wild type	flg22
