Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Characteristics[strain]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[genotype]	FactorValue[growth condition]
GSE9955GSM250971	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4 sid2 double mutant; Age: 4 weeks old plants	rosette	4	week	mil4 sid2 double mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250971 sample	P-G9955-4	GSE9955GSM250971 extract	total_RNA	P-G9955-3	GSE9955GSM250971 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 sid2 double mutant with H2O treatment, biological rep4"	A-AFFY-2	P-AFFY-6	"mil4 sid2 double mutant with H2O treatment, biological rep4"	GSM250971.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 sid2 double mutant	water
GSE9955GSM250970	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: mil4 sid2 double mutant; Age: 4 weeks old plants	rosette	4	week	mil4 sid2 double mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250970 sample	P-G9955-4	GSE9955GSM250970 extract	total_RNA	P-G9955-3	GSE9955GSM250970 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"mil4 sid2 double mutant with H2O treatment, biological rep3"	A-AFFY-2	P-AFFY-6	"mil4 sid2 double mutant with H2O treatment, biological rep3"	GSM250970.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	mil4 sid2 double mutant	water
GSE9955GSM250972	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: sid2 mutant; Age: 4 weeks old plants	rosette	4	week	sid2 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250972 sample	P-G9955-4	GSE9955GSM250972 extract	total_RNA	P-G9955-3	GSE9955GSM250972 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"sid2 mutant with H2O treatment, biological rep1"	A-AFFY-2	P-AFFY-6	"sid2 mutant with H2O treatment, biological rep1"	GSM250972.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	sid2 mutant	water
GSE9955GSM250973	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: sid2 mutant; Age: 4 weeks old plants	rosette	4	week	sid2 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250973 sample	P-G9955-4	GSE9955GSM250973 extract	total_RNA	P-G9955-3	GSE9955GSM250973 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"sid2 mutant with H2O treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"sid2 mutant with H2O treatment, biological rep2"	GSM250973.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	sid2 mutant	water
GSE9955GSM250974	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: sid2 mutant; Age: 4 weeks old plants	rosette	4	week	sid2 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250974 sample	P-G9955-4	GSE9955GSM250974 extract	total_RNA	P-G9955-3	GSE9955GSM250974 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"sid2 mutant with H2O treatment, biological rep3"	A-AFFY-2	P-AFFY-6	"sid2 mutant with H2O treatment, biological rep3"	GSM250974.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	sid2 mutant	water
GSE9955GSM250975	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: sid2 mutant; Age: 4 weeks old plants	rosette	4	week	sid2 mutant	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250975 sample	P-G9955-4	GSE9955GSM250975 extract	total_RNA	P-G9955-3	GSE9955GSM250975 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"sid2 mutant with H2O treatment, biological rep4"	A-AFFY-2	P-AFFY-6	"sid2 mutant with H2O treatment, biological rep4"	GSM250975.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	sid2 mutant	water
GSE9955GSM250959	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: Col-0; Age: 4 weeks old plants	rosette	4	week	wild type	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250959 sample	P-G9955-4	GSE9955GSM250959 extract	total_RNA	P-G9955-3	GSE9955GSM250959 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"Col with BTH treatment, biological rep4"	A-AFFY-2	P-AFFY-6	"Col with BTH treatment, biological rep4"	GSM250959.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	wild type	benzothiadiazole
GSE9955GSM250958	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: Col-0; Age: 4 weeks old plants	rosette	4	week	wild type	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250958 sample	P-G9955-4	GSE9955GSM250958 extract	total_RNA	P-G9955-3	GSE9955GSM250958 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"Col with BTH treatment, biological rep3"	A-AFFY-2	P-AFFY-6	"Col with BTH treatment, biological rep3"	GSM250958.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	wild type	benzothiadiazole
GSE9955GSM250956	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: Col-0; Age: 4 weeks old plants	rosette	4	week	wild type	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250956 sample	P-G9955-4	GSE9955GSM250956 extract	total_RNA	P-G9955-3	GSE9955GSM250956 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"Col with BTH treatment, biological rep1"	A-AFFY-2	P-AFFY-6	"Col with BTH treatment, biological rep1"	GSM250956.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	wild type	benzothiadiazole
GSE9955GSM250957	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: Col-0; Age: 4 weeks old plants	rosette	4	week	wild type	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250957 sample	P-G9955-4	GSE9955GSM250957 extract	total_RNA	P-G9955-3	GSE9955GSM250957 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"Col with BTH treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"Col with BTH treatment, biological rep2"	GSM250957.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	wild type	benzothiadiazole
GSE9955GSM250955	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: Col-0; Age: 4 weeks old plants	rosette	4	week	wild type	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250955 sample	P-G9955-4	GSE9955GSM250955 extract	total_RNA	P-G9955-3	GSE9955GSM250955 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"Col with H2O treatment, biological rep4"	A-AFFY-2	P-AFFY-6	"Col with H2O treatment, biological rep4"	GSM250955.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	wild type	water
GSE9955GSM250954	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: Col-0; Age: 4 weeks old plants	rosette	4	week	wild type	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250954 sample	P-G9955-4	GSE9955GSM250954 extract	total_RNA	P-G9955-3	GSE9955GSM250954 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"Col with H2O treatment, biological rep3"	A-AFFY-2	P-AFFY-6	"Col with H2O treatment, biological rep3"	GSM250954.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	wild type	water
GSE9955GSM250953	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: Col-0; Age: 4 weeks old plants	rosette	4	week	wild type	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250953 sample	P-G9955-4	GSE9955GSM250953 extract	total_RNA	P-G9955-3	GSE9955GSM250953 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"Col with H2O treatment, biological rep2"	A-AFFY-2	P-AFFY-6	"Col with H2O treatment, biological rep2"	GSM250953.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	wild type	water
GSE9955GSM250952	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Arabidopsis rosette:  Gene expression data from 4 weeks old rosette.. Genotype: Col-0; Age: 4 weeks old plants	rosette	4	week	wild type	Col-0	P-G9955-2	P-G9955-1	GSE9955GSM250952 sample	P-G9955-4	GSE9955GSM250952 extract	total_RNA	P-G9955-3	GSE9955GSM250952 LE	biotin	synthetic_RNA	Affymetrix:Protocol:Hybridization-EukGE-WS2v5	"Col with H2O treatment, biological rep1"	A-AFFY-2	P-AFFY-6	"Col with H2O treatment, biological rep1"	GSM250952.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.raw.1.zip	Affymetrix:Protocol:ExpressionStat	E-GEOD-9955-processed-data-1681003881.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9955/E-GEOD-9955.processed.1.zip	wild type	water
