Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[Organism]	Term Source REF	Term Accession Number	Characteristics[DevelopmentalStage]	Characteristics[OrganismPart]	Characteristics[Ecotype]	Comment[Tissue]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[DEVELOPMENTAL STAGE]	FactorValue[ORGANISM PART]
GSM131658 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	Tissue comments: tissue sampled includes part of the stem (approx. 1 mm below and above the branching point), part of the side shoot (approx. 1 mm in length) as well as the base of the 1st cauline leaf	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	stem, side shoot and leaf base	Col-0	1st node	 	 	 	GSM131658 extract 1	total RNA	 	GSM131658 LE 1	biotin	 	GSM131658	A-AFFY-2	P-GSE15617-3	 	GSM131658.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131658_sample_table.txt norm	GSM131658_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	stem, side shoot and leaf base
GSM131657 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	stem	Col-0	stem, 2nd internode	 	 	 	GSM131657 extract 1	total RNA	 	GSM131657 LE 1	biotin	 	GSM131657	A-AFFY-2	P-GSE15617-3	 	GSM131657.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131657_sample_table.txt norm	GSM131657_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	stem
GSM131656 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	stem	Col-0	stem, 2nd internode	 	 	 	GSM131656 extract 1	total RNA	 	GSM131656 LE 1	biotin	 	GSM131656	A-AFFY-2	P-GSE15617-3	 	GSM131656.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131656_sample_table.txt norm	GSM131656_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	stem
GSM131655 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	stem	Col-0	stem, 2nd internode	 	 	 	GSM131655 extract 1	total RNA	 	GSM131655 LE 1	biotin	 	GSM131655	A-AFFY-2	P-GSE15617-3	 	GSM131655.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131655_sample_table.txt norm	GSM131655_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	stem
GSM131654 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	shoot apex	Col-0	shoot apex, transition (before bolting)	 	 	 	GSM131654 extract 1	total RNA	 	GSM131654 LE 1	biotin	 	GSM131654	A-AFFY-2	P-GSE15617-3	 	GSM131654.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131654_sample_table.txt norm	GSM131654_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	shoot apex
GSM131653 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	shoot apex	Col-0	shoot apex, transition (before bolting)	 	 	 	GSM131653 extract 1	total RNA	 	GSM131653 LE 1	biotin	 	GSM131653	A-AFFY-2	P-GSE15617-3	 	GSM131653.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131653_sample_table.txt norm	GSM131653_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	shoot apex
GSM131652 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	shoot apex	Col-0	shoot apex, transition (before bolting)	 	 	 	GSM131652 extract 1	total RNA	 	GSM131652 LE 1	biotin	 	GSM131652	A-AFFY-2	P-GSE15617-3	 	GSM131652.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131652_sample_table.txt norm	GSM131652_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	shoot apex
GSM131638 1	Photoperiod: continuous light	 	Substrate: soil	Temperature: 23oC	 	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	pollen	Col-0	mature pollen	 	 	 	GSM131638 extract 1	total RNA	 	GSM131638 LE 1	biotin	 	GSM131638	A-AFFY-2	P-GSE15617-3	 	GSM131638.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131638_sample_table.txt norm	GSM131638_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	pollen
GSM131637 1	Photoperiod: continuous light	 	Substrate: soil	Temperature: 23oC	 	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	pollen	Col-0	mature pollen	 	 	 	GSM131637 extract 1	total RNA	 	GSM131637 LE 1	biotin	 	GSM131637	A-AFFY-2	P-GSE15617-3	 	GSM131637.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131637_sample_table.txt norm	GSM131637_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	pollen
GSM131636 1	Photoperiod: continuous light	 	Substrate: soil	Temperature: 23oC	 	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	n/a	pollen	Col-0	mature pollen	 	 	 	GSM131636 extract 1	total RNA	 	GSM131636 LE 1	biotin	 	GSM131636	A-AFFY-2	P-GSE15617-3	 	GSM131636.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131636_sample_table.txt norm	GSM131636_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	n/a	pollen
GSM131614 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	carpel	Col-0	flowers stage 15, carpels	 	 	 	GSM131614 extract 1	total RNA	 	GSM131614 LE 1	biotin	 	GSM131614	A-AFFY-2	P-GSE15617-3	 	GSM131614.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131614_sample_table.txt norm	GSM131614_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	carpel
GSM131613 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	carpel	Col-0	flowers stage 15, carpels	 	 	 	GSM131613 extract 1	total RNA	 	GSM131613 LE 1	biotin	 	GSM131613	A-AFFY-2	P-GSE15617-3	 	GSM131613.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131613_sample_table.txt norm	GSM131613_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	carpel
GSM131612 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	carpel	Col-0	flowers stage 15, carpels	 	 	 	GSM131612 extract 1	total RNA	 	GSM131612 LE 1	biotin	 	GSM131612	A-AFFY-2	P-GSE15617-3	 	GSM131612.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131612_sample_table.txt norm	GSM131612_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	carpel
GSM131611 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	stamen	Col-0	flowers stage 15, stamen	 	 	 	GSM131611 extract 1	total RNA	 	GSM131611 LE 1	biotin	 	GSM131611	A-AFFY-2	P-GSE15617-3	 	GSM131611.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131611_sample_table.txt norm	GSM131611_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	stamen
GSM131610 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	stamen	Col-0	flowers stage 15, stamen	 	 	 	GSM131610 extract 1	total RNA	 	GSM131610 LE 1	biotin	 	GSM131610	A-AFFY-2	P-GSE15617-3	 	GSM131610.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131610_sample_table.txt norm	GSM131610_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	stamen
GSM131609 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	stamen	Col-0	flowers stage 15, stamen	 	 	 	GSM131609 extract 1	total RNA	 	GSM131609 LE 1	biotin	 	GSM131609	A-AFFY-2	P-GSE15617-3	 	GSM131609.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131609_sample_table.txt norm	GSM131609_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	stamen
GSM131608 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	petal	Col-0	flowers stage 15, petals	 	 	 	GSM131608 extract 1	total RNA	 	GSM131608 LE 1	biotin	 	GSM131608	A-AFFY-2	P-GSE15617-3	 	GSM131608.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131608_sample_table.txt norm	GSM131608_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	petal
GSM131607 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	petal	Col-0	flowers stage 15, petals	 	 	 	GSM131607 extract 1	total RNA	 	GSM131607 LE 1	biotin	 	GSM131607	A-AFFY-2	P-GSE15617-3	 	GSM131607.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131607_sample_table.txt norm	GSM131607_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	petal
GSM131606 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	petal	Col-0	flowers stage 15, petals	 	 	 	GSM131606 extract 1	total RNA	 	GSM131606 LE 1	biotin	 	GSM131606	A-AFFY-2	P-GSE15617-3	 	GSM131606.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131606_sample_table.txt norm	GSM131606_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	petal
GSM131605 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	sepal	Col-0	flowers stage 15, sepals	 	 	 	GSM131605 extract 1	total RNA	 	GSM131605 LE 1	biotin	 	GSM131605	A-AFFY-2	P-GSE15617-3	 	GSM131605.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131605_sample_table.txt norm	GSM131605_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	sepal
GSM131604 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	sepal	Col-0	flowers stage 15, sepals	 	 	 	GSM131604 extract 1	total RNA	 	GSM131604 LE 1	biotin	 	GSM131604	A-AFFY-2	P-GSE15617-3	 	GSM131604.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131604_sample_table.txt norm	GSM131604_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	sepal
GSM131603 1	Photoperiod: continuous light	 	Relative humidity: 65%	Substrate: soil	Temperature: 23oC	 	Col-0	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	15	sepal	Col-0	flowers stage 15, sepals	 	 	 	GSM131603 extract 1	total RNA	 	GSM131603 LE 1	biotin	 	GSM131603	A-AFFY-2	P-GSE15617-3	 	GSM131603.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.raw.1.zip	P-GSE15617-1	GSM131603_sample_table.txt norm	GSM131603_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-15617/E-GEOD-15617.processed.1.zip	15	sepal
