Source Name	Comment [Sample_description]	Comment [Sample_source_name]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[ecotype]	Characteristics[genotype]	Characteristics[organism part]	Comment[stock code]	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Protocol REF	Hybridization Name	Array Design REF	Protocol REF	Protocol REF	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Normalization Name	Derived Array Data File	Comment [Derived ArrayExpress FTP file]	FactorValue[ecotype]	FactorValue[genotype]
GSM478145 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA6H-5	Arabidopsis thaliana	leaf production stage	Nd-1	T-DNA knock out line 2	whole organism	  	P-GSE19273-2	GSM478145 extract 1	total RNA	P-GSE19273-3	GSM478145 LE 1	biotin	P-GSE19273-4	GSM478145	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478145.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478145_sample_table.txt norm	GSM478145_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	T-DNA knock out line 2
GSM478137 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA6H-1	Arabidopsis thaliana	leaf production stage	Nd-1	T-DNA knock out line 1	whole organism	  	P-GSE19273-2	GSM478137 extract 1	total RNA	P-GSE19273-3	GSM478137 LE 1	biotin	P-GSE19273-4	GSM478137	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478137.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478137_sample_table.txt norm	GSM478137_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	T-DNA knock out line 1
GSM478136 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA6H-5	Arabidopsis thaliana	leaf production stage	Nd-1	T-DNA knock out line 2	whole organism	  	P-GSE19273-2	GSM478136 extract 1	total RNA	P-GSE19273-3	GSM478136 LE 1	biotin	P-GSE19273-4	GSM478136	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478136.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478136_sample_table.txt norm	GSM478136_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	T-DNA knock out line 2
GSM478128 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA6H-1	Arabidopsis thaliana	leaf production stage	Nd-1	T-DNA knock out line 1	whole organism	  	P-GSE19273-2	GSM478128 extract 1	total RNA	P-GSE19273-3	GSM478128 LE 1	biotin	P-GSE19273-4	GSM478128	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478128.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478128_sample_table.txt norm	GSM478128_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	T-DNA knock out line 1
GSM478127 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Pip3-3HA6H-5	Arabidopsis thaliana	leaf production stage	Nd-1	T-DNA knock out line 2	whole organism	  	P-GSE19273-2	GSM478127 extract 1	total RNA	P-GSE19273-3	GSM478127 LE 1	biotin	P-GSE19273-4	GSM478127	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478127.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478127_sample_table.txt norm	GSM478127_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	T-DNA knock out line 2
GSM478144 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	pGli-69-31	Arabidopsis thaliana	leaf production stage	Nd-1	RNAi knock out line 1	whole organism	  	P-GSE19273-2	GSM478144 extract 1	total RNA	P-GSE19273-3	GSM478144 LE 1	biotin	P-GSE19273-4	GSM478144	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478144.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478144_sample_table.txt norm	GSM478144_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	RNAi knock out line 1
GSM478143 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	pGli-69-24	Arabidopsis thaliana	leaf production stage	Nd-1	RNAi knock out line 2	whole organism	  	P-GSE19273-2	GSM478143 extract 1	total RNA	P-GSE19273-3	GSM478143 LE 1	biotin	P-GSE19273-4	GSM478143	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478143.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478143_sample_table.txt norm	GSM478143_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	RNAi knock out line 2
GSM478135 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	pGli-69-31	Arabidopsis thaliana	leaf production stage	Nd-1	RNAi knock out line 1	whole organism	  	P-GSE19273-2	GSM478135 extract 1	total RNA	P-GSE19273-3	GSM478135 LE 1	biotin	P-GSE19273-4	GSM478135	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478135.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478135_sample_table.txt norm	GSM478135_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	RNAi knock out line 1
GSM478134 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	pGli-69-24	Arabidopsis thaliana	leaf production stage	Nd-1	RNAi knock out line 2	whole organism	  	P-GSE19273-2	GSM478134 extract 1	total RNA	P-GSE19273-3	GSM478134 LE 1	biotin	P-GSE19273-4	GSM478134	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478134.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478134_sample_table.txt norm	GSM478134_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	RNAi knock out line 2
GSM478126 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	pGli-69-31	Arabidopsis thaliana	leaf production stage	Nd-1	RNAi knock out line 1	whole organism	  	P-GSE19273-2	GSM478126 extract 1	total RNA	P-GSE19273-3	GSM478126 LE 1	biotin	P-GSE19273-4	GSM478126	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478126.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478126_sample_table.txt norm	GSM478126_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	RNAi knock out line 1
GSM478125 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	pGli-69-24	Arabidopsis thaliana	leaf production stage	Nd-1	RNAi knock out line 2	whole organism	  	P-GSE19273-2	GSM478125 extract 1	total RNA	P-GSE19273-3	GSM478125 LE 1	biotin	P-GSE19273-4	GSM478125	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478125.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478125_sample_table.txt norm	GSM478125_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	RNAi knock out line 2
GSM478150 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Col-0	Arabidopsis thaliana	leaf production stage	Col-0	wild type	whole organism	  	P-GSE19273-2	GSM478150 extract 1	total RNA	P-GSE19273-3	GSM478150 LE 1	biotin	P-GSE19273-4	GSM478150	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478150.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478150_sample_table.txt norm	GSM478150_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	wild type
GSM478141 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Col-0	Arabidopsis thaliana	leaf production stage	Col-0	wild type	whole organism	  	P-GSE19273-2	GSM478141 extract 1	total RNA	P-GSE19273-3	GSM478141 LE 1	biotin	P-GSE19273-4	GSM478141	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478141.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478141_sample_table.txt norm	GSM478141_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	wild type
GSM478132 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Col-0	Arabidopsis thaliana	leaf production stage	Col-0	wild type	whole organism	  	P-GSE19273-2	GSM478132 extract 1	total RNA	P-GSE19273-3	GSM478132 LE 1	biotin	P-GSE19273-4	GSM478132	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478132.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478132_sample_table.txt norm	GSM478132_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Col-0	wild type
GSM478149 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Nd-1	Arabidopsis thaliana	leaf production stage	Nd-1	wild type	whole organism	  	P-GSE19273-2	GSM478149 extract 1	total RNA	P-GSE19273-3	GSM478149 LE 1	biotin	P-GSE19273-4	GSM478149	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478149.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478149_sample_table.txt norm	GSM478149_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	wild type
GSM478140 1	20 min with a 12% sodium hypochlorite solution, washed several times with sterile water.  Seeds were sown on MS medium (Murashige and Skoog 1962). Plantlets grown for 8 days at 20C in a growth chamber.  8% agarose. Autoclave 125C 30 min. 1.5/cm2. 20 C average, 20 C day, 20 C night. 100 % average, 100 % day, 100 % night. Murashige & Skoog basal salt mixture.	Nd-1	Arabidopsis thaliana	leaf production stage	Nd-1	wild type	whole organism	  	P-GSE19273-2	GSM478140 extract 1	total RNA	P-GSE19273-3	GSM478140 LE 1	biotin	P-GSE19273-4	GSM478140	A-AFFY-2	P-GSE19273-5	P-GSE19273-6	GSM478140.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.raw.1.zip	P-GSE19273-1	GSM478140_sample_table.txt norm	GSM478140_sample_table.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-19273/E-GEOD-19273.processed.1.zip	Nd-1	wild type
