Source Name	Characteristics [Ecotype]	Characteristics [Genotype]	Characteristics [OrganismPart]	Term Source REF	Term Accession Number	Characteristics [StrainOrLine]	Characteristics [Organism]	Term Source REF	Term Accession Number	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Protocol REF	Derived Array Data Matrix File	Comment [Derived ArrayExpress FTP file]	Factor Value [TEMPERATURE]	Unit [TemperatureUnit]	Factor Value [LIGHT]	Factor Value [TIME]	Unit [TimeUnit]
ATH_caldana_COND_A 340	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17006	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_A 340	total_RNA	P-MTAB-17015	ATH_caldana_COND_A 340	biotin	synthetic_DNA	ATH_caldana_COND_A 340	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_19.CEL	affy_ATH1_caldana_19.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21/18	degree_C	normal light (150 uE)	340	minutes
ATH_caldana_COND_E 80	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_E 80	total_RNA	P-MTAB-17015	ATH_caldana_COND_E 80	biotin	synthetic_DNA	ATH_caldana_COND_E 80	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_94.CEL	affy_ATH1_caldana_94.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	32	degree_C	normal light (150 uE)	80	minutes
ATH_caldana_COND_G 1280	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17012	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_G 1280	total_RNA	P-MTAB-17015	ATH_caldana_COND_G 1280	biotin	synthetic_DNA	ATH_caldana_COND_G 1280	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_154.CEL	affy_ATH1_caldana_154.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	low light (75 uE)	1280	minutes
ATH_caldana_COND_B 100	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_B 100	total_RNA	P-MTAB-17015	ATH_caldana_COND_B 100	biotin	synthetic_DNA	ATH_caldana_COND_B 100	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_29.CEL	affy_ATH1_caldana_29.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	darkness (0 uE)	100	minutes
ATH_caldana_COND_C 360	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17008	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_C 360	total_RNA	P-MTAB-17015	ATH_caldana_COND_C 360	biotin	synthetic_DNA	ATH_caldana_COND_C 360	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_64.CEL	affy_ATH1_caldana_64.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	4	degree_C	low light (85 uE)	360	minutes
ATH_caldana_COND_D 40	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17009	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_D 40	total_RNA	P-MTAB-17015	ATH_caldana_COND_D 40	biotin	synthetic_DNA	ATH_caldana_COND_D 40	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_70.CEL	affy_ATH1_caldana_70.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	4	degree_C	darkness (0 uE)	40	minutes
ATH_caldana_COND_G 240	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_G 240	total_RNA	P-MTAB-17015	ATH_caldana_COND_G 240	biotin	synthetic_DNA	ATH_caldana_COND_G 240	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_146.CEL	affy_ATH1_caldana_146.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	low light (75 uE)	240	minutes
ATH_caldana_COND_B 200	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_B 200	total_RNA	P-MTAB-17015	ATH_caldana_COND_B 200	biotin	synthetic_DNA	ATH_caldana_COND_B 200	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_34.CEL	affy_ATH1_caldana_34.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	darkness (0 uE)	200	minutes
ATH_caldana_COND_F 120	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_F 120	total_RNA	P-MTAB-17015	ATH_caldana_COND_F 120	biotin	synthetic_DNA	ATH_caldana_COND_F 120	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_118.CEL	affy_ATH1_caldana_118.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	32	degree_C	darkness (0 uE)	120	minutes
ATH_caldana_COND_C 160	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_C 160	total_RNA	P-MTAB-17015	ATH_caldana_COND_C 160	biotin	synthetic_DNA	ATH_caldana_COND_C 160	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_54.CEL	affy_ATH1_caldana_54.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	4	degree_C	low light (85 uE)	160	minutes
ATH_caldana_COND_E 40	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17010	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_E 40	total_RNA	P-MTAB-17015	ATH_caldana_COND_E 40	biotin	synthetic_DNA	ATH_caldana_COND_E 40	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_92.CEL	affy_ATH1_caldana_92.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	32	degree_C	normal light (150 uE)	40	minutes
ATH_caldana_COND_B 340	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17007	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_B 340	total_RNA	P-MTAB-17015	ATH_caldana_COND_B 340	biotin	synthetic_DNA	ATH_caldana_COND_B 340	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_41.CEL	affy_ATH1_caldana_41.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	darkness (0 uE)	340	minutes
ATH_caldana_COND_B 640	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17007	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_B 640	total_RNA	P-MTAB-17015	ATH_caldana_COND_B 640	biotin	synthetic_DNA	ATH_caldana_COND_B 640	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_43.CEL	affy_ATH1_caldana_43.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	darkness (0 uE)	640	minutes
ATH_caldana_COND_G 320	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17012	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_G 320	total_RNA	P-MTAB-17015	ATH_caldana_COND_G 320	biotin	synthetic_DNA	ATH_caldana_COND_G 320	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_150.CEL	affy_ATH1_caldana_150.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	low light (75 uE)	320	minutes
ATH_caldana_COND_C 640	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_C 640	total_RNA	P-MTAB-17015	ATH_caldana_COND_C 640	biotin	synthetic_DNA	ATH_caldana_COND_C 640	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_65.CEL	affy_ATH1_caldana_65.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	4	degree_C	low light (85 uE)	640	minutes
ATH_caldana_COND_F 100	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17011	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_F 100	total_RNA	P-MTAB-17015	ATH_caldana_COND_F 100	biotin	synthetic_DNA	ATH_caldana_COND_F 100	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_117.CEL	affy_ATH1_caldana_117.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	32	degree_C	darkness (0 uE)	100	minutes
ATH_caldana_COND_H 100	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17013	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_H 100	total_RNA	P-MTAB-17015	ATH_caldana_COND_H 100	biotin	synthetic_DNA	ATH_caldana_COND_H 100	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_161.CEL	affy_ATH1_caldana_161.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	high light (400 uE)	100	minutes
ATH_caldana_COND_C 40	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17008	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_C 40	total_RNA	P-MTAB-17015	ATH_caldana_COND_C 40	biotin	synthetic_DNA	ATH_caldana_COND_C 40	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_48.CEL	affy_ATH1_caldana_48.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	4	degree_C	low light (85 uE)	40	minutes
ATH_caldana_COND_G 200	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_G 200	total_RNA	P-MTAB-17015	ATH_caldana_COND_G 200	biotin	synthetic_DNA	ATH_caldana_COND_G 200	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_144.CEL	affy_ATH1_caldana_144.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	21	degree_C	low light (75 uE)	200	minutes
ATH_caldana_COND_C 100	Columbia-0	wild_type	rosette leaf	EFO	EFO_0001984	CS906	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	P-MTAB-17005	P-MTAB-17004	P-MTAB-17014	ATH_caldana_COND_C 100	total_RNA	P-MTAB-17015	ATH_caldana_COND_C 100	biotin	synthetic_DNA	ATH_caldana_COND_C 100	A-AFFY-2	P-AFFY-6	affy_ATH1_caldana_51.CEL	affy_ATH1_caldana_51.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.raw.1.zip	P-MTAB-17016	E-MTAB-375-processed-data-2522036579.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MTAB/E-MTAB-375/E-MTAB-375.processed.1.zip	4	degree_C	low light (85 uE)	100	minutes
