Source Name	Material Type	Characteristics[Organism]	Characteristics[BioSourceType]	Characteristics[DevelopmentalStage]	Characteristics[Age]	Unit[TimeUnit]	Characteristics[OrganismPart]	Characteristics[GeneticModification]	Characteristics[Genotype]	Characteristics[StrainOrLine]	Protocol REF	Protocol REF	Protocol REF	Extract Name	Material Type	Protocol REF	Term Source REF	LabeledExtract Name	Label	Protocol REF	Term Source REF	Hybridization Name	Array Design REF	Protocol REF	Term Source REF	Array Data File	Comment [ArrayExpress FTP file]	Factor Value[COMPOUND]	Factor Value[DOSE]	Unit[ConcentrationUnit]	Factor Value[GENOTYPE]	Factor Value[CHIP-ANTIBODY]
wus 2 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9910	E_wus 2 - ChIP-chip	genomic_DNA	P-MTAB-9912	  	L_wus 2 - ChIP-chip	biotin	  	ArrayExpress	H_wus 2 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20070318_ChIP_WUS_MH1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.2.zip	0	0	0	wus	0
wus 3 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9910	E_wus 3 - ChIP-chip	genomic_DNA	P-MTAB-9912	  	L_wus 3 - ChIP-chip	biotin	  	ArrayExpress	H_wus 3 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20070318_ChIP_WUS_MH2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.2.zip	0	0	0	wus	0
wus 4 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	3	days	Shoot apex	gene_knock_out	wus	COL	P-MTAB-9911	P-MTAB-9906	P-MTAB-9910	E_wus 4 - ChIP-chip	genomic_DNA	P-MTAB-9912	  	L_wus 4 - ChIP-chip	biotin	  	ArrayExpress	H_wus 4 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20070318_ChIP_WUS_MH3.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.2.zip	0	0	0	wus	0
WUS-GR CYCLO 1 - Expression	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9904	E_WUS-GR CYCLO 1 - Expression	total_RNA	  	ArrayExpress	L_WUS-GR CYCLO 1 - Expression	biotin	  	ArrayExpress	H_WUS-GR CYCLO 1 - Expression	A-AFFY-2	  	ArrayExpress	20071220_WUSGR_L2_3_CYCLOMOCK_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.2.zip	Mock and Cycloheximide	4	h	35S::WUS-GR	0
WUS-GR CYCLO 2 - Expression	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9904	E_WUS-GR CYCLO 2 - Expression	total_RNA	  	ArrayExpress	L_WUS-GR CYCLO 2 - Expression	biotin	  	ArrayExpress	H_WUS-GR CYCLO 2 - Expression	A-AFFY-2	  	ArrayExpress	20071220_WUSGR_L2_3_CYCLOMOCK_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.2.zip	Mock and Cycloheximide	4	h	35S::WUS-GR	0
WUS-GR CYCLO DEX 1 - Expression	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9904	E_WUS-GR CYCLO DEX 1 - Expression	total_RNA	  	ArrayExpress	L_WUS-GR CYCLO DEX 1 - Expression	biotin	  	ArrayExpress	H_WUS-GR CYCLO DEX 1 - Expression	A-AFFY-2	  	ArrayExpress	20071220_WUSGR_L2_3_CYCLODEX_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.2.zip	Dexamethasone and Cycloheximide	4	h	35S::WUS-GR	0
WUS-GR CYCLO DEX 2 - Expression	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9904	E_WUS-GR CYCLO DEX 2 - Expression	total_RNA	  	ArrayExpress	L_WUS-GR CYCLO DEX 2 - Expression	biotin	  	ArrayExpress	H_WUS-GR CYCLO DEX 2 - Expression	A-AFFY-2	  	ArrayExpress	20071220_WUSGR_L2_3_CYCLODEX_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.2.zip	Dexamethasone and Cycloheximide	4	h	35S::WUS-GR	0
WUS-GR DEX 1 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	wus	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_WUS-GR DEX 1 - ChIP-chip	genomic_DNA	P-MTAB-9909	  	L_WUS-GR DEX 1 - ChIP-chip	biotin	  	ArrayExpress	H_WUS-GR DEX 1 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20060926_ChIP_WUS_GR_DEX_2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.2.zip	0	0	0	wus	0
WUS-GR DEX 1 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	wus	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_WUS-GR DEX 1 - ChIP-chip_1	genomic_DNA	P-MTAB-9909	  	L_WUS-GR DEX 1 - ChIP-chip_1	biotin	  	ArrayExpress	H_WUS-GR DEX 1 - ChIP-chip_1	A-MEXP-1477	  	ArrayExpress	20061005_ChIP_WUS_GR_DEX_2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.3.zip	0	0	0	wus	0
WUS-GR DEX 1 - Expression	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9904	E_WUS-GR DEX 1 - Expression	total_RNA	  	ArrayExpress	L_WUS-GR DEX 1 - Expression	biotin	  	ArrayExpress	H_WUS-GR DEX 1 - Expression	A-AFFY-2	  	ArrayExpress	20071220_WUSGR_L2_3_DEX_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.3.zip	Dexamethasone	4	h	35S::WUS-GR	0
WUS-GR DEX 2 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_WUS-GR DEX 2 - ChIP-chip	genomic_DNA	P-MTAB-9912	  	L_WUS-GR DEX 2 - ChIP-chip	biotin	  	ArrayExpress	H_WUS-GR DEX 2 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20061116_LM1_ChIP_WUS_GR_DEX_old_1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.3.zip	Dexamethasone	4	h	35S::WUS-GR	WUS-AB
WUS-GR DEX 2 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_WUS-GR DEX 2 - ChIP-chip_1	genomic_DNA	P-MTAB-9912	  	L_WUS-GR DEX 2 - ChIP-chip_1	biotin	  	ArrayExpress	H_WUS-GR DEX 2 - ChIP-chip_1	A-MEXP-1477	  	ArrayExpress	20061116_LM2_ChIP_WUS_GR_DEX_old_1_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.3.zip	Dexamethasone	4	h	35S::WUS-GR	WUS-AB
WUS-GR DEX 2 - Expression	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9904	E_WUS-GR DEX 2 - Expression	total_RNA	  	ArrayExpress	L_WUS-GR DEX 2 - Expression	biotin	  	ArrayExpress	H_WUS-GR DEX 2 - Expression	A-AFFY-2	  	ArrayExpress	20071220_WUSGR_L2_3_DEX_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.3.zip	Dexamethasone	4	h	35S::WUS-GR	0
WUS-GR DEX 3 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_WUS-GR DEX 3 - ChIP-chip	genomic_DNA	P-MTAB-9912	  	L_WUS-GR DEX 3 - ChIP-chip	biotin	  	ArrayExpress	H_WUS-GR DEX 3 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20070318_ChIP_WUS_GR_DEX_2_1.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.3.zip	Dexamethasone	4	h	35S::WUS-GR	WUS-AB
WUS-GR DEX 4 - ChIP-chip	  	Arabidopsis thaliana	fresh_sample	seedling	10	days	Shoot apex	transfection	35S::WUS-GR	COL	P-MTAB-9907	P-MTAB-9905	P-MTAB-9910	E_WUS-GR DEX 4 - ChIP-chip	genomic_DNA	P-MTAB-9912	  	L_WUS-GR DEX 4 - ChIP-chip	biotin	  	ArrayExpress	H_WUS-GR DEX 4 - ChIP-chip	A-MEXP-1477	  	ArrayExpress	20070318_ChIP_WUS_GR_DEX_2_2.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/MEXP/E-MEXP-2499/E-MEXP-2499.raw.4.zip	Dexamethasone	4	h	35S::WUS-GR	WUS-AB
