Source Name	Characteristics [organism]	Term Source REF	Term Accession Number	Description	Comment [Sample_source_name]	Comment [Sample_characteristics]	Characteristics[organism part]	Characteristics[age]	Unit[time unit]	Characteristics[genotype]	Protocol REF	Protocol REF	Sample Name	Protocol REF	Extract Name	Material Type	Protocol REF	Labeled Extract Name	Label	Material Type	Hybridization Name	Array Design REF	Protocol REF	Scan Name	Array Data File	Comment [ArrayExpress FTP file]	Derived Array Data Matrix File	Comment [Derived ArrayExpress Data Matrix FTP file]	FactorValue[organism part]	 FactorValue[time]	Unit[time unit]	FactorValue[age]	Unit[time unit]
GSE9996GSM252671	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 5 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 5 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252671 sample	P-G9996-4	GSE9996GSM252671 extract	total_RNA	P-G9996-3	GSE9996GSM252671 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 5 hrs Taking 70 mm of Stump (4dpg) rep1	A-AFFY-2	P-AFFY-6	GSM252671.CEL	GSM252671.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	5	hour	4	day
GSE9996GSM252678	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 13 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 13 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252678 sample	P-G9996-4	GSE9996GSM252678 extract	total_RNA	P-G9996-3	GSE9996GSM252678 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 13 hrs Taking 70 mm of Stump (4dpg) rep4	A-AFFY-2	P-AFFY-6	GSM252678.CEL	GSM252678.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	13	hour	4	day
GSE9996GSM252677	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 13 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 13 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252677 sample	P-G9996-4	GSE9996GSM252677 extract	total_RNA	P-G9996-3	GSE9996GSM252677 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 13 hrs Taking 70 mm of Stump (4dpg) rep3	A-AFFY-2	P-AFFY-6	GSM252677.CEL	GSM252677.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	13	hour	4	day
GSE9996GSM252675	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 13 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 13 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252675 sample	P-G9996-4	GSE9996GSM252675 extract	total_RNA	P-G9996-3	GSE9996GSM252675 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 13 hrs Taking 70 mm of Stump (4dpg) rep1	A-AFFY-2	P-AFFY-6	GSM252675.CEL	GSM252675.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	13	hour	4	day
GSE9996GSM252676	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 13 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 13 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252676 sample	P-G9996-4	GSE9996GSM252676 extract	total_RNA	P-G9996-3	GSE9996GSM252676 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 13 hrs Taking 70 mm of Stump (4dpg) rep2	A-AFFY-2	P-AFFY-6	GSM252676.CEL	GSM252676.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	13	hour	4	day
GSE9996GSM252681	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252681 sample	P-G9996-4	GSE9996GSM252681 extract	total_RNA	P-G9996-3	GSE9996GSM252681 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 22 hrs Taking 70 mm of Stump (4dpg) rep3	A-AFFY-2	P-AFFY-6	GSM252681.CEL	GSM252681.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	22	hour	4	day
GSE9996GSM252679	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252679 sample	P-G9996-4	GSE9996GSM252679 extract	total_RNA	P-G9996-3	GSE9996GSM252679 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 22 hrs Taking 70 mm of Stump (4dpg) rep1	A-AFFY-2	P-AFFY-6	GSM252679.CEL	GSM252679.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	22	hour	4	day
GSE9996GSM252680	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252680 sample	P-G9996-4	GSE9996GSM252680 extract	total_RNA	P-G9996-3	GSE9996GSM252680 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 22 hrs Taking 70 mm of Stump (4dpg) rep2	A-AFFY-2	P-AFFY-6	GSM252680.CEL	GSM252680.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	22	hour	4	day
GSE9996GSM252682	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252682 sample	P-G9996-4	GSE9996GSM252682 extract	total_RNA	P-G9996-3	GSE9996GSM252682 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 22 hrs Taking 70 mm of Stump (4dpg) rep4	A-AFFY-2	P-AFFY-6	GSM252682.CEL	GSM252682.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	22	hour	4	day
GSE9996GSM252683	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 22 hrs after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	4	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252683 sample	P-G9996-4	GSE9996GSM252683 extract	total_RNA	P-G9996-3	GSE9996GSM252683 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 22 hrs Taking 70 mm of Stump (4dpg) rep5	A-AFFY-2	P-AFFY-6	GSM252683.CEL	GSM252683.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	22	hour	4	day
GSE9996GSM252687	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 192 hours after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 192 hours after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	8	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252687 sample	P-G9996-4	GSE9996GSM252687 extract	total_RNA	P-G9996-3	GSE9996GSM252687 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 0 hrs Taking 70 mm of Stump (8 dpg) rep1	A-AFFY-2	P-AFFY-6	GSM252687.CEL	GSM252687.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	192	hour	8	day
GSE9996GSM252689	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 192 hours after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 192 hours after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	8	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252689 sample	P-G9996-4	GSE9996GSM252689 extract	total_RNA	P-G9996-3	GSE9996GSM252689 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 0 hrs Taking 70 mm of Stump (8 dpg) rep3	A-AFFY-2	P-AFFY-6	GSM252689.CEL	GSM252689.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	192	hour	8	day
GSE9996GSM252688	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Stump of Root Cut at 70 mm Harvested 192 hours after the First Cut:  Roots grown horizontally on square plates. Genotype: Col-0; Root Meristematic Region	Stump of Root Cut at 70 mm Harvested 192 hours after the First Cut	Genotype: Col-0; Root Meristematic Region	root meristematic region	8	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252688 sample	P-G9996-4	GSE9996GSM252688 extract	total_RNA	P-G9996-3	GSE9996GSM252688 LE biotin	biotin	synthetic_RNA	Regenerating Stump of Root Tip Cut at 130 mm first and then Recut after 0 hrs Taking 70 mm of Stump (8 dpg) rep2	A-AFFY-2	P-AFFY-6	GSM252688.CEL	GSM252688.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root meristematic region	192	hour	8	day
GSE9996GSM252684	Arabidopsis thaliana	EFO	http://purl.org/obo/owl/NCBITaxon#NCBITaxon_3702	Root tip of 8 dpg seedling harvested immediated:  Roots grown horizontally on square plates. Genotype: Col-0; Root promeristem and cap	Root tip of 8 dpg seedling harvested immediated	Genotype: Col-0; Root promeristem and cap	root promeristem and cap	8	day	Col-0	P-G9996-1	P-G9996-2	GSE9996GSM252684 sample	P-G9996-4	GSE9996GSM252684 extract	total_RNA	P-G9996-3	GSE9996GSM252684 LE biotin	biotin	synthetic_RNA	Arabidopsis Root from tip to 130 mm proximal to tip (cut 8dpg) rep1	A-AFFY-2	P-AFFY-6	GSM252684.CEL	GSM252684.CEL	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.raw.1.zip	E-GEOD-9996-processed-data-1684688738.txt	ftp://ftp.ebi.ac.uk/pub/databases/microarray/data/experiment/GEOD/E-GEOD-9996/E-GEOD-9996.processed.1.zip	root promeristem and cap	0	hour	8	day
